File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/695.smp/MS_[93.00%2C 500 MMU]].channel/MS_[93.00%2C 500 MMU]].chm
Channel	MS_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_fiber_1
Injection Number	2
Position	1
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	5/26/2021
Injection Time	8:28:01 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034472
Time Max. (min)	37.994285
Data Points	11162
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	218,613.796875
Channel	MS_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406673

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034472	n.a.	16,479.025391
0.037873	0.2041	12,751.633789
0.041275	0.2041	7,440.437012
0.044675	0.204	7,939.423340
0.048077	0.2041	10,193.726563
0.051478	0.2041	5,377.758789
0.054878	0.204	5,613.020020
0.058280	0.2041	10,751.575195
0.061682	0.2041	11,061.165039
0.065082	0.204	10,063.819336
0.068483	0.2041	4,161.311523
0.071885	0.2041	4,903.193359
0.075285	0.204	6,190.458496
0.078687	0.2041	5,754.542480
0.082088	0.2041	12,913.653320
0.085488	0.204	11,216.408203
0.088890	0.2041	8,582.968750
0.092292	0.2041	11,343.819336
0.095692	0.204	7,528.890625
0.099093	0.2041	10,666.126953
0.102495	0.2041	11,231.701172
0.105895	0.204	8,086.140625
0.109297	0.2041	10,638.935547
0.112698	0.2041	12,926.494141
0.116098	0.204	10,990.060547
0.119500	0.2041	9,353.268555
0.122902	0.2041	10,309.123047
0.126302	0.204	14,086.977539
0.129703	0.2041	12,365.673828
0.133105	0.2041	8,394.989258
0.136505	0.204	5,804.982422
0.139907	0.2041	2,415.517578
0.143308	0.2041	7,485.079590
0.146708	0.204	9,176.957031
0.150110	0.2041	3,536.274902
0.153512	0.2041	8,848.878906
0.156912	0.204	10,086.835938
0.160313	0.2041	6,035.722168
0.163715	0.2041	2,993.591125
0.167115	0.204	9,152.107422
0.170517	0.2041	13,055.250977
0.173918	0.2041	10,889.513184
0.177318	0.204	3,278.148438
0.180720	0.2041	1,797.374756
0.184122	0.2041	7,908.779297
0.187522	0.204	8,960.144531
0.190923	0.2041	11,381.435059
0.194325	0.2041	6,572.783691
0.197725	0.204	4,992.241211
0.201127	0.2041	3,914.968994
0.204528	0.2041	6,123.001953
0.207928	0.204	6,352.106445
0.211330	0.2041	12,313.203125
0.214732	0.2041	15,823.200195
0.218132	0.204	8,804.063477
0.221533	0.2041	8,171.706055
0.224935	0.2041	5,989.305176
0.228335	0.204	9,325.502930
0.231737	0.2041	13,929.919922
0.235138	0.2041	9,151.124023
0.238538	0.204	9,302.384766
0.241940	0.2041	7,703.284180
0.245342	0.2041	15,638.280273
0.248742	0.204	17,827.941406
0.252143	0.2041	19,637.542969
0.255545	0.2041	8,332.093750
0.258945	0.204	9,576.535156
0.262347	0.2041	12,814.771484
0.265748	0.2041	13,555.617920
0.269148	0.204	10,021.095215
0.272550	0.2041	3,814.943604
0.275952	0.2041	18,547.270020
0.279352	0.204	11,134.856445
0.282753	0.2041	11,764.568359
0.286155	0.2041	20,014.937500
0.289557	0.2041	14,567.340820
0.292957	0.204	12,798.029785
0.296358	0.2041	14,427.879883
0.299758	0.204	10,583.497070
0.303160	0.2041	10,193.567383
0.306562	0.2041	19,046.759766
0.309963	0.2041	11,774.000977
0.313363	0.204	9,411.571777
0.316765	0.2041	16,225.795898
0.320167	0.2041	14,294.222656
0.323567	0.204	12,969.567383
0.326968	0.2041	4,867.926758
0.330370	0.2041	6,232.987305
0.333770	0.204	14,238.005859
0.337172	0.2041	6,929.341309
0.340573	0.2041	17,697.341064
0.343973	0.204	11,830.381836
0.347375	0.2041	5,229.450195
0.350777	0.2041	11,562.183105
0.354177	0.204	11,064.957031
0.357578	0.2041	12,510.724609
0.360980	0.2041	13,877.817383
0.364380	0.204	5,878.289063
0.367782	0.2041	8,636.464844
0.371183	0.2041	12,237.552734
0.374583	0.204	14,924.670898
0.377985	0.2041	19,621.789063
0.381387	0.2041	17,871.095215
0.384787	0.204	15,906.354004
0.388188	0.2041	20,469.132813
0.391590	0.2041	7,453.579590
0.394990	0.204	7,749.413574
0.398392	0.2041	16,501.125000
0.401793	0.2041	10,971.401367
0.405193	0.204	13,366.577637
0.408595	0.2041	15,328.657227
0.411997	0.2041	14,022.330322
0.415397	0.204	7,117.707520
0.418798	0.2041	6,321.613770
0.422200	0.2041	9,573.184570
0.425600	0.204	11,668.453125
0.429002	0.2041	14,150.797852
0.432403	0.2041	16,755.228516
0.435803	0.204	11,268.124023
0.439205	0.2041	3,835.451172
0.442607	0.2041	7,002.248535
0.446007	0.204	9,120.588867
0.449408	0.2041	7,733.955078
0.452810	0.2041	11,743.725586
0.456210	0.204	15,605.559570
0.459612	0.2041	16,150.752930
0.463013	0.2041	11,570.524414
0.466413	0.204	1,627.861572
0.469815	0.2041	8,026.737793
0.473217	0.2041	7,371.148438
0.476617	0.204	8,065.240723
0.480018	0.2041	8,278.732422
0.483420	0.2041	8,264.962891
0.486820	0.204	11,820.719727
0.490222	0.2041	10,762.906250
0.493623	0.2041	3,778.763428
0.497023	0.204	7,149.200684
0.500425	0.2041	15,842.416992
0.503827	0.2041	12,989.253906
0.507227	0.204	9,719.261719
0.510628	0.2041	3,536.272949
0.514030	0.2041	12,554.752930
0.517430	0.204	19,267.705078
0.520832	0.2041	13,027.372070
0.524233	0.2041	12,388.009766
0.527633	0.204	8,218.328125
0.531035	0.2041	10,169.497070
0.534437	0.2041	9,345.583984
0.537837	0.204	6,774.609375
0.541238	0.2041	9,101.945313
0.544640	0.2041	9,688.475586
0.548040	0.204	13,105.327148
0.551442	0.2041	12,870.211914
0.554843	0.2041	9,979.875000
0.558243	0.204	8,930.848633
0.561645	0.2041	5,313.820801
0.565047	0.2041	3,728.518555
0.568447	0.204	5,302.338867
0.571848	0.2041	10,584.085938
0.575250	0.2041	10,414.131836
0.578650	0.204	8,840.568359
0.582052	0.2041	7,764.241699
0.585453	0.2041	5,702.426270
0.588853	0.204	8,108.205078
0.592255	0.2041	6,241.701660
0.595657	0.2041	5,903.582031
0.599057	0.204	6,846.590332
0.602458	0.2041	8,873.049805
0.605860	0.2041	8,460.026367
0.609260	0.204	9,846.130859
0.612662	0.2041	7,361.064941
0.616063	0.2041	5,701.289551
0.619463	0.204	5,988.061523
0.622865	0.2041	5,482.384705
0.626267	0.2041	7,124.918945
0.629667	0.204	8,465.129883
0.633068	0.2041	9,232.925781
0.636470	0.2041	7,999.138184
0.639870	0.204	7,310.005615
0.643272	0.2041	9,498.615234
0.646673	0.2041	12,892.333008
0.650073	0.204	14,966.850586
0.653475	0.2041	9,575.076172
0.656877	0.2041	5,239.171875
0.660277	0.204	5,023.857422
0.663678	0.2041	5,250.591797
0.667080	0.2041	6,208.346680
0.670480	0.204	6,219.899414
0.673882	0.2041	9,084.551758
0.677283	0.2041	12,437.422607
0.680683	0.204	9,537.989258
0.684085	0.2041	6,064.333008
0.687487	0.2041	6,000.583496
0.690887	0.204	15,517.117188
0.694288	0.2041	13,511.339844
0.697690	0.2041	4,160.068359
0.701090	0.204	9,811.366821
0.704492	0.2041	13,721.637695
0.707893	0.2041	8,759.208008
0.711293	0.204	13,019.569336
0.714695	0.2041	18,139.599609
0.718097	0.2041	9,011.253906
0.721497	0.204	6,218.710022
0.724898	0.2041	7,279.863770
0.728300	0.2041	1,958.252197
0.731700	0.204	3,479.275146
0.735102	0.2041	13,900.070313
0.738503	0.2041	13,476.311523
0.741903	0.204	5,843.908691
0.745305	0.2041	9,476.761719
0.748707	0.2041	14,037.651367
0.752107	0.204	13,577.949219
0.755508	0.2041	7,164.064941
0.758910	0.2041	5,413.595215
0.762310	0.204	10,555.740234
0.765712	0.2041	3,256.389893
0.769113	0.2041	6,166.761719
0.772513	0.204	10,994.472168
0.775915	0.2041	10,100.867188
0.779317	0.2041	3,013.468506
0.782717	0.204	5,900.511230
0.786118	0.2041	9,227.423828
0.789520	0.2041	14,735.708496
0.792920	0.204	8,716.562500
0.796322	0.2041	4,786.549805
0.799723	0.2041	8,357.060547
0.803123	0.204	11,909.352539
0.806525	0.2041	17,470.645996
0.809927	0.2041	19,334.443359
0.813327	0.204	16,770.822266
0.816728	0.2041	10,897.611328
0.820130	0.2041	6,836.515625
0.823530	0.204	12,638.330078
0.826932	0.2041	17,896.667969
0.830333	0.2041	9,440.562500
0.833733	0.204	7,436.346680
0.837135	0.2041	13,574.564453
0.840537	0.2041	5,726.746582
0.843937	0.204	7,118.048828
0.847338	0.2041	15,440.666992
0.850740	0.2041	17,367.041016
0.854140	0.204	7,020.182617
0.857542	0.2041	13,603.455078
0.860943	0.2041	13,831.530273
0.864343	0.204	1,631.240234
0.867745	0.2041	5,095.511719
0.871147	0.2041	12,237.611328
0.874547	0.204	14,748.064453
0.877948	0.2041	8,617.791016
0.881350	0.2041	4,658.628418
0.884750	0.204	5,206.658203
0.888152	0.2041	13,675.569336
0.891553	0.2041	12,447.107666
0.894953	0.204	1,737.604370
0.898355	0.2041	5,606.073242
0.901757	0.2041	11,054.461914
0.905157	0.204	7,274.523926
0.908558	0.2041	8,794.779297
0.911960	0.2041	9,398.156250
0.915360	0.204	5,546.653320
0.918762	0.2041	13,917.219482
0.922163	0.2041	11,816.182617
0.925563	0.204	3,793.962158
0.928965	0.2041	8,032.074219
0.932367	0.2041	7,041.855469
0.935767	0.204	5,696.633789
0.939168	0.2041	12,080.713867
0.942570	0.2041	10,686.875000
0.945970	0.204	5,200.265137
0.949372	0.2041	6,991.453125
0.952773	0.2041	9,652.600586
0.956173	0.204	9,832.552734
0.959575	0.2041	15,006.291992
0.962977	0.2041	11,061.350586
0.966377	0.204	8,366.753906
0.969778	0.2041	8,475.406250
0.973180	0.2041	5,178.458496
0.976580	0.204	12,198.723633
0.979982	0.2041	12,040.244141
0.983383	0.2041	7,041.074463
0.986783	0.204	8,480.106445
0.990185	0.2041	8,208.385742
0.993587	0.2041	10,372.007813
0.996987	0.204	8,661.356445
1.000388	0.2041	0.000000
1.003790	0.2041	7,810.592285
1.007190	0.204	13,982.671875
1.010592	0.2041	10,097.470703
1.013993	0.2041	1,559.980103
1.017393	0.204	2,491.807373
1.020795	0.2041	8,859.494141
1.024197	0.2041	9,231.328125
1.027597	0.204	5,651.285645
1.030998	0.2041	9,225.342773
1.034400	0.2041	11,876.079102
1.037800	0.204	8,076.448853
1.041202	0.2041	8,130.568359
1.044603	0.2041	6,918.343750
1.048003	0.204	4,109.000000
1.051405	0.2041	15,219.620117
1.054807	0.2041	15,971.428711
1.058207	0.204	7,692.461914
1.061608	0.2041	10,334.825195
1.065010	0.2041	9,799.515625
1.068410	0.204	8,785.720703
1.071812	0.2041	13,122.255859
1.075213	0.2041	9,697.807617
1.078613	0.204	10,500.951172
1.082015	0.2041	10,432.143555
1.085417	0.2041	5,222.685059
1.088817	0.204	5,189.628418
1.092218	0.2041	6,169.379639
1.095620	0.2041	5,414.391113
1.099020	0.204	4,453.652344
1.102422	0.2041	3,906.381592
1.105823	0.2041	9,782.362305
1.109223	0.204	5,639.456055
1.112625	0.2041	9,484.772461
