File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/695.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_fiber_1
Injection Number	2
Position	1
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	5/26/2021
Injection Time	8:28:01 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034472
Time Max. (min)	37.994285
Data Points	11162
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,036,762.870396
Signal Max.	510,743,347.923313
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406673

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034472	n.a.	1,152,229.371117
0.037873	0.2041	1,219,801.651951
0.041275	0.2041	1,282,323.948812
0.044675	0.204	1,218,098.694416
0.048077	0.2041	1,172,781.612114
0.051478	0.2041	1,148,161.563563
0.054878	0.204	1,234,127.441901
0.058280	0.2041	1,293,412.933481
0.061682	0.2041	1,217,734.004269
0.065082	0.204	1,161,578.185123
0.068483	0.2041	1,193,040.614298
0.071885	0.2041	1,159,565.423032
0.075285	0.204	1,071,091.815993
0.078687	0.2041	1,170,646.886857
0.082088	0.2041	1,180,174.705052
0.085488	0.204	1,138,611.779538
0.088890	0.2041	1,203,643.975490
0.092292	0.2041	1,128,980.609670
0.095692	0.204	1,138,377.907250
0.099093	0.2041	1,180,789.688776
0.102495	0.2041	1,086,516.186402
0.105895	0.204	1,109,921.358585
0.109297	0.2041	1,174,380.502040
0.112698	0.2041	1,138,454.211606
0.116098	0.204	1,073,632.441115
0.119500	0.2041	1,103,251.006572
0.122902	0.2041	1,141,482.424491
0.126302	0.204	1,128,814.373487
0.129703	0.2041	1,160,323.968021
0.133105	0.2041	1,207,386.429380
0.136505	0.204	1,241,916.424396
0.139907	0.2041	1,166,104.516323
0.143308	0.2041	1,081,935.953345
0.146708	0.204	1,132,545.085103
0.150110	0.2041	1,147,441.087639
0.153512	0.2041	1,145,228.246652
0.156912	0.204	1,139,033.351670
0.160313	0.2041	1,114,395.250180
0.163715	0.2041	1,188,002.442052
0.167115	0.204	1,219,256.970692
0.170517	0.2041	1,194,641.952612
0.173918	0.2041	1,151,106.300970
0.177318	0.204	1,109,963.524346
0.180720	0.2041	1,204,850.306940
0.184122	0.2041	1,245,959.126809
0.187522	0.204	1,229,880.306597
0.190923	0.2041	1,196,544.825685
0.194325	0.2041	1,197,803.462222
0.197725	0.204	1,199,583.043829
0.201127	0.2041	1,132,872.793993
0.204528	0.2041	1,196,031.357674
0.207928	0.204	1,242,556.876127
0.211330	0.2041	1,138,250.168504
0.214732	0.2041	1,162,286.242020
0.218132	0.204	1,222,515.063363
0.221533	0.2041	1,209,534.066756
0.224935	0.2041	1,185,268.587335
0.228335	0.204	1,153,348.041460
0.231737	0.2041	1,117,933.152577
0.235138	0.2041	1,158,679.928366
0.238538	0.204	1,194,693.984892
0.241940	0.2041	1,136,035.948036
0.245342	0.2041	1,157,430.529107
0.248742	0.204	1,206,305.125049
0.252143	0.2041	1,181,334.961117
