ID,Date,mites/g,erios/gram,grams_dry_weight,Eriophyoids,Other Mites,Block,Treatment,Field,N,Month,mites/plant,totals,sd,se,n_samples
Pheno 1,2021-05-26T00:00:00Z,3.31636587999383,2.9307419404596637,12.966,38,5,A,Kontos,Tallahassee,48,May,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 2,2021-05-26T00:00:00Z,6.527264325323475,6.180683918669131,17.312,107,6,A,Water,Tallahassee,48,May,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 3,2021-05-26T00:00:00Z,1.5491009681881052,0.8298755186721992,18.075,15,13,A,Mites,Tallahassee,48,May,NA,NA,NA,NA,129
Pheno 4,2021-05-26T00:00:00Z,0.38813418353202106,0.33268644302744665,18.035,6,1,A,Mites + Actigard,Tallahassee,48,May,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 5,2021-05-26T00:00:00Z,0.31283238440843397,0.25026590752674716,15.983,4,1,A,Actigard,Tallahassee,48,May,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 6,2021-05-26T00:00:00Z,3.3987653464659777,3.1906776721925505,14.417,46,3,A,Water,Tallahassee,48,May,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 7,2021-05-26T00:00:00Z,0.32628201642286153,0.16314100821143077,18.389,3,3,A,Kontos,Tallahassee,48,May,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 8,2021-05-26T00:00:00Z,6.559384292461082,6.2095504635298235,11.434,71,4,A,Mites,Tallahassee,48,May,NA,NA,NA,NA,129
Pheno 9,2021-05-26T00:00:00Z,1.477832512315271,1.3300492610837438,20.3,27,3,A,Mites + Actigard,Tallahassee,48,May,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 10,2021-05-26T00:00:00Z,0.8601688081285953,0.6451266060964465,18.601,12,4,A,Actigard,Tallahassee,48,May,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 11,2021-05-26T00:00:00Z,2.2984983144345694,1.225865767698437,6.526,8,7,C,Untreated,Tallahassee,48,May,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 12,2021-05-26T00:00:00Z,1.8755606295360026,0.8970072576041752,12.263,11,12,C,Untreated,Tallahassee,48,May,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 13,2021-05-26T00:00:00Z,1.4636823809233397,0.7928279563334757,16.397,13,11,C,Untreated,Tallahassee,48,May,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 14,2021-05-26T00:00:00Z,2.3086609766335524,0.5596753882748006,14.294,8,25,C,Untreated,Tallahassee,48,May,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 15,2021-05-26T00:00:00Z,1.2014073629108384,0.7294258989101519,23.306,17,11,B,Mites,Tallahassee,48,May,NA,NA,NA,NA,129
Pheno 16,2021-05-26T00:00:00Z,1.5126573831027272,0.8897984606486631,22.477,20,14,B,Mites + Actigard,Tallahassee,48,May,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 17,2021-05-26T00:00:00Z,2.0459859703819174,0.8768511301636789,20.528,18,24,B,Actigard,Tallahassee,48,May,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 18,2021-05-26T00:00:00Z,2.4019696150843695,0.7205908845253108,16.653,12,28,B,Water,Tallahassee,48,May,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 19,2021-05-26T00:00:00Z,1.5827793605571383,0.42207449614857023,18.954,8,22,B,Kontos,Tallahassee,48,May,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 20,2021-05-26T00:00:00Z,1.0311493018259936,0.47261009667024706,23.275,11,13,B,Mites,Tallahassee,48,May,NA,NA,NA,NA,129
Pheno 21,2021-05-26T00:00:00Z,2.0580836954036132,1.8294077292476563,21.865,40,5,B,Mites + Actigard,Tallahassee,48,May,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 22,2021-05-26T00:00:00Z,1.1993382961124897,0.9511993382961125,24.18,23,6,B,Actigard,Tallahassee,48,May,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 23,2021-05-26T00:00:00Z,2.1017434917602102,1.289706233580129,20.935,27,17,B,Kontos,Tallahassee,48,May,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 24,2021-05-26T00:00:00Z,1.9743812000385246,1.6372917268612155,20.766,34,7,B,Water,Tallahassee,48,May,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 1,2021-06-02T00:00:00Z,1.6838882510524302,0.9950248756218906,13.065,13,9,A,Kontos,Tallahassee,48,June,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 2,2021-06-02T00:00:00Z,5.030871255431054,4.4972940010671545,13.119,59,7,A,Water,Tallahassee,48,June,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 3,2021-06-02T00:00:00Z,6.143118047484642,5.229951851236925,12.046,63,11,A,Mites,Tallahassee,48,June,NA,NA,NA,NA,129
Pheno 4,2021-06-02T00:00:00Z,4.199127023592464,3.8123653240510524,18.099,69,7,A,Mites + Actigard,Tallahassee,48,June,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 5,2021-06-02T00:00:00Z,8.645944980350125,7.645587709896392,13.995,107,14,A,Actigard,Tallahassee,48,June,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 6,2021-06-02T00:00:00Z,10.265739718017024,9.745955428497174,15.391,150,8,A,Water,Tallahassee,48,June,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 7,2021-06-02T00:00:00Z,0.7575279338425605,0.3787639669212802,15.841,6,6,A,Kontos,Tallahassee,48,June,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 8,2021-06-02T00:00:00Z,4.977910522058366,4.169000062223881,16.071,67,13,A,Mites,Tallahassee,48,June,NA,NA,NA,NA,129
Pheno 9,2021-06-02T00:00:00Z,6.341624114643387,5.353319057815846,12.142,65,12,A,Mites + Actigard,Tallahassee,48,June,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 10,2021-06-02T00:00:00Z,5.11724960254372,4.670111287758346,20.128,94,9,A,Actigard,Tallahassee,48,June,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 11,2021-06-02T00:00:00Z,1.3986013986013985,0.9324009324009325,10.725,10,5,C,Untreated,Tallahassee,48,June,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 12,2021-06-02T00:00:00Z,1.5474348291870015,0.5356505177955005,16.802,9,17,C,Untreated,Tallahassee,48,June,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 13,2021-06-02T00:00:00Z,2.7606574216743707,2.311248073959938,15.576,36,7,C,Untreated,Tallahassee,48,June,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 14,2021-06-02T00:00:00Z,3.703155088135091,3.1106502740334765,13.502,42,8,C,Untreated,Tallahassee,48,June,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 15,2021-06-02T00:00:00Z,9.190652607580507,8.05072670276432,14.036,113,16,B,Mites,Tallahassee,48,June,NA,NA,NA,NA,129
Pheno 16,2021-06-02T00:00:00Z,1.4388489208633095,0.5004691898654989,15.985,8,15,B,Mites + Actigard,Tallahassee,48,June,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 17,2021-06-02T00:00:00Z,5.783086841107319,4.835039817974971,10.548,51,10,B,Actigard,Tallahassee,48,June,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 18,2021-06-02T00:00:00Z,10.685755783795,9.233322958813156,9.639,89,14,B,Water,Tallahassee,48,June,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 19,2021-06-02T00:00:00Z,0.584852324787991,0.38990154985866066,10.259,4,2,B,Kontos,Tallahassee,48,June,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 20,2021-06-02T00:00:00Z,17.42601246105919,16.549844236760123,10.272,170,9,B,Mites,Tallahassee,48,June,NA,NA,NA,NA,129
Pheno 21,2021-06-02T00:00:00Z,6.2101086769018465,5.750100626760969,17.391,100,8,B,Mites + Actigard,Tallahassee,48,June,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 22,2021-06-02T00:00:00Z,4.3812780508655695,4.274417610600556,9.358,40,1,B,Actigard,Tallahassee,48,June,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 23,2021-06-02T00:00:00Z,0.47460844803037494,0.06780120686148214,14.749,1,6,B,Kontos,Tallahassee,48,June,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 24,2021-06-02T00:00:00Z,3.507724457049034,3.1345622807672218,13.399,42,5,B,Water,Tallahassee,48,June,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 1,2021-06-11T00:00:00Z,0.19453360568038128,0,10.281,0,2,A,Kontos,Tallahassee,48,June,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 2,2021-06-11T00:00:00Z,10.343206393982134,10.343206393982134,10.635,110,0,A,Water,Tallahassee,48,June,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 3,2021-06-11T00:00:00Z,9.778544722461893,9.0595340811044,6.954,63,5,A,Mites,Tallahassee,48,June,NA,NA,NA,NA,129
Pheno 4,2021-06-11T00:00:00Z,5.908419497784343,5.45392569026247,8.801,48,4,A,Mites + Actigard,Tallahassee,48,June,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 5,2021-06-11T00:00:00Z,2.0767296972346707,2.0767296972346707,9.149,19,0,A,Actigard,Tallahassee,48,June,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 6,2021-06-11T00:00:00Z,9.536901795686916,8.505885385342383,11.639,99,12,A,Water,Tallahassee,48,June,26.73228346456693,3395,39.54692788399457,3.5092223885272205,127
Pheno 7,2021-06-11T00:00:00Z,0.5769785556303492,0.19232618521011638,10.399,2,4,A,Kontos,Tallahassee,48,June,3.546153846153846,461,9.75443571408305,0.8555206066851427,130
Pheno 8,2021-06-11T00:00:00Z,5.0761421319796955,3.193057147535615,12.214,39,23,A,Mites,Tallahassee,48,June,NA,NA,NA,NA,129
Pheno 9,2021-06-11T00:00:00Z,1.7475328947368423,1.0279605263157896,9.728,10,7,A,Mites + Actigard,Tallahassee,48,June,67.1875,3225,37.560536244557575,5.421396427925503,48
Pheno 10,2021-06-11T00:00:00Z,3.7476577139287945,3.4353529044347284,9.606,33,3,A,Actigard,Tallahassee,48,June,21.8062015503876,2813,34.57940985963049,3.0445472751116873,129
Pheno 11,2021-06-11T00:00:00Z,2.8671266015590002,2.3295403637666876,11.161,26,6,C,Untreated,Tallahassee,48,June,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
Pheno 12,2021-06-11T00:00:00Z,0.7067692790953354,0.7067692790953354,12.734,9,0,C,Untreated,Tallahassee,48,June,29.770833333333332,1429,25.101699173929237,3.6231181937962633,48
