sample_no,date,lon,lat,position,collector,source,plant_cv,symptoms,family,order
1,2020-07-09T16:57:06Z,-84.343855,30.410463,30.410463 -84.343855,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_1.JPG,liriopogon,ofv,nolinoideae,asparagales
2,2020-07-28T12:33:35Z,-84.3436489722222,30.4105939722222,30.4105939722222 -84.3436489722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_2.JPG,liriopogon,ofv,nolinoideae,asparagales
3,2020-07-28T12:34:20Z,-84.343387,30.4105519722222,30.4105519722222 -84.343387,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_3.JPG,liriopogon,ofv,nolinoideae,asparagales
4,2020-07-28T12:34:50Z,-84.344025,30.4108179722222,30.4108179722222 -84.344025,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_4.JPG,liriopogon,ofv,nolinoideae,asparagales
5,2020-07-28T12:34:58Z,-84.344025,30.4108179722222,30.4108179722222 -84.344025,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_5.JPG,liriopogon,ofv,nolinoideae,asparagales
6,2020-08-07T14:13:25Z,-84.34393,30.410636,30.410636 -84.34393,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_6.JPG,liriopogon,ofv,nolinoideae,asparagales
7,2020-08-07T14:13:36Z,-84.34393,30.410636,30.410636 -84.34393,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_7.JPG,liriopogon,ofv,nolinoideae,asparagales
8,2020-08-07T14:37:17Z,-84.344012,30.4103829722222,30.4103829722222 -84.344012,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_8.JPG,liriopogon,ofv,nolinoideae,asparagales
9,2020-08-07T14:37:28Z,-84.344012,30.4103829722222,30.4103829722222 -84.344012,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_9.JPG,liriopogon,ofv,nolinoideae,asparagales
10,2020-08-07T14:37:39Z,-84.344012,30.4103829722222,30.4103829722222 -84.344012,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_10.JPG,liriopogon,ofv,nolinoideae,asparagales
11,2020-08-07T14:38:22Z,-84.3439709722222,30.410381,30.410381 -84.3439709722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_11.JPG,liriopogon,ofv,nolinoideae,asparagales
12,2020-08-07T14:38:54Z,-84.343929,30.4103789722222,30.4103789722222 -84.343929,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_12.JPG,liriopogon,ofv,nolinoideae,asparagales
