File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/677.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_18-1
Injection Number	29
Position	129
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	5/18/2019
Injection Time	11:13:56 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000612
Time Max. (min)	22.992178
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	3,472,330.354817
Signal Max.	3,305,806,239.177140
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000612	n.a.	9,852,139.134872
3.004012	0.204	9,950,262.776733
3.007413	0.2041	9,825,180.816798
3.010815	0.2041	9,554,690.806535
3.014215	0.204	9,425,976.002545
3.017617	0.2041	9,247,831.301305
3.021018	0.2041	9,445,925.865374
3.024418	0.204	9,580,662.503125
3.027820	0.2041	9,328,792.725288
3.031220	0.204	9,240,307.351767
3.034622	0.2041	9,109,606.750398
3.038023	0.2041	9,030,593.820755
3.041423	0.204	9,040,554.646589
3.044825	0.2041	8,987,722.899402
3.048227	0.2041	8,897,639.712025
3.051627	0.204	8,644,721.160298
3.055028	0.2041	8,636,100.482974
3.058430	0.2041	8,794,839.507725
3.061830	0.204	8,793,940.720476
3.065232	0.2041	8,666,536.330771
3.068633	0.2041	8,619,300.941226
3.072033	0.204	8,503,929.232145
3.075435	0.2041	8,298,788.640650
3.078837	0.2041	8,330,213.837496
3.082237	0.204	8,199,858.495539
3.085638	0.2041	8,128,299.288665
3.089040	0.2041	8,201,154.259960
3.092440	0.204	8,015,983.611453
3.095842	0.2041	7,900,034.503749
3.099242	0.204	7,906,591.406862
3.102643	0.2041	7,911,671.368216
3.106045	0.2041	8,000,322.243279
3.109445	0.204	8,022,042.407997
3.112847	0.2041	7,823,854.075380
3.116248	0.2041	7,739,127.291657
3.119648	0.204	7,699,419.244619
3.123050	0.2041	7,456,719.794607
3.126452	0.2041	7,404,207.275578
3.129852	0.204	7,416,099.866080
3.133253	0.2041	7,301,668.841192
3.136655	0.2041	7,123,800.903903
3.140055	0.204	7,088,744.583805
3.143457	0.2041	7,158,381.311536
3.146858	0.2041	7,016,009.044922
