File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/786.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_18-3
Injection Number	59
Position	28
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/21/2019
Injection Time	4:15:11 PM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000665
Time Max. (min)	22.992220
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	3,687,334.653324
Signal Max.	2,659,284,393.737190
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406487

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000665	n.a.	11,375,383.519377
3.004067	0.2041	11,319,944.707284
3.007468	0.2041	11,157,891.723794
3.010868	0.204	10,950,272.154540
3.014270	0.2041	10,811,934.804296
3.017672	0.2041	10,565,207.799732
3.021072	0.204	10,215,963.328494
3.024473	0.2041	10,209,281.346748
3.027875	0.2041	10,433,166.708812
3.031275	0.204	10,388,636.485243
3.034677	0.2041	10,196,485.880187
3.038078	0.2041	10,161,039.835241
3.041478	0.204	10,084,984.816002
3.044880	0.2041	9,977,052.934525
3.048280	0.204	9,957,833.557469
3.051682	0.2041	9,826,507.558523
3.055083	0.2041	9,662,749.292443
3.058483	0.204	9,481,044.179300
3.061885	0.2041	9,395,824.959932
3.065287	0.2041	9,336,212.144621
3.068687	0.204	9,184,084.051778
3.072088	0.2041	9,111,554.671805
3.075490	0.2041	8,962,279.428158
3.078890	0.204	8,883,342.601289
3.082292	0.2041	8,780,699.542183
3.085693	0.2041	8,606,011.978697
3.089093	0.204	8,560,690.939283
3.092495	0.2041	8,430,823.068768
3.095897	0.2041	8,167,347.668133
3.099297	0.204	7,868,397.667918
3.102698	0.2041	7,702,340.403539
3.106100	0.2041	7,530,739.134191
3.109500	0.204	7,389,602.387532
3.112902	0.2041	7,360,854.465397
3.116302	0.204	7,233,423.445802
3.119703	0.2041	7,060,841.054275
3.123105	0.2041	6,970,299.761470
3.126505	0.204	7,092,840.633488
3.129907	0.2041	7,059,285.526463
3.133308	0.2041	6,880,702.830346
3.136708	0.204	6,819,543.884462
3.140110	0.2041	6,725,588.663655
3.143512	0.2041	6,685,113.368505
3.146912	0.204	6,674,175.721751
3.150313	0.2041	6,643,012.500247
3.153715	0.2041	6,552,327.316374
3.157115	0.204	6,527,262.832964
3.160517	0.2041	6,511,063.632924
3.163918	0.2041	6,306,656.814920
3.167318	0.204	6,294,182.379121
3.170720	0.2041	6,307,570.383721
3.174122	0.2041	6,101,359.880123
3.177522	0.204	6,070,369.848069
3.180923	0.2041	6,128,782.973049
3.184323	0.204	6,057,653.367288
3.187725	0.2041	6,026,849.232346
3.191127	0.2041	5,971,047.239479
3.194527	0.204	5,876,591.235750
3.197928	0.2041	5,887,251.478459
3.201330	0.2041	5,896,471.798586
3.204730	0.204	5,839,977.587125
3.208132	0.2041	5,787,656.922963
3.211533	0.2041	5,827,274.712703
3.214933	0.204	5,781,450.456393
3.218335	0.2041	5,694,350.686093
3.221737	0.2041	5,688,913.966022
3.225137	0.204	5,630,607.470428
3.228538	0.2041	5,560,442.223613
3.231940	0.2041	5,591,971.069544
3.235340	0.204	5,873,292.339501
3.238742	0.2041	6,052,536.100863
3.242143	0.2041	6,033,788.309972
3.245543	0.204	6,150,439.233676
3.248945	0.2041	6,186,765.211550
3.252345	0.204	6,128,991.379342
3.255747	0.2041	6,009,202.449782
3.259148	0.2041	5,755,862.538092
3.262548	0.204	5,690,892.259151
3.265950	0.2041	5,704,392.285116
3.269352	0.2041	5,569,148.208802
3.272752	0.204	5,512,744.040619
3.276153	0.2041	5,404,115.876712
3.279555	0.2041	5,290,383.221580
3.282955	0.204	5,313,097.662163
3.286357	0.2041	5,288,381.591455
3.289758	0.2041	5,331,023.333718
3.293158	0.204	5,275,905.435646
3.296560	0.2041	5,173,564.043308
3.299962	0.2041	5,297,425.929313
3.303362	0.204	5,316,954.230146
3.306763	0.2041	5,249,304.039664
3.310165	0.2041	5,258,510.363815
3.313565	0.204	5,238,410.011056
3.316967	0.2041	5,163,239.301282
3.320367	0.204	5,054,534.306828
3.323768	0.2041	5,047,727.617100
3.327170	0.2041	5,110,507.343685
3.330570	0.204	5,015,333.952698
3.333972	0.2041	4,949,716.408388
3.337373	0.2041	4,940,614.001853
3.340773	0.204	4,877,055.011275
3.344175	0.2041	4,855,629.303713
3.347577	0.2041	4,830,078.077379
3.350977	0.204	4,760,298.627286
3.354378	0.2041	4,674,372.194545
3.357780	0.2041	4,635,110.266858
3.361180	0.204	4,552,019.667578
3.364582	0.2041	4,536,933.553821
3.367983	0.2041	4,680,976.955638
3.371383	0.204	4,634,828.588167
3.374785	0.2041	4,473,034.191927
3.378185	0.204	4,449,356.611906
3.381587	0.2041	4,473,819.168685
3.384988	0.2041	4,449,676.900484
3.388388	0.204	4,438,009.445213
3.391790	0.2041	4,491,727.019158
3.395192	0.2041	4,390,281.391065
3.398592	0.204	4,231,468.750963
3.401993	0.2041	4,231,149.734894
3.405395	0.2041	4,260,072.542938
3.408795	0.204	4,216,652.366888
3.412197	0.2041	4,202,050.182365
3.415598	0.2041	4,282,367.366900
3.418998	0.204	4,277,655.720377
3.422400	0.2041	4,175,028.990392
3.425802	0.2041	4,171,307.419848
3.429202	0.204	4,154,954.897722
3.432603	0.2041	4,134,091.451924
3.436005	0.2041	4,188,101.612548
3.439405	0.204	4,207,779.452241
3.442807	0.2041	4,210,514.461711
3.446207	0.204	4,130,079.355325
3.449608	0.2041	4,136,405.372307
3.453010	0.2041	4,240,277.925421
3.456410	0.204	4,275,749.084563
3.459812	0.2041	4,400,189.808849
3.463213	0.2041	4,518,516.849166
3.466613	0.204	4,512,080.677883
3.470015	0.2041	4,495,545.475109
3.473417	0.2041	4,449,381.161319
3.476817	0.204	4,329,060.197905
3.480218	0.2041	4,246,852.640724
3.483620	0.2041	4,176,539.427717
3.487020	0.204	4,064,227.522905
3.490422	0.2041	4,020,211.474300
3.493823	0.2041	4,054,950.625877
3.497223	0.204	4,151,518.096229
3.500625	0.2041	4,175,508.136695
3.504025	0.204	4,078,686.694081
3.507427	0.2041	4,067,440.668212
3.510828	0.2041	4,069,964.073591
3.514228	0.204	4,062,047.403669
3.517630	0.2041	4,093,051.800771
3.521032	0.2041	4,163,863.187496
3.524432	0.204	4,095,015.784799
3.527833	0.2041	3,992,314.147631
3.531235	0.2041	4,128,379.269482
3.534635	0.204	4,296,264.834345
3.538037	0.2041	4,503,119.345215
3.541438	0.2041	4,588,131.761780
3.544838	0.204	4,517,909.955004
3.548240	0.2041	4,489,397.189930
3.551642	0.2041	4,478,613.665024
3.555042	0.204	4,396,770.160935
3.558443	0.2041	4,240,560.143120
3.561845	0.2041	4,160,835.572482
3.565245	0.204	4,151,368.095771
3.568647	0.2041	4,170,773.956228
3.572047	0.204	4,101,624.152705
3.575448	0.2041	4,010,198.070639
3.578850	0.2041	4,032,429.130008
3.582250	0.204	3,982,704.292419
3.585652	0.2041	3,942,161.872002
3.589053	0.2041	4,068,701.409824
3.592453	0.204	4,149,158.173748
3.595855	0.2041	4,111,429.345486
3.599257	0.2041	4,165,335.039843
3.602657	0.204	4,194,510.581851
3.606058	0.2041	4,169,857.220356
3.609460	0.2041	4,120,171.783510
3.612860	0.204	4,101,384.007093
3.616262	0.2041	4,171,448.788766
3.619663	0.2041	4,114,331.962531
3.623063	0.204	4,023,650.046365
3.626465	0.2041	3,946,032.439992
3.629867	0.2041	3,897,335.728261
3.633267	0.204	3,943,455.455518
3.636668	0.2041	3,980,937.584140
3.640068	0.204	3,944,805.943632
3.643470	0.2041	3,936,130.129781
3.646872	0.2041	3,941,096.522885
3.650272	0.204	3,888,680.799310
3.653673	0.2041	3,888,975.762403
3.657075	0.2041	3,848,644.737754
3.660475	0.204	3,771,344.332694
3.663877	0.2041	3,759,207.914203
3.667278	0.2041	3,795,802.942913
3.670678	0.204	3,934,010.455912
3.674080	0.2041	4,035,738.727047
3.677482	0.2041	3,952,037.818124
3.680882	0.204	3,957,617.677464
3.684283	0.2041	3,985,776.301460
3.687685	0.2041	3,867,247.250328
3.691085	0.204	3,752,506.878989
3.694487	0.2041	3,687,334.653324
3.697888	0.2041	3,733,204.107317
3.701288	0.204	3,729,533.839982
3.704690	0.2041	3,715,083.991048
3.708090	0.204	3,769,996.251518
3.711492	0.2041	3,753,912.381623
3.714893	0.2041	3,784,542.902660
3.718293	0.204	3,837,565.935745
3.721695	0.2041	3,869,721.572554
3.725097	0.2041	3,890,449.514708
3.728497	0.204	3,894,268.814220
3.731898	0.2041	3,961,947.867430
3.735300	0.2041	3,937,986.346171
3.738700	0.204	3,929,574.493668
3.742102	0.2041	3,950,644.626579
3.745503	0.2041	3,912,719.511424
3.748903	0.204	4,007,280.217289
3.752305	0.2041	4,082,585.934472
3.755707	0.2041	4,112,358.963256
3.759107	0.204	4,177,812.196623
3.762508	0.2041	4,223,613.604718
3.765908	0.204	4,350,651.570580
3.769310	0.2041	4,496,032.901494
3.772712	0.2041	4,554,783.527555
3.776112	0.204	4,597,263.281431
3.779513	0.2041	4,696,697.056135
3.782915	0.2041	4,834,358.076064
3.786315	0.204	4,825,674.262976
3.789717	0.2041	4,865,854.349794
3.793118	0.2041	5,075,826.354429
3.796518	0.204	5,058,568.453707
