File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/137.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	bag_blank_02
Injection Number	11
Position	111
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Blank
Status	Finished
Injection Date	5/18/2019
Injection Time	2:34:48 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000743
Time Max. (min)	22.992310
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	5,537,603.386241
Signal Max.	3,554,317,383.740160
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000743	n.a.	25,994,798.036331
3.004145	0.2041	25,690,088.200859
3.007547	0.2041	25,035,952.411872
3.010947	0.204	24,532,087.281894
3.014348	0.2041	24,271,907.693678
3.017750	0.2041	23,772,493.587159
3.021150	0.204	23,608,154.402455
3.024552	0.2041	23,682,347.641102
3.027953	0.2041	23,298,493.460692
3.031353	0.204	22,872,939.613684
3.034755	0.2041	22,306,298.204863
3.038157	0.2041	22,195,100.164709
3.041557	0.204	22,177,147.053306
3.044958	0.2041	21,846,446.561651
3.048360	0.2041	21,677,117.376648
3.051760	0.204	21,127,371.790659
3.055162	0.2041	20,701,310.315098
3.058562	0.204	20,751,360.350114
3.061963	0.2041	20,661,144.853171
3.065365	0.2041	20,467,839.336626
3.068765	0.204	20,390,271.270284
3.072167	0.2041	20,241,704.314024
3.075568	0.2041	20,280,432.793237
3.078968	0.204	20,269,521.764469
3.082370	0.2041	19,710,336.105636
3.085772	0.2041	19,285,203.759985
3.089172	0.204	18,800,640.135389
3.092573	0.2041	17,839,773.865080
3.095975	0.2041	17,309,919.250196
3.099375	0.204	16,868,584.960597
3.102777	0.2041	16,458,588.712899
3.106178	0.2041	16,329,450.489228
3.109578	0.204	15,849,101.602585
3.112980	0.2041	15,122,426.568239
3.116382	0.2041	14,611,483.113201
3.119782	0.204	14,408,744.682229
3.123183	0.2041	14,101,501.878997
3.126583	0.204	13,824,134.389856
3.129985	0.2041	13,617,819.912279
3.133387	0.2041	13,402,532.379800
3.136787	0.204	13,351,558.654737
3.140188	0.2041	13,110,476.993462
3.143590	0.2041	12,836,037.808665
3.146990	0.204	12,850,179.837604
3.150392	0.2041	12,635,684.085827
3.153793	0.2041	12,408,020.737211
3.157193	0.204	12,306,923.997786
3.160595	0.2041	12,070,286.813193
3.163997	0.2041	12,080,407.908397
3.167397	0.204	11,997,674.823413
3.170798	0.2041	11,738,406.327830
3.174200	0.2041	11,711,084.915424
3.177600	0.204	11,517,816.010353
3.181002	0.2041	11,197,491.635985
3.184403	0.2041	11,215,255.043185
3.187803	0.204	11,254,229.009102
3.191205	0.2041	11,113,983.807329
3.194605	0.204	11,044,298.879116
3.198007	0.2041	11,015,671.761659
3.201408	0.2041	10,932,008.294355
3.204808	0.204	10,887,855.196080
3.208210	0.2041	10,814,097.173940
3.211612	0.2041	10,738,595.091367
3.215012	0.204	10,605,885.057272
3.218413	0.2041	10,482,940.218850
3.221815	0.2041	10,476,368.039319
3.225215	0.204	10,267,149.905998
3.228617	0.2041	10,186,134.770860
3.232018	0.2041	10,379,072.962042
3.235418	0.204	10,265,208.155147
3.238820	0.2041	10,063,922.152493
3.242222	0.2041	10,073,271.266479
3.245622	0.204	10,051,628.274138
3.249023	0.2041	10,050,154.287179
3.252425	0.2041	9,964,829.619177
3.255825	0.204	9,752,704.068918
3.259227	0.2041	9,736,356.088884
3.262627	0.204	9,622,058.624008
3.266028	0.2041	9,340,273.588797
3.269430	0.2041	9,293,731.844371
3.272830	0.204	9,178,207.413582
3.276232	0.2041	8,967,233.448940
3.279633	0.2041	8,906,101.217408
3.283033	0.204	8,889,586.519072
3.286435	0.2041	8,857,113.424083
3.289837	0.2041	8,744,802.181733
3.293237	0.204	8,647,428.541763
3.296638	0.2041	8,611,071.599007
3.300040	0.2041	8,641,746.301630
3.303440	0.204	8,567,007.748811
3.306842	0.2041	8,481,269.711117
3.310243	0.2041	8,436,475.299703
3.313643	0.204	8,386,588.839445
3.317045	0.2041	8,448,521.910217
3.320447	0.2041	8,330,377.533259
3.323847	0.204	8,210,707.084759
3.327248	0.2041	8,304,712.557235
3.330648	0.204	8,205,451.309354
3.334050	0.2041	7,962,101.005583
3.337452	0.2041	7,928,572.263565
3.340852	0.204	7,852,882.707388
3.344253	0.2041	7,566,656.818192
3.347655	0.2041	7,432,352.084641
3.351055	0.204	7,486,863.869326
3.354457	0.2041	7,347,718.710634
3.357858	0.2041	7,129,051.821894
3.361258	0.204	7,056,532.136128
3.364660	0.2041	7,012,805.072756
3.368062	0.2041	6,983,522.974770
3.371462	0.204	7,005,551.904732
3.374863	0.2041	6,895,528.860399
3.378265	0.2041	6,727,499.423080
3.381665	0.204	6,730,940.022844
3.385067	0.2041	6,747,680.718446
3.388468	0.2041	6,644,578.172841
3.391868	0.204	6,609,185.683418
3.395270	0.2041	6,612,258.299968
3.398670	0.204	6,547,763.991170
3.402072	0.2041	6,501,333.537516
3.405473	0.2041	6,386,752.330101
3.408873	0.204	6,286,508.681974
3.412275	0.2041	6,314,341.519553
3.415677	0.2041	6,346,538.045389
3.419077	0.204	6,229,373.922606
3.422478	0.2041	6,060,377.476475
3.425880	0.2041	6,107,167.054113
3.429280	0.204	6,226,213.164197
3.432682	0.2041	6,171,914.309808
3.436083	0.2041	6,101,277.762484
3.439483	0.204	6,136,556.333580
3.442885	0.2041	6,072,359.905079
3.446287	0.2041	6,069,800.146863
3.449687	0.204	5,986,228.043975
3.453088	0.2041	5,887,842.256577
3.456490	0.2041	5,980,729.347231
3.459890	0.204	5,879,216.166401
3.463292	0.2041	5,885,675.040263
3.466692	0.204	5,907,364.230721
3.470093	0.2041	5,704,730.564776
3.473495	0.2041	5,653,641.482068
3.476895	0.204	5,718,997.243036
3.480297	0.2041	5,728,461.846304
3.483698	0.2041	5,704,148.653781
3.487098	0.204	5,638,511.773427
3.490500	0.2041	5,537,603.386241
3.493902	0.2041	5,574,115.349448
3.497302	0.204	5,603,470.154533
3.500703	0.2041	5,735,800.250408
3.504105	0.2041	5,973,291.584091
3.507505	0.204	6,212,624.969207
3.510907	0.2041	6,603,407.119824
3.514308	0.2041	7,393,488.022974
3.517708	0.204	8,804,344.448227
3.521110	0.2041	9,704,235.158589
3.524512	0.2041	9,903,431.638754
3.527912	0.204	9,977,146.664020
3.531313	0.2041	9,467,488.187787
3.534713	0.204	9,068,346.328889
3.538115	0.2041	8,814,716.764182
3.541517	0.2041	8,161,587.230363
3.544917	0.204	7,807,926.943810
3.548318	0.2041	7,721,304.506048
3.551720	0.2041	7,455,418.398090
3.555120	0.204	7,297,266.670273
3.558522	0.2041	7,189,218.742975
3.561923	0.2041	7,020,859.140204
3.565323	0.204	6,977,014.419654
3.568725	0.2041	6,936,505.559488
3.572127	0.2041	6,989,971.657644
3.575527	0.204	7,031,946.735321
3.578928	0.2041	6,992,441.302901
3.582330	0.2041	7,111,563.247667
3.585730	0.204	7,205,190.789439
3.589132	0.2041	7,352,470.833859
3.592533	0.2041	7,447,940.034554
3.595933	0.204	7,354,623.226511
3.599335	0.2041	7,474,145.436460
3.602735	0.204	7,602,742.008163
3.606137	0.2041	7,609,736.489831
3.609538	0.2041	7,674,999.407712
3.612938	0.204	7,702,485.518063
3.616340	0.2041	7,610,120.145369
3.619742	0.2041	7,596,310.979883
3.623142	0.204	7,538,452.642549
3.626543	0.2041	7,333,670.331111
3.629945	0.2041	7,274,709.202217
3.633345	0.204	7,129,881.011655
3.636747	0.2041	7,001,443.677499
3.640148	0.2041	7,012,800.059439
3.643548	0.204	6,800,235.376168
3.646950	0.2041	6,747,400.414120
3.650352	0.2041	7,040,367.363563
3.653752	0.204	7,325,203.757427
3.657153	0.2041	7,626,572.327803
3.660555	0.2041	8,065,922.561261
3.663955	0.204	8,519,998.912483
3.667357	0.2041	8,748,439.072738
3.670757	0.204	8,816,235.046151
3.674158	0.2041	8,653,253.273045
3.677560	0.2041	8,358,893.770564
3.680960	0.204	8,159,767.717432
3.684362	0.2041	7,929,489.186135
3.687763	0.2041	7,663,899.565489
3.691163	0.204	7,375,340.668578
3.694565	0.2041	7,103,838.857756
3.697967	0.2041	6,923,464.470550
3.701367	0.204	6,976,371.670220
3.704768	0.2041	6,985,433.161870
3.708170	0.2041	6,840,773.987522
3.711570	0.204	7,027,006.899434
3.714972	0.2041	7,242,864.258606
3.718373	0.2041	7,207,825.297258
3.721773	0.204	7,209,977.429116
3.725175	0.2041	7,222,922.082603
3.728577	0.2041	7,161,268.133807
3.731977	0.204	7,124,898.537030
3.735378	0.2041	7,110,601.877121
3.738778	0.204	7,017,106.153544
3.742180	0.2041	6,899,896.327350
3.745582	0.2041	6,910,755.860551
3.748982	0.204	7,006,712.766152
3.752383	0.2041	7,063,266.069879
3.755785	0.2041	7,026,887.547733
3.759185	0.204	7,128,881.375861
3.762587	0.2041	7,262,239.710762
3.765988	0.2041	7,262,204.311865
3.769388	0.204	7,491,677.312586
3.772790	0.2041	7,695,992.874301
3.776192	0.2041	7,980,577.093043
3.779592	0.204	8,341,887.563969
3.782993	0.2041	8,418,762.031979
3.786395	0.2041	8,415,086.696223
3.789795	0.204	8,347,394.414700
3.793197	0.2041	8,296,755.919174
3.796598	0.2041	8,284,795.537629
3.799998	0.204	8,042,911.406478
3.803400	0.2041	7,803,369.016444
3.806800	0.204	7,897,908.088967
3.810202	0.2041	7,962,455.463104
3.813603	0.2041	7,884,848.602550
3.817003	0.204	8,060,773.413838
3.820405	0.2041	8,289,853.188769
3.823807	0.2041	8,296,077.643758
3.827207	0.204	8,364,008.800361
3.830608	0.2041	8,564,569.502425
3.834010	0.2041	8,739,302.999133
3.837410	0.204	8,712,653.999484
3.840812	0.2041	8,771,856.233880
3.844213	0.2041	8,789,809.721634
3.847613	0.204	8,749,659.137512
3.851015	0.2041	8,950,944.436251
3.854417	0.2041	8,994,855.409658
3.857817	0.204	9,123,448.167666
3.861218	0.2041	9,409,543.022039
3.864620	0.2041	9,624,723.997424
3.868020	0.204	10,114,546.826760
3.871422	0.2041	10,869,791.178455
3.874822	0.204	11,681,597.626216
3.878223	0.2041	12,297,122.453028
3.881625	0.2041	12,685,775.938736
3.885025	0.204	12,964,030.388757
3.888427	0.2041	13,063,358.898726
3.891828	0.2041	13,354,418.251545
3.895228	0.204	14,311,375.346836
3.898630	0.2041	16,100,292.763029
3.902032	0.2041	18,866,837.724718
3.905432	0.204	21,847,187.714345
3.908833	0.2041	24,190,739.757711
3.912235	0.2041	25,832,767.530947
3.915635	0.204	26,213,755.605633
3.919037	0.2041	25,468,882.113551
3.922438	0.2041	24,233,102.701432
3.925838	0.204	22,897,453.569815
3.929240	0.2041	21,600,279.390101
3.932642	0.2041	20,143,975.221544
3.936042	0.204	19,174,486.002644
