File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/640.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_01-2
Injection Number	32
Position	1
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/21/2019
Injection Time	3:35:12 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.001655
Time Max. (min)	22.993198
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	687,526.260796
Signal Max.	1,730,041,076.254980
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406475

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.001655	n.a.	3,492,239.432007
3.005057	0.2041	3,301,218.015160
3.008458	0.2041	3,029,484.644698
3.011858	0.204	3,012,802.375559
3.015260	0.2041	3,012,932.478187
3.018662	0.2041	2,862,949.398975
3.022062	0.204	2,757,366.368043
3.025463	0.2041	2,740,897.025636
3.028865	0.2041	2,779,860.192289
3.032265	0.204	2,760,452.393680
3.035667	0.2041	2,753,124.687682
3.039068	0.2041	2,733,723.424358
3.042468	0.204	2,587,695.470101
3.045870	0.2041	2,588,311.698101
3.049272	0.2041	2,611,219.314653
3.052672	0.204	2,525,813.926709
3.056073	0.2041	2,526,785.285793
3.059473	0.204	2,483,380.969686
3.062875	0.2041	2,472,209.884307
3.066277	0.2041	2,446,378.020110
3.069677	0.204	2,355,568.805712
3.073078	0.2041	2,293,668.382410
3.076480	0.2041	2,236,247.331671
3.079880	0.204	2,168,434.187638
3.083282	0.2041	2,066,209.200790
3.086683	0.2041	2,057,099.048989
3.090083	0.204	2,041,580.520572
3.093485	0.2041	1,972,881.223563
3.096887	0.2041	1,952,256.923546
3.100287	0.204	1,962,911.308307
3.103688	0.2041	1,986,207.087808
3.107090	0.2041	1,944,849.404050
3.110490	0.204	1,869,091.692780
3.113892	0.2041	1,848,916.623316
3.117293	0.2041	1,867,971.889158
3.120693	0.204	1,874,829.828644
3.124095	0.2041	1,840,914.440377
3.127495	0.204	1,792,472.175680
3.130897	0.2041	1,807,754.944807
3.134298	0.2041	1,883,705.372167
