File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/584.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_02-3
Injection Number	34
Position	3
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/21/2019
Injection Time	4:31:15 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002693
Time Max. (min)	22.994250
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	3,834,355.035743
Signal Max.	4,036,534,335.717530
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406489

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.002693	n.a.	14,519,236.558044
3.006095	0.2041	14,406,221.219383
3.009497	0.2041	14,261,813.010937
3.012897	0.204	14,184,084.596366
3.016298	0.2041	14,140,302.233956
3.019700	0.2041	13,928,837.115351
3.023100	0.204	13,556,670.015119
3.026502	0.2041	13,361,667.010978
3.029903	0.2041	13,308,160.137314
3.033303	0.204	13,219,007.233309
3.036705	0.2041	12,965,750.583673
3.040107	0.2041	12,817,363.077698
3.043507	0.204	12,835,114.428441
3.046908	0.2041	12,592,911.928754
3.050308	0.204	12,407,803.121668
3.053710	0.2041	12,457,822.721723
3.057112	0.2041	12,428,813.135217
3.060512	0.204	12,256,729.759348
3.063913	0.2041	11,976,868.045155
3.067315	0.2041	11,819,869.703444
3.070715	0.204	11,620,327.340955
3.074117	0.2041	11,462,451.361951
3.077518	0.2041	11,447,620.052612
3.080918	0.204	11,261,039.073927
3.084320	0.2041	11,161,735.205623
3.087722	0.2041	11,061,722.040539
3.091122	0.204	10,732,299.002358
3.094523	0.2041	10,459,968.458675
3.097925	0.2041	10,175,987.258433
3.101325	0.204	9,865,586.211577
3.104727	0.2041	9,694,735.076775
3.108128	0.2041	9,680,931.291013
3.111528	0.204	9,745,524.240137
3.114930	0.2041	9,686,087.856637
3.118330	0.204	9,472,542.373774
3.121732	0.2041	9,309,195.591902
3.125133	0.2041	9,290,915.794695
3.128533	0.204	9,211,451.711652
3.131935	0.2041	9,129,400.053742
3.135337	0.2041	9,154,450.518694
3.138737	0.204	9,021,309.028069
3.142138	0.2041	8,816,317.773637
3.145540	0.2041	8,751,477.927169
3.148940	0.204	8,740,844.562730
3.152342	0.2041	8,785,477.031841
3.155743	0.2041	8,680,510.804529
3.159143	0.204	8,534,480.808237
3.162545	0.2041	8,541,856.063986
3.165947	0.2041	8,418,090.486619
3.169347	0.204	8,401,193.815435
3.172748	0.2041	8,474,043.325999
3.176148	0.204	8,347,447.425607
3.179550	0.2041	8,339,272.954119
3.182952	0.2041	8,317,311.299480
3.186352	0.204	8,146,647.568101
3.189753	0.2041	7,952,042.076555
3.193155	0.2041	7,872,544.896378
3.196555	0.204	7,986,301.052402
3.199957	0.2041	7,981,816.129761
3.203358	0.2041	7,857,429.954343
3.206758	0.204	7,625,691.472691
3.210160	0.2041	7,565,107.860949
3.213562	0.2041	7,655,672.435096
3.216962	0.204	7,536,619.513578
3.220363	0.2041	7,488,695.366228
3.223765	0.2041	7,518,578.660059
3.227165	0.204	7,396,215.622247
3.230567	0.2041	7,339,046.153789
3.233968	0.2041	7,349,419.666985
3.237368	0.204	7,264,001.954840
3.240770	0.2041	7,243,680.745757
3.244170	0.204	7,281,970.958203
3.247572	0.2041	7,266,017.416982
3.250973	0.2041	7,112,817.789003
3.254373	0.204	7,055,154.102757
3.257775	0.2041	7,078,148.040577
3.261177	0.2041	7,007,939.226922
3.264577	0.204	6,879,806.194415
3.267978	0.2041	6,752,982.748448
3.271380	0.2041	6,759,497.748062
3.274780	0.204	6,695,276.454158
3.278182	0.2041	6,666,705.437132
3.281583	0.2041	6,765,958.237830
3.284983	0.204	6,653,517.058743
3.288385	0.2041	6,550,179.766846
3.291787	0.2041	6,608,303.922561
3.295187	0.204	6,556,844.607822
3.298588	0.2041	6,476,143.022021
3.301988	0.204	6,493,630.332014
3.305390	0.2041	6,401,041.404093
3.308792	0.2041	6,315,739.834627
3.312192	0.204	6,342,658.094581
3.315593	0.2041	6,259,706.117295
3.318995	0.2041	6,243,867.503480
3.322395	0.204	6,346,445.643589
3.325797	0.2041	6,261,931.846735
3.329198	0.2041	6,151,323.059525
3.332598	0.204	6,228,926.972907
3.336000	0.2041	6,163,074.730842
3.339402	0.2041	6,042,685.833091
3.342802	0.204	6,032,449.934519
3.346203	0.2041	5,946,420.167499
3.349605	0.2041	5,965,348.032404
3.353005	0.204	6,013,440.054300
3.356407	0.2041	5,987,703.970870
3.359808	0.2041	5,898,597.730138
3.363208	0.204	5,784,883.628532
3.366610	0.2041	5,828,305.048114
3.370010	0.204	5,833,122.153620
3.373412	0.2041	5,706,386.327274
3.376813	0.2041	5,660,319.595813
3.380213	0.204	5,605,515.141945
