File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/872.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_17-2
Injection Number	52
Position	21
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/21/2019
Injection Time	12:58:17 PM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002340
Time Max. (min)	22.993897
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	3,725,265.249166
Signal Max.	2,352,434,703.712070
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406489

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.002340	n.a.	11,579,573.376038
3.005742	0.2041	11,496,097.822189
3.009143	0.2041	11,409,619.148292
3.012543	0.204	11,403,356.418139
3.015945	0.2041	11,200,991.057208
3.019345	0.204	10,986,612.298572
3.022747	0.2041	10,996,123.981152
3.026148	0.2041	10,886,459.020919
3.029548	0.204	10,741,500.920018
3.032950	0.2041	10,704,808.212305
3.036352	0.2041	10,554,201.667503
3.039752	0.204	10,359,263.695043
3.043153	0.2041	10,286,266.269657
3.046555	0.2041	10,098,445.164904
3.049955	0.204	10,028,723.956782
3.053357	0.2041	10,109,209.171493
3.056758	0.2041	10,018,289.512913
3.060158	0.204	9,778,153.343738
3.063560	0.2041	9,593,819.689664
3.066962	0.2041	9,662,267.743172
3.070362	0.204	9,606,949.212238
3.073763	0.2041	9,515,868.942446
3.077165	0.2041	9,445,625.832566
3.080565	0.204	9,358,962.825502
3.083967	0.2041	9,231,969.887152
3.087367	0.204	9,040,746.593679
3.090768	0.2041	9,042,772.985318
3.094170	0.2041	8,973,232.393916
3.097570	0.204	8,827,338.983714
3.100972	0.2041	8,639,498.034902
3.104373	0.2041	8,495,939.136659
3.107773	0.204	8,424,882.778044
3.111175	0.2041	8,116,857.500000
3.114577	0.2041	7,947,122.732862
3.117977	0.204	7,892,108.532151
3.121378	0.2041	7,673,230.544772
3.124780	0.2041	7,481,303.674960
3.128180	0.204	7,529,770.644702
3.131582	0.2041	7,534,961.831802
3.134983	0.2041	7,363,445.612759
3.138383	0.204	7,379,504.755714
3.141785	0.2041	7,321,091.169460
3.145185	0.204	7,134,515.044112
3.148587	0.2041	7,084,984.167695
3.151988	0.2041	7,101,195.599785
3.155388	0.204	7,034,114.247319
3.158790	0.2041	6,960,167.117664
3.162192	0.2041	7,029,021.729823
3.165592	0.204	7,024,402.507571
3.168993	0.2041	6,903,048.365329
3.172395	0.2041	6,899,794.321777
3.175795	0.204	6,853,296.566631
3.179197	0.2041	6,764,980.093234
3.182598	0.2041	6,653,617.159869
3.185998	0.204	6,615,505.757652
3.189400	0.2041	6,633,035.742117
3.192802	0.2041	6,499,167.566203
3.196202	0.204	6,526,249.894196
3.199603	0.2041	6,541,180.160589
3.203005	0.2041	6,428,723.668035
3.206405	0.204	6,406,768.587934
3.209807	0.2041	6,338,849.725211
3.213207	0.204	6,217,535.861511
3.216608	0.2041	6,260,799.949421
3.220010	0.2041	6,378,218.474680
3.223410	0.204	6,339,153.521954
3.226812	0.2041	6,183,811.862422
3.230213	0.2041	6,007,602.734623
3.233613	0.204	5,987,503.381877
3.237015	0.2041	6,063,966.680342
3.240417	0.2041	6,073,312.449969
3.243817	0.204	6,028,794.335912
3.247218	0.2041	6,097,008.436725
3.250620	0.2041	6,180,608.388819
3.254020	0.204	5,949,232.646738
3.257422	0.2041	5,854,215.725438
3.260823	0.2041	5,924,082.642929
3.264223	0.204	5,823,367.241765
3.267625	0.2041	5,737,885.067281
3.271025	0.204	5,681,623.521656
3.274427	0.2041	5,620,233.021889
3.277828	0.2041	5,608,178.367528
3.281228	0.204	5,598,398.386662
3.284630	0.2041	5,543,204.883535
3.288032	0.2041	5,637,200.830394
3.291432	0.204	5,648,065.932565
3.294833	0.2041	5,514,981.270015
3.298235	0.2041	5,488,996.083085
3.301635	0.204	5,474,044.333462
3.305037	0.2041	5,461,504.399240
3.308438	0.2041	5,366,099.493973
3.311838	0.204	5,332,551.300441
3.315240	0.2041	5,325,672.620978
3.318642	0.2041	5,207,549.794383
3.322042	0.204	5,238,280.912522
3.325443	0.2041	5,292,005.720091
3.328845	0.2041	5,247,547.288380
3.332245	0.204	5,226,946.137490
3.335647	0.2041	5,196,817.180747
3.339047	0.204	5,141,324.296352
3.342448	0.2041	5,123,123.357355
3.345850	0.2041	5,133,927.382155
3.349250	0.204	5,071,840.320800
3.352652	0.2041	4,924,647.015827
3.356053	0.2041	4,918,783.869482
3.359453	0.204	5,023,550.360694
3.362855	0.2041	5,031,340.138189
3.366257	0.2041	5,028,708.185002
3.369657	0.204	4,947,048.597164
3.373058	0.2041	4,877,098.557995
3.376460	0.2041	4,844,554.544492
3.379860	0.204	4,709,478.859208
3.383262	0.2041	4,742,471.600521
3.386663	0.2041	4,836,241.736803
3.390063	0.204	4,792,000.567369
3.393465	0.2041	4,731,549.215086
3.396865	0.204	4,780,267.973805
3.400267	0.2041	4,787,657.326981
3.403668	0.2041	4,662,975.447061
3.407068	0.204	4,633,851.816905
3.410470	0.2041	4,664,698.718103
3.413872	0.2041	4,558,949.628303
3.417272	0.204	4,603,689.611506
3.420673	0.2041	4,690,589.191013
3.424075	0.2041	4,586,582.518051
3.427475	0.204	4,567,806.053761
3.430877	0.2041	4,602,876.879411
3.434278	0.2041	4,631,274.992463
3.437678	0.204	4,563,965.479710
3.441080	0.2041	4,466,174.324407
3.444482	0.2041	4,536,466.708867
3.447882	0.204	4,604,099.519066
3.451283	0.2041	4,515,520.054943
3.454685	0.2041	4,497,140.997460
3.458085	0.204	4,487,696.852124
3.461487	0.2041	4,389,556.011199
3.464887	0.204	4,384,244.404708
3.468288	0.2041	4,348,084.682456
3.471690	0.2041	4,286,976.484534
3.475090	0.204	4,293,764.466487
3.478492	0.2041	4,306,021.972813
3.481893	0.2041	4,188,874.804634
3.485293	0.204	4,151,331.871521
3.488695	0.2041	4,208,634.315463
3.492097	0.2041	4,165,952.625349
3.495497	0.204	4,172,799.301828
3.498898	0.2041	4,168,008.642873
3.502300	0.2041	4,204,760.540491
3.505700	0.204	4,140,583.566123
3.509102	0.2041	3,978,888.680017
3.512503	0.2041	4,027,677.578827
3.515903	0.204	4,105,728.514757
3.519305	0.2041	4,119,695.667310
3.522705	0.204	4,082,425.116063
3.526107	0.2041	4,052,813.676173
3.529508	0.2041	4,003,844.682474
3.532908	0.204	3,922,865.202475
3.536310	0.2041	3,979,828.086185
3.539712	0.2041	4,066,612.459092
3.543112	0.204	4,021,395.096471
3.546513	0.2041	4,079,782.582534
3.549915	0.2041	4,145,732.914244
3.553315	0.204	4,077,762.337883
3.556717	0.2041	4,033,379.616878
3.560118	0.2041	3,979,634.261694
3.563518	0.204	3,976,445.947720
3.566920	0.2041	3,976,896.528639
3.570322	0.2041	3,909,887.464022
3.573722	0.204	3,829,377.681646
3.577123	0.2041	3,788,054.405376
3.580525	0.2041	3,790,379.843537
3.583925	0.204	3,800,077.738635
3.587327	0.2041	3,800,953.460054
3.590727	0.204	3,783,006.655083
3.594128	0.2041	3,868,741.469684
3.597530	0.2041	3,969,955.466031
3.600930	0.204	3,910,114.171241
3.604332	0.2041	3,958,497.301665
3.607733	0.2041	4,008,460.557326
3.611133	0.204	3,955,680.321032
3.614535	0.2041	4,009,806.373975
3.617937	0.2041	4,027,491.559872
3.621337	0.204	3,951,153.251854
3.624738	0.2041	3,862,298.657258
3.628140	0.2041	3,768,858.847722
3.631540	0.204	3,737,821.201645
3.634942	0.2041	3,781,287.288798
3.638343	0.2041	3,759,134.995007
3.641743	0.204	3,737,326.997887
3.645145	0.2041	3,777,294.790672
3.648545	0.204	3,725,265.249166
3.651947	0.2041	3,735,433.764422
3.655348	0.2041	3,817,175.354591
3.658748	0.204	3,742,611.215805
3.662150	0.2041	3,807,042.598486
3.665552	0.2041	3,910,632.522803
3.668952	0.204	3,874,743.686341
3.672353	0.2041	3,958,599.238901
3.675755	0.2041	3,944,116.128994
3.679155	0.204	3,859,179.789358
3.682557	0.2041	3,826,219.100959
3.685958	0.2041	3,740,072.244417
3.689358	0.204	3,758,975.276137
3.692760	0.2041	3,760,804.937263
3.696162	0.2041	3,747,695.016230
3.699562	0.204	3,765,850.733466
3.702963	0.2041	3,748,796.482990
3.706365	0.2041	3,785,834.316411
3.709765	0.204	3,820,145.575155
3.713167	0.2041	3,805,718.048524
3.716567	0.204	3,814,203.592186
3.719968	0.2041	3,896,596.682941
3.723370	0.2041	3,989,210.346084
3.726770	0.204	3,962,595.942931
3.730172	0.2041	3,963,517.344014
3.733573	0.2041	4,055,579.851029
3.736973	0.204	4,098,942.204539
3.740375	0.2041	4,168,982.203933
3.743777	0.2041	4,148,209.313503
3.747177	0.204	4,159,275.632114
3.750578	0.2041	4,271,331.158960
3.753980	0.2041	4,221,890.432903
3.757380	0.204	4,192,219.422821
3.760782	0.2041	4,312,804.125767
3.764183	0.2041	4,404,004.138318
3.767583	0.204	4,467,728.890962
3.770985	0.2041	4,566,498.810455
3.774387	0.2041	4,722,477.005812
3.777787	0.204	4,820,386.755494
3.781188	0.2041	4,830,282.470426
3.784588	0.204	4,905,121.740568
3.787990	0.2041	5,033,153.905499
3.791392	0.2041	5,146,875.218942
3.794792	0.204	5,201,455.480228
3.798193	0.2041	5,281,654.000680
3.801595	0.2041	5,445,635.182893
3.804995	0.204	5,486,120.920346
3.808397	0.2041	5,505,587.259924
3.811798	0.2041	5,602,674.089082
3.815198	0.204	5,548,752.210014
3.818600	0.2041	5,574,480.707619
3.822002	0.2041	5,768,135.023535
3.825402	0.204	5,674,098.206368
3.828803	0.2041	5,624,721.366718
3.832205	0.2041	5,864,749.424711
3.835605	0.204	5,936,175.739426
3.839007	0.2041	5,939,599.663959
3.842407	0.204	6,013,138.804870
3.845808	0.2041	6,113,949.316097
3.849210	0.2041	6,204,517.464334
3.852610	0.204	6,095,856.262757
3.856012	0.2041	6,143,227.882966
3.859413	0.2041	6,363,349.588280
3.862813	0.204	6,403,070.988114
3.866215	0.2041	6,527,996.299331
3.869617	0.2041	6,759,469.848878
3.873017	0.204	6,881,227.371424
3.876418	0.2041	7,063,855.445981
3.879820	0.2041	7,307,721.366335
3.883220	0.204	7,424,987.219396
3.886622	0.2041	7,684,851.390017
3.890023	0.2041	7,843,265.529098
3.893423	0.204	7,751,012.294247
3.896825	0.2041	7,732,500.555223
3.900227	0.2041	7,762,215.811488
3.903627	0.204	7,896,204.267488
3.907028	0.2041	8,088,129.019986
3.910428	0.204	8,416,868.727289
3.913830	0.2041	8,651,130.040572
3.917232	0.2041	8,617,833.026973
3.920632	0.204	8,581,702.672915
3.924033	0.2041	8,502,416.611272
3.927435	0.2041	8,425,867.064022
3.930835	0.204	8,387,944.590145
3.934237	0.2041	8,345,680.298360
3.937638	0.2041	8,266,701.833823
3.941038	0.204	8,255,671.933363
3.944440	0.2041	8,225,030.281313
3.947842	0.2041	8,055,918.074526
3.951242	0.204	8,046,862.102536
3.954643	0.2041	8,139,112.767211
3.958045	0.2041	7,989,990.218244
3.961445	0.204	8,050,102.636703
3.964847	0.2041	8,257,612.190617
3.968247	0.204	8,342,586.531438
3.971648	0.2041	8,496,842.922586
3.975050	0.2041	8,452,227.519246
3.978450	0.204	8,520,115.938813
3.981852	0.2041	8,777,576.448320
3.985253	0.2041	8,847,831.512384
3.988653	0.204	8,927,394.283644
3.992055	0.2041	8,993,658.664701
3.995457	0.2041	8,908,266.043286
3.998857	0.204	8,836,411.140783
4.002258	0.2041	8,809,486.661344
4.005660	0.2041	8,757,416.693275
4.009060	0.204	8,627,393.917298
4.012462	0.2041	8,475,822.623217
4.015863	0.2041	8,395,904.509307
4.019263	0.204	8,363,434.812714
4.022665	0.2041	8,319,522.725949
4.026065	0.204	8,211,646.385719
4.029467	0.2041	8,181,960.252815
4.032868	0.2041	8,165,564.894947
4.036268	0.204	8,168,167.591834
4.039670	0.2041	8,141,245.264493
4.043072	0.2041	8,103,497.259814
4.046472	0.204	8,142,868.246438
