File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/132.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_no_is
Injection Number	1
Position	1
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	8/25/2018
Injection Time	12:56:06 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000550
Time Max. (min)	22.992117
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2 SR4 Build 8179 (264636)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	635,499.712366
Signal Max.	324,292,260.922767
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000550	n.a.	1,386,939.138290
3.003952	0.2041	1,397,155.529446
3.007353	0.2041	1,399,930.752767
3.010753	0.204	1,365,260.696572
3.014155	0.2041	1,331,303.766402
3.017555	0.204	1,305,379.459575
3.020957	0.2041	1,287,744.311863
3.024358	0.2041	1,327,314.318514
3.027758	0.204	1,307,371.188273
3.031160	0.2041	1,288,493.100402
3.034562	0.2041	1,333,980.724222
3.037962	0.204	1,289,659.812733
3.041363	0.2041	1,312,197.274968
3.044765	0.2041	1,347,892.364726
3.048165	0.204	1,346,085.278409
3.051567	0.2041	1,388,762.925076
3.054968	0.2041	1,383,573.183816
3.058368	0.204	1,346,503.789508
3.061770	0.2041	1,292,900.828870
3.065172	0.2041	1,283,751.793747
3.068572	0.204	1,300,278.331073
3.071973	0.2041	1,283,378.014678
3.075375	0.2041	1,293,263.424855
3.078775	0.204	1,274,567.756912
3.082177	0.2041	1,211,091.441869
3.085577	0.204	1,212,644.149878
3.088978	0.2041	1,226,642.081602
3.092380	0.2041	1,248,291.006381
3.095780	0.204	1,262,140.929717
3.099182	0.2041	1,229,878.852447
3.102583	0.2041	1,220,111.273624
3.105983	0.204	1,187,161.270724
3.109385	0.2041	1,150,361.686016
3.112787	0.2041	1,159,477.118491
3.116187	0.204	1,145,107.201452
3.119588	0.2041	1,119,966.370951
3.122990	0.2041	1,119,342.449591
3.126390	0.204	1,096,482.916612
3.129792	0.2041	1,078,457.853361
3.133193	0.2041	1,073,826.304026
3.136593	0.204	1,042,239.192244
3.139995	0.2041	1,053,355.167334
3.143395	0.204	1,091,079.681100
3.146797	0.2041	1,096,522.780829
3.150198	0.2041	1,102,861.659695
3.153598	0.204	1,088,451.594834
3.157000	0.2041	1,045,112.826586
3.160402	0.2041	1,046,859.366260
