File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/874.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_greenhouse_01
Injection Number	5
Position	3
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/7/2018
Injection Time	5:59:08 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.001378
Time Max. (min)	22.992945
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2 SR4 Build 8179 (264636)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	539,600.918698
Signal Max.	810,937,595.431386
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.001378	n.a.	1,490,611.168114
3.004780	0.2041	1,489,164.436481
3.008180	0.204	1,480,452.660287
3.011582	0.2041	1,464,604.055457
3.014983	0.2041	1,441,093.964183
3.018383	0.204	1,405,159.944793
3.021785	0.2041	1,381,249.579067
3.025187	0.2041	1,361,800.603297
3.028587	0.204	1,384,283.229498
3.031988	0.2041	1,417,527.039102
3.035390	0.2041	1,386,809.260224
3.038790	0.204	1,347,681.101744
3.042192	0.2041	1,347,755.410943
3.045593	0.2041	1,382,505.451317
3.048993	0.204	1,382,225.852816
3.052395	0.2041	1,358,024.713754
3.055795	0.204	1,345,435.225847
3.059197	0.2041	1,301,589.754333
3.062598	0.2041	1,264,163.313454
3.065998	0.204	1,273,095.954688
3.069400	0.2041	1,272,211.219992
3.072802	0.2041	1,258,215.736099
3.076202	0.204	1,277,865.860271
3.079603	0.2041	1,272,877.539570
3.083005	0.2041	1,251,337.564500
3.086405	0.204	1,257,180.568158
3.089807	0.2041	1,238,686.095647
3.093208	0.2041	1,208,875.098960
3.096608	0.204	1,170,209.622179
3.100010	0.2041	1,152,541.690270
3.103412	0.2041	1,150,360.953319
3.106812	0.204	1,091,408.294783
3.110213	0.2041	1,060,426.399085
3.113615	0.2041	1,072,293.030209
3.117015	0.204	1,055,635.203264
3.120417	0.2041	1,025,048.362947
3.123817	0.204	1,002,371.371087
3.127218	0.2041	985,022.546355
