File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/246.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_greenhouse_03
Injection Number	8
Position	5
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/19/2018
Injection Time	3:20:27 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000628
Time Max. (min)	22.992195
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2 SR4 Build 8179 (264636)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,625,771.891254
Signal Max.	869,235,459.981110
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000628	n.a.	4,560,957.537449
3.004028	0.204	4,681,542.551430
3.007430	0.2041	4,845,691.269340
3.010832	0.2041	4,851,460.153435
3.014232	0.204	4,797,096.891283
3.017633	0.2041	4,786,776.901712
3.021033	0.204	4,829,066.339649
3.024435	0.2041	4,753,343.795077
3.027837	0.2041	4,653,980.926280
3.031237	0.204	4,639,203.165091
3.034638	0.2041	4,543,361.413805
3.038040	0.2041	4,506,978.490193
3.041440	0.204	4,519,968.097024
3.044842	0.2041	4,499,862.236541
3.048243	0.2041	4,448,847.957235
3.051643	0.204	4,383,160.297342
3.055045	0.2041	4,400,908.595023
3.058447	0.2041	4,345,803.164695
3.061847	0.204	4,309,543.552889
3.065248	0.2041	4,297,953.102320
3.068650	0.2041	4,168,136.087975
3.072050	0.204	4,147,959.118925
3.075452	0.2041	4,151,344.864328
3.078853	0.2041	4,075,466.831831
3.082253	0.204	4,110,000.238100
3.085655	0.2041	4,149,535.240544
3.089055	0.204	4,057,502.586352
3.092457	0.2041	4,020,234.305725
3.095858	0.2041	4,016,963.899843
3.099258	0.204	3,945,484.302979
3.102660	0.2041	3,895,700.261831
3.106062	0.2041	3,843,053.211098
3.109462	0.204	3,747,218.634340
3.112863	0.2041	3,683,270.616127
3.116265	0.2041	3,613,033.766777
3.119665	0.204	3,566,147.176775
3.123067	0.2041	3,550,313.643658
3.126468	0.2041	3,475,284.592294
3.129868	0.204	3,382,880.473258
3.133270	0.2041	3,354,996.261927
3.136672	0.2041	3,386,218.995078
3.140072	0.204	3,367,594.717472
3.143473	0.2041	3,308,967.612069
3.146875	0.2041	3,259,516.898325
3.150275	0.204	3,239,940.373209
3.153677	0.2041	3,196,406.724071
3.157077	0.204	3,185,071.720783
3.160478	0.2041	3,176,153.341926
3.163880	0.2041	3,096,810.999197
3.167280	0.204	3,056,475.312224
3.170682	0.2041	3,051,400.111630
3.174083	0.2041	2,980,456.119854
3.177483	0.204	2,924,975.641822
