File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/853.smp/MS_[93.00%2C 500 MMU]].channel/MS_[93.00%2C 500 MMU]].chm
Channel	MS_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_bag_1ul_nonyl_acetate
Injection Number	3
Position	2
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	5/26/2021
Injection Time	11:51:48 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033915
Time Max. (min)	37.993753
Data Points	11162
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	1,930,061.750000
Channel	MS_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033915	n.a.	7,541.662598
0.037317	0.2041	17,292.521484
0.040718	0.2041	20,618.595703
0.044118	0.204	17,903.876953
0.047520	0.2041	13,153.379883
0.050922	0.2041	11,723.171875
0.054322	0.204	16,754.361328
0.057723	0.2041	17,800.644531
0.061125	0.2041	19,952.786133
0.064527	0.2041	22,197.890625
0.067927	0.204	24,836.173828
0.071328	0.2041	20,823.890625
0.074730	0.2041	18,271.410156
0.078130	0.204	22,248.960938
0.081532	0.2041	7,564.693359
0.084933	0.2041	10,773.147461
0.088333	0.204	16,511.437500
0.091735	0.2041	14,425.778320
0.095137	0.2041	18,491.068359
0.098537	0.204	15,117.250000
0.101938	0.2041	16,796.671875
0.105340	0.2041	10,224.643066
0.108740	0.204	10,668.725586
0.112142	0.2041	13,929.527344
0.115543	0.2041	9,117.044922
0.118943	0.204	16,288.324219
0.122345	0.2041	19,498.400391
0.125747	0.2041	13,915.089844
0.129147	0.204	19,399.171875
0.132548	0.2041	17,302.828125
0.135950	0.2041	12,870.684570
0.139350	0.204	16,093.370117
0.142752	0.2041	9,255.417969
0.146153	0.2041	5,978.278809
0.149553	0.204	10,463.416016
0.152955	0.2041	10,513.491211
0.156357	0.2041	10,363.648438
0.159757	0.204	7,966.250854
0.163158	0.2041	8,544.736328
0.166560	0.2041	26,323.953125
0.169960	0.204	21,172.636719
0.173362	0.2041	6,273.848755
0.176763	0.2041	9,839.852539
0.180163	0.204	11,855.176758
0.183565	0.2041	14,865.463867
0.186967	0.2041	20,206.191406
0.190367	0.204	10,686.755859
0.193768	0.2041	11,522.344727
0.197170	0.2041	18,088.316406
0.200570	0.204	11,959.646484
