File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/399.smp/MS_[93.00%2C 500 MMU]].channel/MS_[93.00%2C 500 MMU]].chm
Channel	MS_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_bag_1ul_nonyl_acetate_field
Injection Number	29
Position	28
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	7/30/2021
Injection Time	1:33:41 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034018
Time Max. (min)	34.990693
Data Points	10279
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	5,605,626.000000
Channel	MS_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034018	n.a.	3,607.217285
0.037420	0.2041	3,088.342285
0.040822	0.2041	3,206.422607
0.044222	0.204	4,650.310059
0.047623	0.2041	2,837.868896
0.051025	0.2041	3,593.633789
0.054425	0.204	7,700.469727
0.057827	0.2041	6,771.544922
0.061228	0.2041	6,513.171387
0.064628	0.204	7,006.261719
0.068030	0.2041	5,540.298828
0.071432	0.2041	6,239.636719
0.074832	0.204	7,336.381836
0.078233	0.2041	3,686.211426
0.081635	0.2041	2,169.260742
0.085035	0.204	5,275.451660
0.088437	0.2041	3,407.285156
0.091838	0.2041	2,949.085693
0.095238	0.204	3,260.802490
0.098640	0.2041	5,091.107422
0.102042	0.2041	5,428.787598
0.105442	0.204	1,788.304688
0.108843	0.2041	2,243.585205
0.112245	0.2041	4,437.284668
0.115645	0.204	4,124.715820
0.119047	0.2041	7,189.520996
0.122448	0.2041	8,867.244141
0.125848	0.204	4,745.818848
0.129250	0.2041	3,759.315674
0.132652	0.2041	3,774.949707
0.136052	0.204	2,278.237549
0.139453	0.2041	2,431.504150
0.142855	0.2041	5,935.211914
0.146255	0.204	6,657.804199
0.149657	0.2041	5,090.179688
0.153058	0.2041	5,433.714844
0.156460	0.2041	1,254.524414
0.159860	0.204	3,004.804443
0.163262	0.2041	5,937.019043
0.166663	0.2041	4,765.599121
0.170063	0.204	2,096.165771
0.173465	0.2041	3,503.901123
0.176867	0.2041	5,747.989746
0.180267	0.204	4,331.961914
0.183668	0.2041	4,743.069824
0.187070	0.2041	4,224.406006
0.190470	0.204	3,128.176514
0.193872	0.2041	2,188.594971
0.197273	0.2041	4,454.836914
0.200673	0.204	4,888.941406
0.204075	0.2041	3,229.541504
0.207477	0.2041	3,741.322266
0.210877	0.204	2,667.735107
0.214278	0.2041	2,847.088379
0.217680	0.2041	3,151.745117
0.221080	0.204	2,765.874756
0.224482	0.2041	4,930.462891
0.227883	0.2041	5,232.482422
0.231283	0.204	1,431.945435
0.234685	0.2041	2,444.101807
0.238087	0.2041	3,181.654541
0.241487	0.204	777.151489
0.244888	0.2041	2,167.021973
0.248290	0.2041	1,512.047729
0.251690	0.204	1,603.946533
0.255092	0.2041	5,239.050781
0.258493	0.2041	5,987.941406
0.261893	0.204	5,545.664063
0.265295	0.2041	5,880.116211
0.268697	0.2041	2,602.589600
0.272097	0.204	2,387.566650
0.275498	0.2041	8,317.153320
0.278900	0.2041	6,175.743652
0.282300	0.204	2,894.102295
0.285702	0.2041	2,501.770996
0.289103	0.2041	4,347.604004
0.292503	0.204	3,777.630615
0.295905	0.2041	3,384.093018
0.299307	0.2041	6,569.264160
0.302707	0.204	7,867.778320
0.306108	0.2041	2,299.786133
0.309510	0.2041	419.851379
0.312910	0.204	1,751.838623
0.316312	0.2041	3,410.542725
0.319713	0.2041	1,887.530029
0.323113	0.204	2,603.717285
0.326515	0.2041	754.329956
0.329917	0.2041	633.737427
0.333317	0.204	981.119873
0.336718	0.2041	2,010.332764
0.340120	0.2041	4,670.703125
0.343520	0.204	4,936.513184
0.346922	0.2041	3,481.793945
0.350323	0.2041	3,001.565674
0.353723	0.204	4,199.391602
0.357125	0.2041	3,418.399048
0.360527	0.2041	2,171.857178
0.363927	0.204	2,159.778564
0.367328	0.2041	1,904.682877
0.370730	0.2041	1,722.446167
0.374130	0.204	1,546.937622
0.377532	0.2041	1,608.512085
0.380933	0.2041	1,729.429443
0.384333	0.204	2,606.144775
0.387735	0.2041	3,141.366913
0.391137	0.2041	2,117.652588
0.394537	0.204	1,901.679199
0.397938	0.2041	1,226.792603
0.401340	0.2041	2,323.854004
0.404740	0.204	1,812.145874
0.408142	0.2041	2,168.370850
0.411543	0.2041	5,801.511719
0.414943	0.204	5,614.286621
0.418345	0.2041	3,074.614502
0.421747	0.2041	2,726.971924
0.425147	0.204	0.000000
0.428548	0.2041	4,949.971191
0.431950	0.2041	7,399.522949
0.435350	0.204	5,166.319336
0.438752	0.2041	2,311.067627
0.442153	0.2041	3,397.953125
0.445553	0.204	3,323.459229
0.448955	0.2041	2,149.421631
0.452357	0.2041	2,874.009766
0.455757	0.204	4,222.706055
0.459158	0.2041	1,485.890259
0.462560	0.2041	2,962.897949
0.465960	0.204	4,322.505859
0.469362	0.2041	967.281433
0.472763	0.2041	4,446.065430
0.476163	0.204	7,810.568848
0.479565	0.2041	3,749.454102
0.482967	0.2041	1,166.643799
0.486367	0.204	2,833.305176
0.489768	0.2041	2,637.734619
0.493170	0.2041	1,483.467651
0.496572	0.2041	1,720.497559
0.499972	0.204	3,405.563965
0.503373	0.2041	1,783.922607
0.506775	0.2041	2,330.863281
0.510175	0.204	2,817.670410
0.513577	0.2041	2,745.337769
0.516978	0.2041	4,631.088379
0.520378	0.204	2,888.101807
0.523780	0.2041	90.916794
0.527182	0.2041	1,954.133179
0.530582	0.204	2,812.820557
0.533983	0.2041	1,574.927979
0.537385	0.2041	1,855.625534
0.540785	0.204	2,818.871826
0.544187	0.2041	4,237.817383
0.547588	0.2041	1,992.354980
0.550988	0.204	1,245.343994
0.554390	0.2041	2,269.709961
0.557792	0.2041	1,889.792725
0.561192	0.204	5,029.965820
0.564593	0.2041	7,410.684570
0.567995	0.2041	5,087.504883
0.571395	0.204	2,223.226074
0.574797	0.2041	2,892.569580
0.578198	0.2041	3,242.888428
0.581598	0.204	2,578.834717
0.585000	0.2041	3,160.306396
0.588402	0.2041	3,719.056641
0.591802	0.204	5,799.827148
0.595203	0.2041	8,721.873047
0.598605	0.2041	5,099.598633
0.602005	0.204	3,106.879883
0.605407	0.2041	2,482.962158
0.608808	0.2041	1,556.316162
0.612208	0.204	2,956.088745
0.615610	0.2041	3,125.993896
0.619012	0.2041	2,795.580078
0.622412	0.204	3,795.930908
0.625813	0.2041	2,167.110596
0.629215	0.2041	5,637.763672
0.632615	0.204	6,942.852539
0.636017	0.2041	2,989.135254
0.639418	0.2041	3,157.035889
0.642818	0.204	3,754.052002
0.646220	0.2041	4,460.798828
0.649622	0.2041	4,754.978516
0.653022	0.204	2,351.615967
0.656423	0.2041	750.276001
0.659825	0.2041	5,063.029785
0.663225	0.204	5,472.646973
0.666627	0.2041	1,414.716919
0.670028	0.2041	456.459900
0.673428	0.204	1,849.791748
0.676830	0.2041	2,622.154785
0.680232	0.2041	2,492.589111
0.683632	0.204	1,569.753906
0.687033	0.2041	1,882.332031
0.690435	0.2041	2,216.152588
0.693835	0.204	2,663.947754
0.697237	0.2041	5,614.750977
0.700638	0.2041	5,580.658203
0.704038	0.204	1,063.560425
0.707440	0.2041	1,993.725220
0.710842	0.2041	2,441.927490
0.714242	0.204	0.000000
0.717643	0.2041	661.851807
0.721045	0.2041	2,448.496582
0.724445	0.204	4,014.783203
0.727847	0.2041	3,135.037109
0.731248	0.2041	2,858.058350
0.734648	0.204	2,431.244141
0.738050	0.2041	3,823.294922
0.741452	0.2041	1,978.203125
0.744852	0.204	2,299.011719
0.748253	0.2041	3,213.714111
0.751655	0.2041	3,090.823486
0.755055	0.204	1,430.402466
0.758457	0.2041	4,438.082581
0.761858	0.2041	9,646.212402
0.765258	0.204	2,220.871582
0.768660	0.2041	2,515.498779
0.772062	0.2041	2,045.365723
0.775462	0.204	2,135.508301
0.778863	0.2041	860.615173
0.782265	0.2041	484.770233
0.785665	0.204	1,128.882935
0.789067	0.2041	955.326477
0.792468	0.2041	2,197.136475
0.795868	0.204	3,757.769775
0.799270	0.2041	3,269.311035
0.802672	0.2041	2,113.433258
0.806072	0.204	1,252.358276
0.809473	0.2041	4,532.862305
0.812875	0.2041	5,455.259766
0.816275	0.204	2,539.085693
0.819677	0.2041	5,606.647949
0.823078	0.2041	7,502.598145
0.826478	0.204	5,777.687500
0.829880	0.2041	3,447.585938
0.833282	0.2041	3,692.805176
0.836682	0.204	2,285.937012
0.840083	0.2041	3,930.669434
0.843485	0.2041	6,182.705566
0.846887	0.2041	4,487.046387
0.850287	0.204	4,539.848633
0.853688	0.2041	3,414.427246
0.857090	0.2041	2,111.424133
0.860490	0.204	2,699.847656
0.863892	0.2041	4,020.703125
0.867293	0.2041	3,717.099365
0.870693	0.204	2,386.854736
0.874095	0.2041	1,678.478882
0.877497	0.2041	3,169.291260
0.880897	0.204	3,360.310059
0.884298	0.2041	3,403.884644
0.887700	0.2041	3,623.285400
0.891100	0.204	1,717.520935
0.894502	0.2041	4,127.582947
0.897903	0.2041	4,688.273438
0.901303	0.204	1,817.208374
0.904705	0.2041	3,021.984863
