File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/457.smp/MS_[93.00%2C 500 MMU]].channel/MS_[93.00%2C 500 MMU]].chm
Channel	MS_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_fiber_3
Injection Number	28
Position	27
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	7/30/2021
Injection Time	12:55:37 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033908
Time Max. (min)	34.993945
Data Points	10280
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	179,815.718750
Channel	MS_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406676

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033908	n.a.	1,322.203369
0.037308	0.204	4,121.750000
0.040710	0.2041	8,135.281250
0.044112	0.2041	7,541.892578
0.047512	0.204	1,807.311768
0.050913	0.2041	738.068970
0.054315	0.2041	5,765.199219
0.057715	0.204	6,481.382324
0.061117	0.2041	1,730.208008
0.064518	0.2041	3,336.612793
0.067918	0.204	5,323.056152
0.071320	0.2041	5,594.064453
0.074722	0.2041	8,790.659180
0.078122	0.204	5,385.127930
0.081523	0.2041	786.945129
0.084925	0.2041	3,778.460693
0.088325	0.204	4,278.742188
0.091727	0.2041	3,323.918457
0.095128	0.2041	3,228.636963
0.098528	0.204	2,983.354736
0.101930	0.2041	3,780.824463
0.105332	0.2041	3,722.944336
0.108732	0.204	3,393.923584
0.112133	0.2041	3,813.208496
0.115535	0.2041	5,514.964355
0.118935	0.204	2,430.375488
0.122337	0.2041	2,340.542725
0.125738	0.2041	1,638.761230
0.129138	0.204	931.683594
0.132540	0.2041	1,747.287109
0.135942	0.2041	1,146.360474
0.139342	0.204	2,466.775146
0.142743	0.2041	5,424.227051
0.146145	0.2041	3,584.778564
0.149545	0.204	2,989.023438
0.152947	0.2041	5,092.451660
0.156348	0.2041	435.391052
0.159748	0.204	508.104462
0.163150	0.2041	882.972046
0.166552	0.2041	825.867249
0.169952	0.204	1,337.020630
0.173353	0.2041	2,087.345459
0.176755	0.2041	1,635.339966
0.180155	0.204	619.450500
0.183557	0.2041	1,333.555176
0.186958	0.2041	2,212.714844
0.190358	0.204	2,685.505810
0.193760	0.2041	2,195.292480
0.197162	0.2041	738.466797
0.200562	0.204	377.236633
0.203963	0.2041	397.529236
0.207365	0.2041	1,389.703979
0.210765	0.204	2,099.157227
0.214167	0.2041	2,792.425293
0.217568	0.2041	3,184.900391
0.220968	0.204	3,489.987061
0.224370	0.2041	4,871.023926
0.227772	0.2041	6,589.218262
0.231172	0.204	3,568.111816
0.234573	0.2041	3,732.303955
0.237975	0.2041	3,241.301025
0.241375	0.204	3,027.453369
0.244777	0.2041	2,797.435059
0.248178	0.2041	1,714.138794
0.251578	0.204	2,491.693359
0.254980	0.2041	2,144.980469
0.258382	0.2041	1,986.547546
0.261782	0.204	1,635.324097
0.265183	0.2041	819.586731
0.268585	0.2041	668.012024
0.271985	0.204	1,205.463745
0.275387	0.2041	460.468719
0.278788	0.2041	763.880859
0.282188	0.204	1,379.598145
0.285590	0.2041	941.315613
0.288992	0.2041	3,705.347900
0.292392	0.204	4,599.942627
0.295793	0.2041	784.786987
0.299195	0.2041	186.843262
0.302595	0.204	3,094.615234
0.305997	0.2041	4,844.405762
0.309398	0.2041	3,449.908691
0.312798	0.204	1,190.735229
0.316200	0.2041	1,316.721191
0.319602	0.2041	660.802979
0.323002	0.204	498.095367
0.326403	0.2041	1,236.248291
0.329805	0.2041	1,938.416260
0.333205	0.204	2,778.197998
0.336607	0.2041	2,740.067627
0.340008	0.2041	2,174.750000
0.343408	0.204	966.902954
0.346810	0.2041	2,950.575439
0.350212	0.2041	3,728.727295
0.353612	0.204	2,776.669189
0.357013	0.2041	2,053.775665
0.360415	0.2041	2,648.724609
0.363815	0.204	3,465.822998
0.367217	0.2041	1,124.557983
0.370618	0.2041	802.241295
0.374018	0.204	2,574.812881
0.377420	0.2041	2,010.846191
0.380822	0.2041	2,711.796387
0.384222	0.204	2,519.906250
0.387623	0.2041	1,058.043945
0.391025	0.2041	3,198.703613
0.394425	0.204	3,241.756195
0.397827	0.2041	1,049.169800
0.401228	0.2041	1,412.055054
0.404628	0.204	2,003.137695
0.408030	0.2041	5,730.582031
0.411432	0.2041	5,271.741211
0.414832	0.204	2,222.230225
0.418233	0.2041	2,548.438477
0.421635	0.2041	351.885590
0.425035	0.204	556.891418
0.428437	0.2041	1,020.489746
0.431838	0.2041	3,061.184570
0.435238	0.204	5,242.862793
0.438640	0.2041	4,669.561523
0.442042	0.2041	3,583.426025
0.445442	0.204	1,969.064209
0.448843	0.2041	2,490.549805
0.452245	0.2041	1,501.168701
0.455645	0.204	1,241.723938
0.459047	0.2041	1,902.339722
0.462448	0.2041	1,438.709106
0.465848	0.204	2,168.434570
0.469250	0.2041	2,389.817627
0.472652	0.2041	1,794.168457
0.476052	0.204	532.590088
0.479453	0.2041	0.000000
0.482855	0.2041	1,924.460449
0.486255	0.204	4,447.855469
0.489657	0.2041	5,268.005371
0.493058	0.2041	3,819.103943
0.496458	0.204	2,977.108154
0.499860	0.2041	78.163811
0.503262	0.2041	1,308.841797
0.506662	0.204	2,578.226807
0.510063	0.2041	696.231506
0.513465	0.2041	3,127.803467
0.516865	0.204	5,438.506836
0.520267	0.2041	2,628.789063
0.523668	0.2041	1,117.521606
0.527068	0.204	2,081.877197
0.530470	0.2041	413.460358
0.533872	0.2041	612.943909
0.537272	0.204	2,328.167427
0.540673	0.2041	2,017.084229
0.544075	0.2041	886.926636
0.547475	0.204	3,259.221680
0.550877	0.2041	3,828.223877
0.554278	0.2041	3,313.493408
0.557678	0.204	4,356.535156
0.561080	0.2041	2,044.823853
0.564482	0.2041	1,011.324219
0.567882	0.204	1,035.000610
0.571283	0.2041	2,345.719498
0.574685	0.2041	3,015.405273
0.578085	0.204	3,490.520582
0.581487	0.2041	3,159.086670
0.584888	0.2041	539.202087
0.588288	0.204	1,176.464966
0.591690	0.2041	3,025.022705
0.595092	0.2041	3,841.619873
0.598492	0.204	2,409.196777
0.601893	0.2041	270.389618
0.605295	0.2041	551.261780
0.608695	0.204	204.712280
0.612097	0.2041	2,318.737061
0.615498	0.2041	2,442.794678
0.618898	0.204	1,266.425293
0.622300	0.2041	2,876.153809
0.625702	0.2041	0.000000
0.629102	0.204	2,775.500244
0.632503	0.2041	4,050.314453
0.635905	0.2041	713.805298
0.639305	0.204	843.198730
0.642707	0.2041	1,771.651489
0.646108	0.2041	71.640221
0.649508	0.204	248.714371
0.652910	0.2041	0.000000
0.656312	0.2041	1,509.318359
0.659712	0.204	3,833.726563
0.663113	0.2041	2,976.816895
0.666515	0.2041	2,898.589600
0.669915	0.204	5,787.367188
0.673317	0.2041	3,649.441406
0.676718	0.2041	1,010.452667
0.680118	0.204	2,869.214111
0.683520	0.2041	4,667.369141
0.686922	0.2041	4,096.215088
0.690322	0.204	596.112671
0.693723	0.2041	1,316.130981
0.697125	0.2041	807.727966
0.700525	0.204	1,143.685181
0.703927	0.2041	1,787.644165
0.707328	0.2041	5,249.879395
0.710728	0.204	7,124.831055
0.714130	0.2041	3,253.972717
0.717532	0.2041	395.524475
0.720932	0.204	1,939.395142
0.724333	0.2041	2,619.385254
0.727735	0.2041	1,514.958618
0.731135	0.204	555.040161
0.734537	0.2041	100.701782
0.737938	0.2041	1,373.904297
0.741338	0.204	1,393.261108
0.744740	0.2041	2,451.981445
0.748142	0.2041	3,208.895996
0.751542	0.204	3,172.421875
0.754943	0.2041	4,969.068848
0.758345	0.2041	5,062.315430
0.761745	0.204	1,802.830688
0.765147	0.2041	1,011.214844
0.768548	0.2041	2,064.971924
0.771948	0.204	2,079.688988
0.775350	0.2041	3,243.960205
0.778752	0.2041	3,717.133789
0.782152	0.204	2,665.880615
0.785553	0.2041	2,389.384521
0.788955	0.2041	1,908.234497
0.792355	0.204	1,585.085938
0.795757	0.2041	4,081.218140
0.799158	0.2041	3,489.174316
0.802558	0.204	1,525.725464
0.805960	0.2041	1,187.914551
0.809362	0.2041	2,376.901855
0.812762	0.204	3,729.065186
0.816163	0.2041	1,108.580933
0.819565	0.2041	2,547.833740
0.822965	0.204	3,002.647095
0.826367	0.2041	780.843689
0.829768	0.2041	25.702312
0.833168	0.204	244.614777
0.836570	0.2041	1,650.190186
0.839972	0.2041	2,683.918701
0.843372	0.204	1,410.427246
0.846773	0.2041	1,140.957153
0.850175	0.2041	398.724701
0.853575	0.204	1,324.915527
0.856977	0.2041	2,335.414307
0.860378	0.2041	2,748.973877
0.863778	0.204	2,754.370605
0.867180	0.2041	3,693.537354
0.870582	0.2041	2,248.587646
0.873982	0.204	567.865967
0.877383	0.2041	1,277.559570
0.880785	0.2041	880.243652
0.884185	0.204	424.200500
0.887587	0.2041	1,512.117676
0.890988	0.2041	1,433.440796
0.894388	0.204	223.210251
0.897790	0.2041	2,599.916260
0.901192	0.2041	4,051.359863
0.904592	0.204	4,252.979492
0.907993	0.2041	4,024.981689
0.911395	0.2041	370.966461
0.914795	0.204	535.463196
0.918197	0.2041	2,446.031982
0.921598	0.2041	3,025.581299
0.924998	0.204	3,260.630859
0.928400	0.2041	1,953.327515
0.931802	0.2041	1,955.158081
0.935202	0.204	1,268.352661
0.938603	0.2041	1,572.465942
0.942005	0.2041	3,640.086182
0.945405	0.204	5,061.160645
0.948807	0.2041	2,542.281494
0.952208	0.2041	2,893.341309
0.955608	0.204	3,396.704590
0.959010	0.2041	3,428.027588
0.962412	0.2041	1,824.108032
0.965812	0.204	2,846.478516
0.969213	0.2041	2,273.527588
0.972615	0.2041	761.476013
0.976015	0.204	2,494.604004
0.979417	0.2041	3,399.530273
0.982818	0.2041	1,427.901611
0.986218	0.204	2,616.485840
0.989620	0.2041	2,581.909668
0.993022	0.2041	1,110.122314
0.996422	0.204	1,557.788574
0.999823	0.2041	1,295.910034
1.003225	0.2041	0.000000
1.006625	0.204	4,915.174805
1.010027	0.2041	8,171.170410
1.013428	0.2041	1,896.691528
1.016828	0.204	2,682.427979
1.020230	0.2041	3,896.293213
1.023632	0.2041	6,222.744629
1.027033	0.2041	4,391.362305
1.030433	0.204	1,725.054810
1.033835	0.2041	1,348.245850
1.037237	0.2041	1,749.580078
1.040637	0.204	844.021423
1.044038	0.2041	64.218063
1.047440	0.2041	579.018311
1.050840	0.204	2,223.394775
1.054242	0.2041	2,937.046875
1.057643	0.2041	3,525.793213
1.061043	0.204	3,152.437256
1.064445	0.2041	364.842834
1.067847	0.2041	2,430.436279
1.071247	0.204	4,180.825684
1.074648	0.2041	2,238.140381
1.078050	0.2041	2,562.203369
1.081450	0.204	1,587.779907
1.084852	0.2041	2,760.672852
1.088253	0.2041	5,690.152344
1.091653	0.204	1,732.339355
1.095055	0.2041	1,531.336304
1.098457	0.2041	3,122.869385
1.101857	0.204	836.346436
1.105258	0.2041	1,404.986176
1.108660	0.2041	3,229.894287
1.112060	0.204	2,765.088135
1.115462	0.2041	2,906.173889
1.118863	0.2041	918.583862
1.122263	0.204	618.664368
1.125665	0.2041	1,999.737183
1.129067	0.2041	1,517.125153
1.132467	0.204	2,090.072754
1.135868	0.2041	2,878.401855
1.139270	0.2041	2,713.752686
1.142670	0.204	3,246.612305
1.146072	0.2041	1,984.787292
1.149473	0.2041	1,167.473755
1.152873	0.204	1,285.080933
1.156275	0.2041	970.241760
1.159677	0.2041	2,523.307373
1.163077	0.204	2,777.221191
1.166478	0.2041	4,752.509766
1.169880	0.2041	6,162.498047
1.173280	0.204	4,668.553223
1.176682	0.2041	2,295.206787
