File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/456.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_no_fiber_1
Injection Number	1
Position	0
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	5/26/2021
Injection Time	7:25:53 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033932
Time Max. (min)	37.990342
Data Points	11161
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	43,539.441406
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406672

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033932	n.a.	14,848.074219
0.037333	0.2041	8,834.101563
0.040733	0.204	1,875.426270
0.044135	0.2041	7,107.929199
0.047537	0.2041	16,823.500000
0.050937	0.204	16,610.207031
0.054338	0.2041	15,789.687500
0.057740	0.2041	13,052.416992
0.061140	0.204	5,724.092102
0.064542	0.2041	5,611.929199
0.067943	0.2041	9,937.860352
0.071343	0.204	21,868.886719
0.074745	0.2041	16,315.624023
0.078147	0.2041	268.107544
0.081547	0.204	7,470.193848
0.084948	0.2041	9,903.001953
0.088350	0.2041	10,121.531250
0.091750	0.204	12,253.002197
0.095152	0.2041	10,143.663086
0.098553	0.2041	7,469.813965
0.101953	0.204	16,648.749817
0.105355	0.2041	17,634.617188
0.108757	0.2041	11,808.753906
0.112157	0.204	6,497.720215
0.115558	0.2041	13,232.941406
0.118960	0.2041	12,141.057617
0.122360	0.204	3,097.734375
0.125762	0.2041	6,194.344727
0.129163	0.2041	7,073.958496
0.132563	0.204	9,955.172852
0.135965	0.2041	7,659.495117
0.139367	0.2041	6,845.054199
0.142767	0.204	8,720.141602
0.146168	0.2041	6,334.459473
0.149570	0.2041	9,948.356445
0.152970	0.204	7,489.206055
0.156372	0.2041	3,311.832764
0.159773	0.2041	7,925.421875
0.163173	0.204	7,804.657227
0.166575	0.2041	3,647.001221
0.169977	0.2041	6,609.933594
0.173377	0.204	12,457.409180
0.176778	0.2041	5,946.460938
0.180180	0.2041	11,299.842773
0.183580	0.204	12,542.862305
0.186982	0.2041	8,107.575195
0.190383	0.2041	5,698.726563
0.193783	0.204	9,421.370117
0.197185	0.2041	13,514.946945
0.200587	0.2041	11,171.576172
0.203987	0.204	11,568.466919
0.207388	0.2041	11,309.805176
0.210790	0.2041	2,054.230957
0.214190	0.204	4,992.357422
0.217592	0.2041	9,086.957031
0.220993	0.2041	6,691.795898
0.224393	0.204	8,781.097656
0.227795	0.2041	10,432.940430
0.231197	0.2041	15,290.742920
0.234597	0.204	9,258.539063
0.237998	0.2041	6,835.839844
0.241400	0.2041	6,833.829102
0.244800	0.204	7,156.965820
0.248202	0.2041	11,193.623047
0.251603	0.2041	15,141.596680
0.255003	0.204	14,267.368164
0.258405	0.2041	15,093.680664
0.261807	0.2041	14,017.323242
0.265207	0.204	17,052.521484
0.268608	0.2041	19,450.738281
0.272010	0.2041	15,358.395508
0.275410	0.204	8,304.945313
0.278812	0.2041	11,070.844727
0.282213	0.2041	3,368.147949
0.285613	0.204	4,260.771973
0.289015	0.2041	10,062.797729
0.292417	0.2041	10,818.067383
0.295817	0.204	6,579.719238
0.299218	0.2041	4,447.267334
0.302620	0.2041	9,097.953125
0.306020	0.204	10,111.371094
0.309422	0.2041	6,261.226074
0.312823	0.2041	9,796.007813
0.316223	0.204	10,009.050781
0.319625	0.2041	5,154.581543
0.323027	0.2041	3,082.041992
0.326427	0.204	6,380.881348
0.329828	0.2041	8,928.722656
0.333230	0.2041	7,131.079590
0.336630	0.204	5,412.191406
0.340032	0.2041	4,194.916504
0.343433	0.2041	11,672.533203
0.346833	0.204	9,711.251953
0.350235	0.2041	5,717.542480
0.353637	0.2041	8,662.228516
0.357037	0.204	13,467.315430
0.360438	0.2041	15,282.541992
0.363840	0.2041	8,016.820557
0.367240	0.204	5,841.464355
0.370642	0.2041	10,601.718750
0.374043	0.2041	7,336.645508
0.377443	0.204	3,160.448242
0.380845	0.2041	8,921.320313
0.384247	0.2041	13,334.695313
0.387647	0.204	5,196.599121
0.391048	0.2041	11,181.425781
0.394450	0.2041	21,693.042969
0.397850	0.204	22,263.421875
0.401252	0.2041	13,846.457031
0.404653	0.2041	14,682.535156
0.408053	0.204	12,484.345703
0.411455	0.2041	6,962.893066
0.414857	0.2041	4,070.161865
0.418257	0.204	8,246.049805
0.421658	0.2041	15,093.650391
0.425060	0.2041	12,329.734375
0.428460	0.204	2,160.052002
0.431862	0.2041	5,639.781738
0.435263	0.2041	15,247.076172
0.438663	0.204	14,441.246094
0.442065	0.2041	9,864.458008
0.445467	0.2041	16,790.318359
0.448867	0.204	18,318.185547
0.452268	0.2041	14,714.110352
0.455670	0.2041	10,475.491211
0.459070	0.204	9,716.458984
0.462472	0.2041	8,002.303223
0.465873	0.2041	5,114.633301
0.469273	0.204	9,677.197266
0.472675	0.2041	13,435.137695
0.476077	0.2041	6,933.134766
0.479477	0.204	8,208.083008
0.482878	0.2041	14,552.669098
0.486280	0.2041	12,817.416992
0.489680	0.204	9,032.340820
0.493082	0.2041	6,562.198730
0.496483	0.2041	6,998.942383
0.499883	0.204	6,029.029785
0.503285	0.2041	3,197.946045
0.506687	0.2041	9,475.446289
0.510087	0.204	10,245.301758
0.513488	0.2041	3,260.822021
0.516890	0.2041	2,066.538086
0.520290	0.204	1,889.553467
0.523692	0.2041	5,026.419434
0.527093	0.2041	4,925.406738
0.530493	0.204	10,223.213867
0.533895	0.2041	17,499.308594
0.537297	0.2041	5,641.307617
0.540697	0.204	3,214.820313
0.544098	0.2041	9,332.845703
0.547500	0.2041	11,642.928711
0.550900	0.204	6,540.057617
0.554302	0.2041	5,763.927246
0.557703	0.2041	5,798.395996
0.561103	0.204	7,216.593262
0.564505	0.2041	7,088.438599
0.567907	0.2041	6,327.797485
0.571307	0.204	12,480.746582
0.574708	0.2041	13,288.459839
0.578110	0.2041	10,257.873047
0.581510	0.204	10,742.917969
0.584912	0.2041	10,198.792969
0.588313	0.2041	11,888.051758
0.591713	0.204	10,314.691406
0.595115	0.2041	9,625.857422
0.598517	0.2041	16,027.488281
0.601917	0.204	9,242.503906
0.605318	0.2041	11,196.924805
0.608720	0.2041	15,997.836914
0.612120	0.204	13,456.645508
0.615522	0.2041	7,924.582031
0.618923	0.2041	7,897.291504
0.622323	0.204	10,748.835938
0.625725	0.2041	10,818.908203
0.629127	0.2041	9,527.077148
0.632527	0.204	6,650.367676
0.635928	0.2041	9,630.638672
0.639330	0.2041	9,239.678711
0.642730	0.204	4,698.274414
0.646132	0.2041	3,199.270020
0.649533	0.2041	3,092.046875
0.652933	0.204	11,124.811523
0.656335	0.2041	11,675.239258
0.659737	0.2041	4,008.840576
0.663137	0.204	8,278.948242
0.666538	0.2041	11,266.071289
0.669940	0.2041	9,669.844727
0.673340	0.204	7,168.607422
0.676742	0.2041	8,047.762207
0.680143	0.2041	10,265.028320
0.683543	0.204	8,313.414063
0.686945	0.2041	6,637.090332
0.690347	0.2041	8,810.093750
0.693747	0.204	12,645.403320
0.697148	0.2041	9,263.033203
0.700550	0.2041	9,010.597656
0.703950	0.204	7,710.365723
0.707352	0.2041	4,407.287598
0.710753	0.2041	7,229.312988
0.714153	0.204	8,001.503418
0.717555	0.2041	8,867.334961
0.720957	0.2041	13,037.747070
0.724357	0.204	19,505.140625
0.727758	0.2041	18,232.613281
0.731160	0.2041	10,636.185547
0.734560	0.204	7,236.260742
0.737962	0.2041	9,064.766602
0.741363	0.2041	11,285.452148
0.744763	0.204	14,555.674805
0.748165	0.2041	17,049.009766
0.751567	0.2041	10,081.797852
0.754967	0.204	9,675.038086
0.758368	0.2041	10,097.724609
0.761770	0.2041	5,994.086426
0.765170	0.204	5,961.614258
0.768572	0.2041	6,748.075867
0.771973	0.2041	11,664.896484
0.775373	0.204	10,885.555664
0.778775	0.2041	8,260.324219
0.782177	0.2041	13,132.269531
0.785577	0.204	6,955.214355
0.788978	0.2041	5,978.606934
0.792380	0.2041	6,134.140137
0.795780	0.204	2,677.578125
