File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/790.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_1ul_nonyl_acetate
Injection Number	4
Position	3
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	5/27/2021
Injection Time	12:50:24 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033893
Time Max. (min)	38.003935
Data Points	11165
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	78,787,976.000000
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033893	n.a.	27,505.355469
0.037295	0.2041	18,141.941406
0.040695	0.204	7,267.704590
0.044097	0.2041	10,351.688477
0.047498	0.2041	9,902.351563
0.050898	0.204	9,568.570313
0.054300	0.2041	11,687.155273
0.057702	0.2041	16,627.491211
0.061102	0.204	19,171.361572
0.064503	0.2041	20,107.941406
0.067905	0.2041	13,915.932617
0.071305	0.204	12,155.208496
0.074707	0.2041	11,816.324219
0.078108	0.2041	6,933.715332
0.081508	0.204	4,595.437500
0.084910	0.2041	5,235.453125
0.088312	0.2041	3,361.871826
0.091712	0.204	5,991.677734
0.095113	0.2041	12,838.900391
0.098515	0.2041	16,835.205078
0.101915	0.204	17,908.958984
0.105317	0.2041	19,708.585938
0.108718	0.2041	20,047.916016
0.112118	0.204	10,311.987305
0.115520	0.2041	13,099.819336
0.118922	0.2041	19,192.808594
0.122322	0.204	13,044.304688
0.125723	0.2041	7,848.090332
0.129125	0.2041	10,252.643555
0.132525	0.204	12,129.268555
0.135927	0.2041	7,336.020996
0.139328	0.2041	11,227.714844
0.142728	0.204	17,420.136719
0.146130	0.2041	15,507.088867
0.149532	0.2041	4,255.135742
0.152932	0.204	5,335.214844
0.156333	0.2041	17,599.792969
0.159735	0.2041	12,801.145508
0.163135	0.204	6,934.863281
0.166537	0.2041	7,350.898926
0.169938	0.2041	10,507.351563
0.173338	0.204	12,276.407227
0.176740	0.2041	14,550.696289
0.180142	0.2041	12,875.874023
0.183542	0.204	8,496.360352
0.186943	0.2041	13,267.069336
0.190345	0.2041	17,145.277344
0.193745	0.204	7,765.117188
0.197147	0.2041	7,161.322754
0.200548	0.2041	13,139.291992
0.203948	0.204	18,464.380859
0.207350	0.2041	15,043.986328
0.210752	0.2041	11,512.360352
0.214152	0.204	17,034.318359
0.217553	0.2041	5,126.008301
0.220955	0.2041	9,197.726563
0.224355	0.204	13,236.901367
0.227757	0.2041	12,767.581055
0.231158	0.2041	13,908.352539
0.234558	0.204	8,433.559570
