File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/790.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_1ul_nonyl_acetate
Injection Number	4
Position	3
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	5/27/2021
Injection Time	12:50:24 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033893
Time Max. (min)	38.003935
Data Points	11165
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,056,556.539950
Signal Max.	6,717,525,685.283040
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033893	n.a.	1,362,735.963722
0.037295	0.2041	1,397,073.870663
0.040695	0.204	1,455,052.730069
0.044097	0.2041	1,406,339.129375
0.047498	0.2041	1,384,722.246325
0.050898	0.204	1,370,781.182052
0.054300	0.2041	1,328,281.805321
0.057702	0.2041	1,399,890.939757
0.061102	0.204	1,468,682.286496
0.064503	0.2041	1,409,897.384958
0.067905	0.2041	1,346,517.161986
0.071305	0.204	1,323,637.929105
0.074707	0.2041	1,417,398.413111
0.078108	0.2041	1,477,979.691916
0.081508	0.204	1,368,561.641793
0.084910	0.2041	1,351,521.301097
0.088312	0.2041	1,382,524.881727
0.091712	0.204	1,325,125.214125
0.095113	0.2041	1,337,653.159934
0.098515	0.2041	1,364,426.150898
0.101915	0.204	1,347,101.115700
0.105317	0.2041	1,330,194.631626
0.108718	0.2041	1,288,592.042604
0.112118	0.204	1,296,758.900442
0.115520	0.2041	1,287,751.330766
0.118922	0.2041	1,244,347.915354
0.122322	0.204	1,285,135.828574
0.125723	0.2041	1,314,548.015391
0.129125	0.2041	1,319,033.514204
0.132525	0.204	1,257,181.960032
0.135927	0.2041	1,245,343.774079
0.139328	0.2041	1,306,980.682553
0.142728	0.204	1,306,743.593166
0.146130	0.2041	1,294,063.003979
0.149532	0.2041	1,255,740.253274
0.152932	0.204	1,318,678.777518
0.156333	0.2041	1,349,356.679819
0.159735	0.2041	1,335,384.275986
0.163135	0.204	1,410,909.310370
0.166537	0.2041	1,382,236.060911
0.169938	0.2041	1,358,196.653931
0.173338	0.204	1,300,573.687801
0.176740	0.2041	1,256,443.346794
0.180142	0.2041	1,268,279.222076
0.183542	0.204	1,203,237.446127
0.186943	0.2041	1,235,996.410968
0.190345	0.2041	1,341,981.001241
0.193745	0.204	1,348,171.552932
0.197147	0.2041	1,207,192.928417
0.200548	0.2041	1,233,325.920982
0.203948	0.204	1,287,344.066904
0.207350	0.2041	1,226,116.131941
0.210752	0.2041	1,247,921.382669
0.214152	0.204	1,237,364.588786
0.217553	0.2041	1,250,820.038470
0.220955	0.2041	1,310,781.271713
0.224355	0.204	1,263,417.062018
0.227757	0.2041	1,294,621.034392
0.231158	0.2041	1,364,218.434511
0.234558	0.204	1,318,201.589272
0.237960	0.2041	1,317,561.029827
0.241362	0.2041	1,303,917.968196
0.244762	0.204	1,239,525.279761
0.248163	0.2041	1,256,000.187187
0.251565	0.2041	1,270,583.364805
0.254965	0.204	1,234,078.469281
0.258367	0.2041	1,237,738.359461
0.261768	0.2041	1,237,803.773432
0.265168	0.204	1,260,711.256085
0.268570	0.2041	1,338,868.521069
0.271972	0.2041	1,292,318.386583
0.275372	0.204	1,227,118.093100
0.278773	0.2041	1,183,997.001218
0.282175	0.2041	1,197,662.109890
0.285575	0.204	1,263,272.602515
0.288977	0.2041	1,221,984.364021
0.292378	0.2041	1,217,405.967842
0.295778	0.204	1,247,761.751179
0.299180	0.2041	1,262,621.948456
0.302582	0.2041	1,291,200.660027
0.305983	0.2041	1,307,537.460017
0.309383	0.204	1,309,440.650778
0.312785	0.2041	1,268,482.826045
0.316187	0.2041	1,226,141.956701
0.319587	0.204	1,206,304.367313
0.322988	0.2041	1,252,782.436099
0.326390	0.2041	1,259,556.876247
0.329790	0.204	1,265,701.746921
0.333192	0.2041	1,323,963.710283
0.336593	0.2041	1,275,586.731243
0.339993	0.204	1,244,664.519006
0.343395	0.2041	1,263,082.552214
0.346797	0.2041	1,273,726.753258
0.350197	0.204	1,305,699.506990
0.353598	0.2041	1,264,939.807869
0.357000	0.2041	1,233,242.019874
0.360400	0.204	1,252,671.375922
0.363802	0.2041	1,258,519.509197
0.367203	0.2041	1,271,654.789228
0.370603	0.204	1,294,933.942074
0.374005	0.2041	1,229,253.685828
0.377407	0.2041	1,136,381.555344
0.380807	0.204	1,224,199.238658
0.384208	0.2041	1,306,598.922584
0.387610	0.2041	1,320,895.317951
0.391010	0.204	1,328,525.714548
0.394412	0.2041	1,272,130.662440
0.397813	0.2041	1,281,549.971340
0.401213	0.204	1,295,334.700572
0.404615	0.2041	1,239,861.080466
0.408017	0.2041	1,249,154.104641
0.411417	0.204	1,287,645.244948
0.414818	0.2041	1,252,423.270546
0.418220	0.2041	1,249,170.557418
0.421620	0.204	1,243,111.935697
0.425022	0.2041	1,274,477.055393
0.428423	0.2041	1,331,173.603219
0.431823	0.204	1,317,649.545796
0.435225	0.2041	1,309,226.591958
0.438627	0.2041	1,314,259.194644
0.442027	0.204	1,231,392.906320
0.445428	0.2041	1,239,864.424865
0.448830	0.2041	1,279,979.069123
0.452230	0.204	1,221,820.149710
0.455632	0.2041	1,262,413.189699
0.459033	0.2041	1,259,047.143889
0.462433	0.204	1,205,158.151632
0.465835	0.2041	1,275,826.128220
0.469237	0.2041	1,260,268.783523
0.472637	0.204	1,141,569.227682
0.476038	0.2041	1,153,289.348500
0.479440	0.2041	1,266,472.073364
0.482840	0.204	1,247,374.396251
0.486242	0.2041	1,229,869.060496
0.489643	0.2041	1,310,551.873048
0.493043	0.204	1,291,456.786801
0.496445	0.2041	1,275,900.207138
0.499847	0.2041	1,259,812.009908
0.503247	0.204	1,211,541.956283
0.506648	0.2041	1,230,378.030320
0.510050	0.2041	1,265,587.519322
0.513450	0.204	1,291,734.392837
0.516852	0.2041	1,231,394.412174
0.520253	0.2041	1,230,219.776308
0.523653	0.204	1,268,703.719137
0.527055	0.2041	1,185,194.320536
0.530457	0.2041	1,203,628.937280
0.533857	0.204	1,250,302.053538
0.537258	0.2041	1,176,068.096812
0.540660	0.2041	1,171,813.230768
0.544060	0.204	1,290,277.867803
0.547462	0.2041	1,331,993.650682
0.550863	0.2041	1,267,471.997027
0.554263	0.204	1,246,933.291498
0.557665	0.2041	1,245,711.716865
0.561067	0.2041	1,244,741.600821
0.564467	0.204	1,235,222.019149
0.567868	0.2041	1,162,909.408581
0.571270	0.2041	1,178,854.159042
0.574670	0.204	1,212,363.273198
0.578072	0.2041	1,227,188.520816
0.581473	0.2041	1,236,933.512414
0.584873	0.204	1,180,664.256458
0.588275	0.2041	1,188,411.802688
0.591677	0.2041	1,186,335.521857
0.595077	0.204	1,201,224.925536
0.598478	0.2041	1,263,380.628084
0.601880	0.2041	1,242,089.820375
0.605280	0.204	1,238,199.039349
0.608682	0.2041	1,228,428.357757
0.612083	0.2041	1,192,253.929287
0.615483	0.204	1,225,502.117676
0.618885	0.2041	1,290,070.629922
0.622287	0.2041	1,280,203.041902
0.625687	0.204	1,287,752.663151
0.629088	0.2041	1,272,534.940798
0.632490	0.2041	1,260,746.869064
0.635890	0.204	1,241,547.390013
0.639292	0.2041	1,168,689.209296
0.642693	0.2041	1,201,550.861741
0.646093	0.204	1,255,159.215959
0.649495	0.2041	1,233,064.902252
0.652897	0.2041	1,230,586.960739
0.656297	0.204	1,264,843.648544
0.659698	0.2041	1,318,053.801096
0.663100	0.2041	1,285,315.598766
0.666500	0.204	1,238,579.596405
0.669902	0.2041	1,256,106.976956
0.673303	0.2041	1,248,047.141083
0.676703	0.204	1,257,952.067873
0.680105	0.2041	1,219,957.454748
0.683507	0.2041	1,151,751.970774
0.686907	0.204	1,300,597.364626
0.690308	0.2041	1,326,076.197967
0.693710	0.2041	1,181,354.776582
0.697110	0.204	1,185,239.405489
0.700512	0.2041	1,246,524.808159
0.703913	0.2041	1,264,837.538150
0.707313	0.204	1,232,484.090423
0.710715	0.2041	1,232,581.651592
0.714117	0.2041	1,273,261.624387
0.717517	0.204	1,216,671.247640
0.720918	0.2041	1,237,386.102921
0.724320	0.2041	1,263,837.653100
0.727720	0.204	1,178,089.629411
0.731122	0.2041	1,230,093.241265
0.734523	0.2041	1,210,978.895715
0.737923	0.204	1,203,371.978184
0.741325	0.2041	1,270,304.511589
0.744727	0.2041	1,201,845.303720
0.748127	0.204	1,206,270.665909
0.751528	0.2041	1,188,424.708676
0.754930	0.2041	1,147,031.278105
0.758330	0.204	1,161,815.053442
0.761732	0.2041	1,144,581.107508
0.765133	0.2041	1,120,443.354393
0.768533	0.204	1,196,835.109448
0.771935	0.2041	1,278,550.145027
0.775337	0.2041	1,256,359.425313
0.778737	0.204	1,178,993.136863
0.782138	0.2041	1,162,828.376021
0.785540	0.2041	1,222,019.093614
0.788940	0.204	1,219,926.410855
0.792342	0.2041	1,233,601.929756
0.795743	0.2041	1,243,539.534344
0.799143	0.204	1,239,976.494385
0.802545	0.2041	1,244,981.286584
0.805947	0.2041	1,194,937.523688
0.809347	0.204	1,191,270.573963
0.812748	0.2041	1,234,331.021086
0.816150	0.2041	1,232,237.861315
0.819550	0.204	1,216,135.395782
0.822952	0.2041	1,233,363.432383
0.826353	0.2041	1,246,039.363010
0.829755	0.2041	1,158,781.392203
