File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/869.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_actigard_clean_site_2
Injection Number	30
Position	29
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	7/30/2021
Injection Time	2:12:00 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033918
Time Max. (min)	34.993995
Data Points	10280
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	10,864,029.000000
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033918	n.a.	6,841.749512
0.037320	0.2041	8,542.193359
0.040722	0.2041	13,415.249023
0.044122	0.204	11,668.278320
0.047523	0.2041	4,706.144043
0.050925	0.2041	5,943.629395
0.054325	0.204	7,069.750977
0.057727	0.2041	8,823.932617
0.061128	0.2041	7,698.452637
0.064528	0.204	5,724.589844
0.067930	0.2041	8,385.333496
0.071332	0.2041	4,841.723145
0.074732	0.204	7,274.572754
0.078133	0.2041	6,901.207520
0.081535	0.2041	5,528.497559
0.084935	0.204	5,371.849609
0.088337	0.2041	9,089.269775
0.091738	0.2041	6,838.028687
0.095138	0.204	3,666.203613
0.098540	0.2041	6,994.698730
0.101942	0.2041	9,222.041016
0.105342	0.204	8,514.481445
0.108743	0.2041	4,119.048828
0.112145	0.2041	5,465.868652
0.115545	0.204	5,882.329102
0.118947	0.2041	8,982.967773
0.122348	0.2041	9,977.326172
0.125748	0.204	7,247.878418
0.129150	0.2041	5,241.134766
0.132552	0.2041	5,930.187500
0.135952	0.204	5,844.024902
0.139353	0.2041	2,345.082275
0.142755	0.2041	6,250.138184
0.146155	0.204	8,407.843750
0.149557	0.2041	5,310.738281
0.152958	0.2041	8,914.094727
0.156358	0.204	9,704.277344
0.159760	0.2041	8,717.875000
0.163162	0.2041	7,737.664551
0.166562	0.204	9,516.910156
0.169963	0.2041	12,234.409180
0.173365	0.2041	8,662.389648
0.176765	0.204	4,677.962891
0.180167	0.2041	4,146.870117
0.183568	0.2041	3,210.281982
0.186968	0.204	3,677.569580
0.190370	0.2041	8,337.863281
0.193772	0.2041	6,634.590332
0.197172	0.204	5,018.023926
0.200573	0.2041	9,042.666992
0.203975	0.2041	3,831.343140
0.207375	0.204	4,010.343750
0.210777	0.2041	7,205.852051
0.214178	0.2041	4,589.279297
0.217578	0.204	7,159.892212
0.220980	0.2041	7,519.520996
0.224382	0.2041	6,723.562012
0.227782	0.204	3,336.185791
0.231183	0.2041	4,025.864014
0.234585	0.2041	5,429.136719
0.237985	0.204	5,917.541504
