File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/772.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_actigard_clean_site_7
Injection Number	35
Position	38
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	9/3/2021
Injection Time	11:51:43 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033928
Time Max. (min)	35.000763
Data Points	10282
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	8,085,593.000000
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406673

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033928	n.a.	13,138.427734
0.037330	0.2041	12,885.336914
0.040732	0.2041	14,781.038086
0.044132	0.204	13,666.507813
0.047533	0.2041	17,979.910156
0.050935	0.2041	12,827.825195
0.054335	0.204	15,728.481445
0.057737	0.2041	20,199.800781
0.061138	0.2041	21,274.853516
0.064538	0.204	18,065.541016
0.067940	0.2041	19,688.515625
0.071342	0.2041	25,487.351563
0.074742	0.204	24,422.441406
0.078143	0.2041	16,866.056641
0.081545	0.2041	14,145.105469
0.084945	0.204	20,051.666016
0.088347	0.2041	23,905.689453
0.091748	0.2041	19,858.125000
0.095148	0.204	16,991.724609
0.098550	0.2041	18,780.111328
0.101952	0.2041	16,971.787109
0.105352	0.204	20,187.603516
0.108753	0.2041	26,095.171875
0.112155	0.2041	25,119.617188
0.115555	0.204	18,347.095703
0.118957	0.2041	22,159.017578
0.122358	0.2041	19,226.392578
0.125758	0.204	23,109.957031
0.129160	0.2041	24,221.851563
0.132562	0.2041	18,533.466797
0.135962	0.204	21,040.687500
0.139363	0.2041	22,954.234375
0.142765	0.2041	20,284.724609
0.146165	0.204	18,714.167969
0.149567	0.2041	17,770.341797
0.152968	0.2041	22,614.695313
0.156368	0.204	23,803.484375
0.159770	0.2041	23,420.406250
0.163172	0.2041	20,947.052734
0.166572	0.204	22,559.230469
0.169973	0.2041	21,009.195313
0.173375	0.2041	10,889.533203
0.176775	0.204	11,765.950195
0.180177	0.2041	16,625.144531
0.183578	0.2041	17,786.017578
0.186978	0.204	13,920.634766
0.190380	0.2041	21,053.480469
0.193782	0.2041	22,788.917969
0.197182	0.204	19,263.681641
0.200583	0.2041	20,273.437500
0.203985	0.2041	19,216.507813
0.207385	0.204	14,888.534180
0.210787	0.2041	19,930.726563
0.214188	0.2041	16,678.898438
0.217588	0.204	8,504.642578
0.220990	0.2041	13,196.017578
0.224392	0.2041	19,107.169922
0.227792	0.204	20,044.330078
0.231193	0.2041	17,642.910156
0.234595	0.2041	18,786.146484
0.237995	0.204	21,397.732422
0.241397	0.2041	23,330.968750
0.244798	0.2041	14,795.984375
0.248198	0.204	15,980.757813
0.251600	0.2041	25,442.548828
0.255002	0.2041	12,635.555664
0.258402	0.204	15,834.724609
0.261803	0.2041	24,437.654297
0.265205	0.2041	19,321.689453
0.268605	0.204	16,999.232422
0.272007	0.2041	18,058.505859
0.275408	0.2041	23,255.976563
0.278808	0.204	16,076.087891
0.282210	0.2041	10,509.810547
0.285612	0.2041	17,704.519531
0.289012	0.204	18,942.841797
0.292413	0.2041	16,542.712891
0.295815	0.2041	21,762.437500
0.299215	0.204	20,070.759766
0.302617	0.2041	12,088.406250
0.306018	0.2041	14,296.948242
0.309418	0.204	23,129.707031
0.312820	0.2041	26,937.263672
0.316222	0.2041	19,978.292969
0.319622	0.204	16,642.226563
0.323023	0.2041	20,287.111328
0.326425	0.2041	24,380.781250
0.329825	0.204	24,170.679688
0.333227	0.2041	24,520.734375
0.336628	0.2041	15,282.306641
0.340028	0.204	10,486.710938
0.343430	0.2041	23,062.177734
0.346832	0.2041	26,586.515625
0.350232	0.204	18,058.066406
0.353633	0.2041	20,862.958984
0.357035	0.2041	21,510.679688
0.360435	0.204	10,581.642578
0.363837	0.2041	15,119.600586
0.367238	0.2041	22,888.914063
0.370638	0.204	15,034.940430
0.374040	0.2041	17,697.968750
0.377442	0.2041	27,841.734375
0.380842	0.204	24,856.743652
0.384243	0.2041	23,999.052734
0.387645	0.2041	17,918.796875
0.391045	0.204	26,942.193359
0.394447	0.2041	30,704.021484
0.397848	0.2041	25,376.791016
0.401248	0.204	20,406.271484
0.404650	0.2041	12,922.774414
0.408052	0.2041	17,912.912109
0.411452	0.204	22,104.482422
0.414853	0.2041	20,578.804688
0.418255	0.2041	22,755.335938
0.421655	0.204	19,832.027344
0.425057	0.2041	19,656.539063
0.428458	0.2041	24,558.957031
0.431858	0.204	17,127.564453
0.435260	0.2041	20,150.730469
0.438662	0.2041	29,197.035156
0.442062	0.204	27,488.587891
0.445463	0.2041	21,275.287109
0.448865	0.2041	21,158.750000
0.452265	0.204	18,480.031250
0.455667	0.2041	13,291.344727
0.459068	0.2041	12,433.260742
0.462468	0.204	18,482.626953
0.465870	0.2041	16,770.154297
0.469272	0.2041	17,634.677734
0.472672	0.204	18,311.964844
0.476073	0.2041	17,193.708984
0.479475	0.2041	14,170.858398
0.482875	0.204	19,230.724609
0.486277	0.2041	21,614.187500
0.489678	0.2041	18,680.787109
0.493078	0.204	24,110.568359
0.496480	0.2041	25,927.730469
0.499882	0.2041	18,592.939453
0.503283	0.2041	16,318.725586
0.506683	0.204	11,911.587891
0.510085	0.2041	17,123.173828
0.513487	0.2041	22,083.626953
0.516887	0.204	13,251.591797
0.520288	0.2041	19,768.523438
0.523688	0.204	23,403.548828
0.527090	0.2041	16,093.138672
0.530492	0.2041	17,731.308594
0.533892	0.204	17,704.074219
0.537293	0.2041	18,804.207031
0.540695	0.2041	14,983.092773
0.544095	0.204	11,427.205566
0.547497	0.2041	16,038.153320
0.550898	0.2041	19,559.093750
0.554298	0.204	26,348.750000
0.557700	0.2041	23,753.052734
0.561102	0.2041	18,248.703125
0.564503	0.2041	20,040.923828
0.567903	0.204	13,626.929688
0.571305	0.2041	12,637.360352
0.574707	0.2041	20,905.236328
0.578107	0.204	22,990.626953
0.581508	0.2041	19,368.556641
0.584910	0.2041	17,068.476563
0.588310	0.204	21,810.373047
0.591712	0.2041	21,552.302734
0.595113	0.2041	16,844.023438
0.598513	0.204	14,245.768555
0.601915	0.2041	18,147.494141
0.605317	0.2041	23,181.714844
0.608717	0.204	18,297.435547
0.612118	0.2041	13,836.956055
0.615520	0.2041	16,687.334427
0.618920	0.204	20,562.210938
0.622322	0.2041	19,368.324219
0.625723	0.2041	14,606.110352
0.629123	0.204	13,730.555664
0.632525	0.2041	23,037.501953
0.635927	0.2041	19,906.644531
0.639327	0.204	11,097.263672
0.642728	0.2041	18,330.732910
0.646130	0.2041	14,518.415039
0.649530	0.204	12,379.375977
0.652932	0.2041	20,995.445313
0.656333	0.2041	20,483.000000
0.659733	0.204	15,641.703125
0.663135	0.2041	15,095.919922
0.666537	0.2041	19,921.121094
0.669937	0.204	18,445.039063
0.673338	0.2041	12,017.577148
0.676740	0.2041	11,436.887695
0.680140	0.204	25,179.855469
0.683542	0.2041	31,046.755859
0.686943	0.2041	18,281.980469
0.690343	0.204	17,311.328125
0.693745	0.2041	18,345.533203
0.697147	0.2041	14,090.005859
0.700547	0.204	10,765.504883
0.703948	0.2041	11,517.874023
0.707350	0.2041	29,382.025391
0.710750	0.204	29,102.392578
0.714152	0.2041	13,600.559570
0.717553	0.2041	17,781.201172
0.720953	0.204	19,304.943359
0.724355	0.2041	22,559.103516
0.727757	0.2041	25,678.882813
0.731157	0.204	16,178.001953
0.734558	0.2041	14,139.048828
0.737960	0.2041	22,917.765625
0.741360	0.204	20,800.759766
0.744762	0.2041	17,028.671875
0.748163	0.2041	26,964.123047
0.751563	0.204	22,718.126953
0.754965	0.2041	9,303.196289
0.758367	0.2041	15,879.689453
0.761767	0.204	19,710.816406
0.765168	0.2041	19,285.851563
0.768570	0.2041	23,861.304688
0.771970	0.204	26,139.310547
0.775372	0.2041	17,020.097656
0.778773	0.2041	15,377.337891
0.782173	0.204	14,320.986328
0.785575	0.2041	23,441.965820
0.788977	0.2041	33,496.888184
0.792377	0.204	26,884.863281
0.795778	0.2041	23,999.457031
0.799180	0.2041	23,285.708008
0.802580	0.204	14,593.118164
0.805982	0.2041	15,988.339844
0.809383	0.2041	11,584.961914
0.812783	0.204	13,147.606445
0.816185	0.2041	22,359.462891
0.819587	0.2041	20,146.611328
0.822987	0.204	22,738.904297
0.826388	0.2041	22,547.525391
0.829790	0.2041	19,367.623047
0.833190	0.204	17,889.949219
0.836592	0.2041	20,136.187500
0.839993	0.2041	20,564.687500
0.843393	0.204	21,615.589844
0.846795	0.2041	26,076.767578
0.850197	0.2041	19,600.765625
0.853597	0.204	15,228.197266
0.856998	0.2041	27,074.306641
0.860400	0.2041	21,273.369141
0.863800	0.204	13,916.626953
0.867202	0.2041	20,784.279297
0.870603	0.2041	18,624.683594
0.874003	0.204	22,413.103516
0.877405	0.2041	24,201.003906
0.880807	0.2041	22,294.458984
0.884207	0.204	25,518.927734
0.887608	0.2041	23,523.914063
0.891010	0.2041	23,354.044922
0.894410	0.204	19,242.181641
0.897812	0.2041	8,546.387695
0.901213	0.2041	18,489.097656
0.904613	0.204	30,086.636719
0.908015	0.2041	20,834.611328
0.911417	0.2041	13,214.081055
0.914817	0.204	20,023.134766
0.918218	0.2041	21,017.460938
0.921620	0.2041	24,396.539063
0.925020	0.204	29,481.570313
0.928422	0.2041	21,319.070313
0.931823	0.2041	16,386.824219
0.935223	0.204	18,031.375000
0.938625	0.2041	14,610.720703
0.942027	0.2041	10,102.350586
0.945427	0.204	15,233.060547
0.948828	0.2041	19,495.187500
0.952230	0.2041	18,354.277344
0.955630	0.204	17,230.158203
0.959032	0.2041	19,831.208984
0.962433	0.2041	15,744.630859
0.965833	0.204	14,635.686523
0.969235	0.2041	25,923.720703
0.972637	0.2041	22,584.074219
0.976037	0.204	11,466.012695
