File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/541.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_actigard_clean_site_8
Injection Number	36
Position	39
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	9/3/2021
Injection Time	12:30:10 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033850
Time Max. (min)	34.997307
Data Points	10281
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,893.047852
Signal Max.	87,844,032.000000
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033850	n.a.	12,640.006836
0.037252	0.2041	22,461.412109
0.040653	0.2041	21,574.439453
0.044053	0.204	19,318.476563
0.047455	0.2041	19,264.958984
0.050857	0.2041	32,832.500000
0.054257	0.204	36,182.171875
0.057658	0.2041	23,328.751953
0.061060	0.2041	22,861.037109
0.064460	0.204	27,702.517578
0.067862	0.2041	20,905.677734
0.071263	0.2041	23,719.982422
0.074663	0.204	26,950.199219
0.078065	0.2041	23,230.835938
0.081467	0.2041	31,248.722656
0.084867	0.204	27,735.531250
0.088268	0.2041	17,405.884766
0.091670	0.2041	27,451.083984
0.095070	0.204	31,712.246094
0.098472	0.2041	25,831.656250
0.101873	0.2041	29,516.492188
0.105273	0.204	29,902.273438
0.108675	0.2041	21,454.576172
0.112077	0.2041	29,781.390625
0.115477	0.204	35,599.769531
0.118878	0.2041	31,682.388672
0.122280	0.2041	31,465.615234
0.125680	0.204	30,531.771484
0.129082	0.2041	24,606.035156
0.132483	0.2041	25,833.308594
0.135883	0.204	18,214.091797
0.139285	0.2041	20,341.347656
0.142687	0.2041	22,751.421875
0.146087	0.204	18,612.296875
0.149488	0.2041	19,444.226563
0.152890	0.2041	23,279.742188
0.156290	0.204	24,923.251953
0.159692	0.2041	34,623.644531
0.163093	0.2041	30,079.509766
0.166493	0.204	22,081.593750
0.169895	0.2041	21,972.500000
0.173297	0.2041	22,381.085938
0.176697	0.204	33,245.007813
0.180098	0.2041	31,556.328125
0.183500	0.2041	14,075.108398
0.186900	0.204	19,438.796875
0.190302	0.2041	21,847.087891
0.193703	0.2041	16,906.041016
0.197103	0.204	21,475.289063
0.200505	0.2041	27,766.164063
0.203907	0.2041	33,732.566406
0.207307	0.204	32,807.214844
0.210708	0.2041	31,190.775391
0.214110	0.2041	26,055.015625
0.217510	0.204	24,049.324219
0.220912	0.2041	26,400.177734
0.224313	0.2041	29,135.630859
0.227713	0.204	34,468.203125
0.231115	0.2041	28,541.390625
0.234517	0.2041	24,955.675781
0.237917	0.204	25,073.324219
0.241318	0.2041	23,273.613281
0.244720	0.2041	29,322.728516
0.248120	0.204	35,076.609375
0.251522	0.2041	29,155.996094
0.254923	0.2041	25,090.324219
0.258323	0.204	23,768.953125
0.261725	0.2041	27,534.447266
0.265127	0.2041	30,848.261719
0.268527	0.204	29,902.929688
0.271928	0.2041	25,753.708984
0.275330	0.2041	28,141.517578
0.278730	0.204	30,546.933594
0.282132	0.2041	24,543.283203
0.285533	0.2041	30,801.824219
0.288933	0.204	39,316.453125
0.292335	0.2041	32,096.357422
0.295737	0.2041	25,295.466797
0.299137	0.204	27,775.553711
0.302538	0.2041	21,629.621094
0.305940	0.2041	23,290.468750
0.309340	0.204	29,351.882813
0.312742	0.2041	29,055.224609
0.316143	0.2041	30,110.646484
0.319545	0.2041	18,179.085938
0.322945	0.204	17,169.171875
0.326347	0.2041	27,218.251953
0.329748	0.2041	26,776.056641
0.333148	0.204	19,208.328125
0.336550	0.2041	25,768.689453
0.339952	0.2041	32,491.242188
0.343352	0.204	21,621.935547
0.346753	0.2041	20,971.242188
0.350155	0.2041	29,042.341797
0.353555	0.204	29,764.433594
0.356957	0.2041	20,644.789063
0.360358	0.2041	12,449.793945
0.363758	0.204	22,279.337891
0.367160	0.2041	23,653.919922
0.370562	0.2041	19,851.755859
0.373962	0.204	23,069.642578
0.377363	0.2041	30,934.119141
0.380765	0.2041	27,575.494141
0.384165	0.204	21,858.828125
0.387567	0.2041	27,348.017578
0.390968	0.2041	24,885.066406
0.394368	0.204	20,761.941406
0.397770	0.2041	21,921.925781
0.401172	0.2041	25,440.664063
0.404572	0.204	26,802.050781
0.407973	0.2041	24,983.080078
0.411375	0.2041	28,030.525391
0.414775	0.204	31,817.249023
0.418177	0.2041	22,664.115234
0.421578	0.2041	24,136.326172
0.424978	0.204	31,300.404297
0.428380	0.2041	28,147.654297
0.431782	0.2041	22,976.072266
0.435182	0.204	18,887.429688
0.438583	0.2041	12,726.406250
0.441985	0.2041	21,804.085938
0.445385	0.204	29,650.011719
0.448787	0.2041	24,312.642578
0.452188	0.2041	30,830.521484
0.455588	0.204	37,019.890625
0.458990	0.2041	24,953.664063
0.462392	0.2041	20,483.818359
0.465792	0.204	17,585.812500
0.469193	0.2041	21,549.214844
0.472595	0.2041	25,425.234375
0.475995	0.204	24,615.041016
0.479397	0.2041	28,593.351563
0.482798	0.2041	30,300.599609
0.486198	0.204	30,384.697266
0.489600	0.2041	32,293.167969
0.493002	0.2041	22,835.347656
0.496402	0.204	17,684.166016
0.499803	0.2041	19,723.193359
0.503205	0.2041	22,306.597656
0.506605	0.204	24,834.988281
0.510007	0.2041	24,549.199219
0.513408	0.2041	25,135.595703
0.516808	0.204	20,025.208984
0.520210	0.2041	27,544.264648
0.523612	0.2041	28,786.265625
0.527012	0.204	27,241.564453
0.530413	0.2041	23,449.281250
0.533815	0.2041	22,426.988281
0.537215	0.204	24,374.820313
0.540617	0.2041	20,996.505859
0.544018	0.2041	18,827.732422
0.547418	0.204	19,672.117188
0.550820	0.2041	18,400.558594
0.554222	0.2041	21,179.310547
0.557622	0.204	17,303.873047
0.561023	0.2041	17,627.251953
0.564425	0.2041	25,904.634766
0.567825	0.204	23,626.947266
0.571227	0.2041	21,981.416016
0.574628	0.2041	26,483.574219
0.578028	0.204	15,564.900391
0.581430	0.2041	14,134.407227
0.584832	0.2041	25,346.281250
0.588232	0.204	21,049.251953
0.591633	0.2041	21,382.929688
0.595035	0.2041	20,861.095703
0.598435	0.204	13,609.531250
0.601837	0.2041	16,605.376953
0.605238	0.2041	25,727.396484
0.608638	0.204	27,549.568359
0.612040	0.2041	21,585.972656
0.615442	0.2041	21,240.490234
0.618842	0.204	27,309.152344
0.622243	0.2041	33,233.082031
0.625645	0.2041	22,821.410156
0.629045	0.204	15,386.960938
0.632447	0.2041	20,744.123047
0.635848	0.2041	17,387.626953
0.639248	0.204	19,511.382813
0.642650	0.2041	36,506.527344
0.646052	0.2041	28,889.025391
0.649452	0.204	15,020.372070
0.652853	0.2041	28,869.439453
0.656255	0.2041	26,854.814453
0.659655	0.204	27,090.273438
0.663057	0.2041	34,044.445313
0.666458	0.2041	24,969.125000
0.669858	0.204	24,189.736328
0.673260	0.2041	25,889.162109
0.676662	0.2041	29,610.451172
0.680062	0.204	23,024.552734
0.683463	0.2041	20,818.015625
0.686865	0.2041	23,882.064453
0.690265	0.204	21,426.968750
0.693667	0.2041	19,857.486328
0.697068	0.2041	17,439.216797
0.700468	0.204	22,305.595703
0.703870	0.2041	26,311.597656
0.707272	0.2041	32,418.560547
0.710672	0.204	26,514.935547
0.714073	0.2041	23,207.914063
0.717475	0.2041	29,138.753906
0.720875	0.204	22,893.941406
0.724277	0.2041	20,863.894531
0.727678	0.2041	23,166.335938
0.731078	0.204	20,402.740234
0.734480	0.2041	17,921.851563
0.737882	0.2041	20,563.921875
0.741282	0.204	22,238.707031
0.744683	0.2041	25,725.443359
0.748085	0.2041	26,245.115234
0.751485	0.204	22,830.308594
0.754887	0.2041	23,699.203125
0.758288	0.2041	22,966.095703
0.761688	0.204	18,673.410156
0.765090	0.2041	15,242.263672
0.768492	0.2041	19,955.326172
0.771892	0.204	29,893.757813
0.775293	0.2041	30,446.507813
0.778695	0.2041	17,182.384766
