File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/240.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_actigard_site_1
Injection Number	26
Position	25
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	7/28/2021
Injection Time	12:26:44 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034073
Time Max. (min)	35.007732
Data Points	10284
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	236,336.676382
Signal Max.	1,818,900,392.367590
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034073	n.a.	344,339.792774
0.037475	0.2041	377,885.357491
0.040875	0.204	400,157.293080
0.044277	0.2041	378,685.005287
0.047678	0.2041	400,020.416660
0.051078	0.204	392,257.451196
0.054480	0.2041	367,306.724347
0.057882	0.2041	355,237.627959
0.061282	0.204	384,883.446788
0.064683	0.2041	414,007.118056
0.068085	0.2041	400,858.700067
0.071485	0.204	380,121.154336
0.074887	0.2041	357,366.375870
0.078288	0.2041	370,362.836750
0.081688	0.204	391,463.096993
0.085090	0.2041	410,972.135064
0.088492	0.2041	422,478.828547
0.091892	0.204	376,252.587683
0.095293	0.2041	343,207.866676
0.098695	0.2041	366,746.764033
0.102095	0.204	360,438.962067
0.105497	0.2041	369,185.180053
0.108898	0.2041	388,290.222371
0.112298	0.204	362,870.163331
0.115700	0.2041	342,533.327929
0.119102	0.2041	358,746.044258
0.122502	0.204	378,366.827089
0.125903	0.2041	366,143.371735
0.129305	0.2041	353,034.837707
0.132705	0.204	341,811.204810
0.136107	0.2041	385,824.773261
0.139508	0.2041	407,293.354199
0.142908	0.204	399,750.246043
0.146310	0.2041	392,828.625141
0.149712	0.2041	358,764.698783
0.153112	0.204	366,976.492469
0.156513	0.2041	366,362.024889
0.159915	0.2041	375,532.876830
0.163315	0.204	375,644.979893
0.166717	0.2041	344,532.355833
0.170118	0.2041	358,636.981079
0.173518	0.204	339,644.985546
0.176920	0.2041	328,904.385408
0.180322	0.2041	386,193.476104
0.183722	0.204	410,881.297385
0.187123	0.2041	391,775.223315
0.190525	0.2041	353,616.463611
0.193925	0.204	347,450.625520
0.197327	0.2041	367,128.614387
0.200728	0.2041	343,896.768904
0.204128	0.204	338,808.613809
0.207530	0.2041	376,252.078289
0.210932	0.2041	398,302.889884
0.214332	0.204	360,061.680811
0.217733	0.2041	338,994.736495
0.221135	0.2041	355,197.255102
0.224535	0.204	358,677.004286
0.227937	0.2041	359,771.603739
0.231338	0.2041	382,556.164738
0.234738	0.204	376,970.544544
0.238140	0.2041	330,353.702011
0.241542	0.2041	361,818.043418
0.244942	0.204	383,207.800664
0.248343	0.2041	343,744.218217
0.251745	0.2041	347,631.973449
0.255145	0.204	370,798.763611
0.258547	0.2041	389,937.673577
0.261948	0.2041	392,106.820642
0.265348	0.204	357,853.062024
0.268750	0.2041	364,801.644009
0.272152	0.2041	366,571.099007
0.275553	0.2041	349,701.813733
0.278953	0.204	380,269.903716
0.282355	0.2041	384,834.248840
0.285757	0.2041	318,993.533793
0.289157	0.204	330,643.242017
0.292558	0.2041	353,526.068573
0.295960	0.2041	310,139.115540
0.299360	0.204	312,821.138518
0.302762	0.2041	330,031.190877
0.306163	0.2041	341,187.951472
0.309563	0.204	335,839.016560
0.312965	0.2041	338,964.440573
0.316367	0.2041	362,110.798183
0.319767	0.204	325,380.420264
0.323168	0.2041	322,002.928021
0.326570	0.2041	382,937.827953
0.329970	0.204	425,931.870368
0.333372	0.2041	395,816.935892
0.336773	0.2041	348,344.468862
0.340173	0.204	349,231.843372
0.343575	0.2041	349,474.615395
0.346977	0.2041	346,624.722727
0.350377	0.204	351,766.810264
0.353778	0.2041	368,136.816745
