File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/342.smp/MS_[93.00%2C 500 MMU]].channel/MS_[93.00%2C 500 MMU]].chm
Channel	MS_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_actigard_site_3
Injection Number	31
Position	30
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	7/30/2021
Injection Time	2:50:18 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033900
Time Max. (min)	35.000737
Data Points	10282
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	10,915,514.000000
Channel	MS_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406674

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033900	n.a.	3,056.431152
0.037302	0.2041	3,186.379395
0.040702	0.204	9,146.703613
0.044103	0.2041	7,587.689453
0.047505	0.2041	3,890.342773
0.050905	0.204	4,664.369629
0.054307	0.2041	5,527.715332
0.057708	0.2041	4,780.450195
0.061108	0.204	3,326.421387
0.064510	0.2041	1,602.392578
0.067912	0.2041	2,975.295654
0.071312	0.204	4,012.694824
0.074713	0.2041	7,500.788574
0.078115	0.2041	7,332.137207
0.081515	0.204	4,148.563477
0.084917	0.2041	6,375.830566
0.088318	0.2041	3,845.865234
0.091718	0.204	5,479.960449
0.095120	0.2041	7,015.020508
0.098522	0.2041	5,190.271484
0.101922	0.204	3,396.833862
0.105323	0.2041	5,477.397949
0.108725	0.2041	7,556.160645
0.112125	0.204	4,616.111450
0.115527	0.2041	1,369.706299
0.118928	0.2041	947.355591
0.122328	0.204	4,638.643555
0.125730	0.2041	7,886.452148
0.129132	0.2041	4,823.357422
0.132532	0.204	5,948.910645
0.135933	0.2041	9,034.616394
0.139335	0.2041	4,961.298340
0.142735	0.204	4,443.493164
0.146137	0.2041	4,106.876953
0.149538	0.2041	2,062.161621
0.152938	0.204	2,097.519287
0.156340	0.2041	4,248.035645
0.159740	0.204	11,571.185791
0.163142	0.2041	7,270.418945
0.166543	0.2041	7,169.744629
0.169945	0.2041	8,153.920898
0.173345	0.204	7,672.187500
0.176747	0.2041	4,574.800781
0.180148	0.2041	2,769.296387
0.183548	0.204	1,957.065796
0.186950	0.2041	4,517.934082
0.190352	0.2041	7,465.765625
0.193752	0.204	5,259.173828
0.197153	0.2041	4,301.662109
0.200555	0.2041	6,493.584473
0.203955	0.204	3,739.089111
0.207357	0.2041	4,402.117676
0.210758	0.2041	7,390.469727
0.214158	0.204	3,733.131348
0.217560	0.2041	35.089138
0.220962	0.2041	6,746.248047
0.224362	0.204	7,758.016113
0.227763	0.2041	5,247.332520
0.231165	0.2041	8,633.581787
0.234565	0.204	4,822.605957
0.237967	0.2041	4,193.135742
0.241368	0.2041	2,516.729248
0.244768	0.204	0.000000
0.248170	0.2041	171.436020
0.251572	0.2041	2,636.603760
0.254972	0.204	3,632.505859
0.258373	0.2041	4,406.871582
0.261775	0.2041	3,968.060059
0.265175	0.204	2,712.033203
0.268577	0.2041	4,761.805176
