File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/710.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_site_12
Injection Number	17
Position	16
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/26/2021
Injection Time	12:27:54 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034277
Time Max. (min)	38.004340
Data Points	11165
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	160,529,008.000000
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034277	n.a.	575.905396
0.037678	0.2041	1,121.930664
0.041078	0.204	2,094.501709
0.044480	0.2041	4,174.666992
0.047882	0.2041	5,163.580566
0.051282	0.204	4,252.511108
0.054683	0.2041	690.350647
0.058085	0.2041	1,540.899139
0.061485	0.204	1,937.066284
0.064887	0.2041	4,223.733398
0.068288	0.2041	4,196.073730
0.071688	0.204	684.063538
0.075090	0.2041	630.594360
0.078492	0.2041	1,416.167725
0.081892	0.204	0.000000
0.085293	0.2041	80.695923
0.088695	0.2041	65.200684
0.092095	0.204	2,630.478532
0.095497	0.2041	4,144.518555
0.098898	0.2041	1,762.934448
0.102298	0.204	2.538854
0.105700	0.2041	1,903.797607
0.109102	0.2041	2,487.869995
0.112502	0.204	1,674.489868
0.115903	0.2041	1,113.304199
0.119305	0.2041	393.278015
0.122705	0.204	634.884521
0.126107	0.2041	240.771637
0.129508	0.2041	2,851.193325
0.132908	0.204	1,030.664063
0.136310	0.2041	1,770.371704
0.139712	0.2041	5,066.305573
0.143112	0.204	4,923.750000
0.146513	0.2041	3,430.123535
0.149915	0.2041	3,871.907471
0.153315	0.204	3,498.583008
0.156717	0.2041	3,017.938232
0.160118	0.2041	1,740.345093
0.163518	0.204	1,189.435547
0.166920	0.2041	3,785.497803
0.170322	0.2041	3,775.291260
0.173722	0.204	2,498.131348
0.177123	0.2041	2,059.085938
0.180525	0.2041	1,219.020630
0.183925	0.204	1,307.289063
0.187327	0.2041	4,211.445801
0.190728	0.2041	6,710.009766
0.194128	0.204	7,929.539063
0.197530	0.2041	9,054.882813
0.200932	0.2041	3,385.337891
0.204332	0.204	0.000000
0.207733	0.2041	2,018.287720
0.211135	0.2041	2,512.988098
0.214537	0.2041	2,681.933350
0.217937	0.204	2,062.243896
0.221338	0.2041	3,540.114746
0.224740	0.2041	2,254.912109
0.228140	0.204	853.479614
0.231542	0.2041	1,930.153809
0.234943	0.2041	1,574.205078
0.238343	0.204	2,228.534668
0.241745	0.2041	5,175.191895
0.245147	0.2041	4,050.429688
0.248547	0.204	1,966.148804
0.251948	0.2041	2,005.015137
0.255350	0.2041	1,409.108765
0.258750	0.204	2,249.277832
0.262152	0.2041	5,128.449219
0.265553	0.2041	4,900.313965
0.268953	0.204	430.386230
0.272355	0.2041	1,631.181641
0.275757	0.2041	3,550.817871
0.279157	0.204	5,455.340332
0.282558	0.2041	5,438.392578
0.285960	0.2041	1,560.538574
0.289360	0.204	994.367920
0.292762	0.2041	2,082.171021
0.296163	0.2041	2,571.400879
0.299563	0.204	2,861.330322
0.302965	0.2041	1,124.093140
0.306367	0.2041	4,752.036621
