File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/583.smp/MS_[93.00%2C 500 MMU]].channel/MS_[93.00%2C 500 MMU]].chm
Channel	MS_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_site_16
Injection Number	21
Position	20
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/26/2021
Injection Time	3:38:18 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034175
Time Max. (min)	38.004240
Data Points	11165
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	60,033,620.000000
Channel	MS_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034175	n.a.	3,682.974792
0.037577	0.2041	13,187.578125
0.040978	0.2041	15,342.733398
0.044378	0.204	7,312.934082
0.047780	0.2041	7,637.769043
0.051182	0.2041	16,132.041016
0.054582	0.204	21,158.673828
0.057983	0.2041	14,428.120117
0.061385	0.2041	5,398.118652
0.064785	0.204	7,256.793457
0.068187	0.2041	12,265.160156
0.071588	0.2041	14,233.042969
0.074988	0.204	7,323.949707
0.078390	0.2041	9,359.250977
0.081792	0.2041	12,238.107422
0.085192	0.204	5,034.496094
0.088593	0.2041	13,696.065430
0.091995	0.2041	19,596.037109
0.095395	0.204	8,886.271484
0.098797	0.2041	8,988.328125
0.102198	0.2041	17,124.009766
0.105598	0.204	23,146.015625
0.109000	0.2041	22,036.632813
0.112402	0.2041	18,772.457031
0.115802	0.204	15,279.907227
0.119203	0.2041	13,545.273438
0.122605	0.2041	12,132.336914
0.126005	0.204	13,370.918945
0.129407	0.2041	15,976.283203
0.132808	0.2041	12,634.460938
0.136208	0.204	11,422.322266
0.139610	0.2041	14,898.749023
0.143012	0.2041	16,030.945313
0.146412	0.204	9,058.375000
0.149813	0.2041	20,182.886719
0.153215	0.2041	21,656.111328
0.156615	0.204	6,879.116211
0.160017	0.2041	11,279.876953
0.163418	0.2041	9,619.541016
0.166818	0.204	6,467.547363
0.170220	0.2041	9,132.751953
0.173622	0.2041	9,979.808594
0.177022	0.204	9,903.025391
0.180423	0.2041	8,085.907227
0.183825	0.2041	8,566.597656
0.187225	0.204	12,904.475586
0.190627	0.2041	11,842.265625
0.194028	0.2041	9,000.726563
0.197428	0.204	16,291.809570
0.200830	0.2041	14,566.650391
0.204232	0.2041	6,936.193848
0.207632	0.204	9,540.542969
