File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/781.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_site_19
Injection Number	24
Position	23
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/26/2021
Injection Time	5:42:49 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034018
Time Max. (min)	38.000680
Data Points	11164
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,237,307.027605
Signal Max.	1,514,685,654.410670
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034018	n.a.	1,904,774.423126
0.037418	0.204	1,881,878.214813
0.040820	0.2041	1,879,664.634940
0.044222	0.2041	1,935,622.225381
0.047622	0.204	1,966,418.648837
0.051023	0.2041	1,784,693.050790
0.054425	0.2041	1,830,846.512278
0.057825	0.204	2,029,220.006564
0.061227	0.2041	1,883,889.921955
0.064628	0.2041	1,791,451.712449
0.068028	0.204	1,938,064.777991
0.071430	0.2041	1,956,627.743373
0.074832	0.2041	1,855,359.052758
0.078232	0.204	1,791,006.502906
0.081633	0.2041	1,879,834.233856
0.085035	0.2041	1,975,758.886563
0.088435	0.204	1,815,811.895843
0.091837	0.2041	1,726,798.065357
0.095238	0.2041	1,862,283.875207
0.098638	0.204	1,884,196.059591
0.102040	0.2041	1,811,573.385261
0.105442	0.2041	1,826,905.823384
0.108842	0.204	1,866,253.612408
0.112243	0.2041	1,832,622.561370
0.115645	0.2041	1,805,417.949190
0.119045	0.204	1,782,102.482673
0.122447	0.2041	1,727,124.110809
0.125848	0.2041	1,728,236.119940
0.129248	0.204	1,828,369.092588
0.132650	0.2041	1,807,311.756051
0.136052	0.2041	1,795,631.134840
0.139452	0.204	1,839,998.383067
0.142853	0.2041	1,765,798.660551
0.146255	0.2041	1,771,225.158622
0.149655	0.204	1,725,934.121412
0.153057	0.2041	1,697,199.923491
0.156458	0.2041	1,799,920.965823
0.159858	0.204	1,719,818.375399
0.163260	0.2041	1,622,583.136994
0.166662	0.2041	1,756,943.902032
0.170062	0.204	1,848,937.827583
0.173463	0.2041	1,859,033.538795
0.176865	0.2041	1,838,547.316430
0.180265	0.204	1,760,427.216065
0.183667	0.2041	1,679,957.927342
0.187068	0.2041	1,666,518.540002
0.190470	0.2041	1,695,967.744098
0.193870	0.204	1,694,187.234506
0.197272	0.2041	1,734,960.983909
0.200673	0.2041	1,685,561.978718
0.204073	0.204	1,656,322.961044
0.207475	0.2041	1,697,896.093582
0.210877	0.2041	1,712,100.799108
0.214277	0.204	1,700,126.391883
0.217678	0.2041	1,731,694.508558
0.221080	0.2041	1,735,806.578211
0.224480	0.204	1,638,986.872360
0.227882	0.2041	1,731,361.036869
0.231283	0.2041	1,798,683.584213
0.234683	0.204	1,644,206.327181
0.238085	0.2041	1,652,421.157101
0.241487	0.2041	1,735,373.566253
0.244887	0.204	1,702,923.382124
0.248288	0.2041	1,679,419.075047
0.251690	0.2041	1,694,786.630360
0.255090	0.204	1,774,939.466151
0.258492	0.2041	1,744,304.280685
0.261893	0.2041	1,638,301.998453
0.265293	0.204	1,670,695.502050
0.268695	0.2041	1,655,353.007414
0.272097	0.2041	1,642,786.972979
0.275497	0.204	1,664,351.661717
0.278898	0.2041	1,616,464.566249
0.282300	0.2041	1,606,331.494631
0.285700	0.204	1,613,745.425982
0.289102	0.2041	1,641,865.628336
0.292503	0.2041	1,651,961.616920
0.295903	0.204	1,609,769.198672
0.299305	0.2041	1,610,129.267957
0.302707	0.2041	1,714,241.511917
0.306107	0.204	1,733,928.009800
0.309508	0.2041	1,670,593.211106
0.312910	0.2041	1,657,850.862580
0.316310	0.204	1,666,531.171836
0.319712	0.2041	1,643,533.291420
0.323113	0.2041	1,660,891.927826
0.326513	0.204	1,646,815.850605
0.329915	0.2041	1,705,758.830921
0.333317	0.2041	1,807,992.507717
0.336717	0.204	1,662,254.128500
0.340118	0.2041	1,588,938.506897
0.343520	0.2041	1,696,102.286363
0.346920	0.204	1,597,809.149388
0.350322	0.2041	1,525,094.560288
0.353723	0.2041	1,643,957.613974
0.357123	0.204	1,642,027.443605
0.360525	0.2041	1,611,862.480606
0.363927	0.2041	1,676,264.916026
0.367327	0.204	1,674,205.279261
0.370728	0.2041	1,618,599.515827
0.374130	0.2041	1,678,143.598230
0.377530	0.204	1,624,026.781983
0.380932	0.2041	1,524,907.537304
0.384333	0.2041	1,603,642.169930
0.387733	0.204	1,706,206.450070
0.391135	0.2041	1,655,945.834654
0.394537	0.2041	1,582,781.265940
0.397937	0.204	1,689,078.563644
0.401338	0.2041	1,671,706.167645
0.404740	0.2041	1,550,673.019584
0.408140	0.204	1,586,956.033665
0.411542	0.2041	1,644,744.701510
0.414943	0.2041	1,602,442.824704
0.418343	0.204	1,580,499.323822
0.421745	0.2041	1,588,462.374605
0.425147	0.2041	1,552,848.316431
0.428547	0.204	1,539,868.316851
0.431948	0.2041	1,563,700.435308
0.435350	0.2041	1,540,968.370070
0.438750	0.204	1,586,385.218551
0.442152	0.2041	1,708,542.537935
0.445553	0.2041	1,687,618.302886
0.448953	0.204	1,633,012.449872
0.452355	0.2041	1,616,768.473116
0.455757	0.2041	1,622,341.299307
0.459157	0.204	1,585,350.394776
0.462558	0.2041	1,519,327.912512
0.465960	0.2041	1,484,921.998844
0.469360	0.204	1,456,624.346096
0.472762	0.2041	1,505,417.151599
0.476163	0.2041	1,552,220.919260
0.479563	0.204	1,584,481.314942
0.482965	0.2041	1,536,990.812926
0.486367	0.2041	1,496,904.045551
0.489767	0.204	1,577,057.422341
0.493168	0.2041	1,554,526.023736
0.496570	0.2041	1,541,235.667270
0.499970	0.204	1,568,947.274481
0.503372	0.2041	1,527,916.015050
0.506773	0.2041	1,565,272.686341
0.510173	0.204	1,568,662.215112
0.513575	0.2041	1,523,431.675639
0.516977	0.2041	1,511,938.575589
0.520377	0.204	1,536,150.727630
0.523778	0.2041	1,552,436.583754
0.527180	0.2041	1,504,053.564394
0.530580	0.204	1,493,237.901420
0.533982	0.2041	1,517,691.315540
0.537383	0.2041	1,639,402.799222
0.540783	0.204	1,614,302.398809
0.544185	0.2041	1,475,035.164688
0.547587	0.2041	1,550,594.699762
0.550988	0.2041	1,681,389.594383
0.554388	0.204	1,537,343.276466
0.557790	0.2041	1,469,143.422614
0.561192	0.2041	1,558,302.328506
0.564592	0.204	1,536,691.206108
0.567993	0.2041	1,579,827.924088
0.571395	0.2041	1,596,256.598260
0.574795	0.204	1,576,659.934892
0.578197	0.2041	1,619,454.466082
0.581598	0.2041	1,558,908.569563
0.584998	0.204	1,543,133.469890
0.588400	0.2041	1,572,463.051881
0.591802	0.2041	1,559,805.011578
0.595202	0.204	1,575,561.609084
0.598603	0.2041	1,485,192.855443
0.602005	0.2041	1,501,353.871182
0.605405	0.204	1,548,904.445313
0.608807	0.2041	1,460,432.019782
0.612208	0.2041	1,493,495.632165
0.615608	0.204	1,648,296.323445
0.619010	0.2041	1,628,703.352359
0.622412	0.2041	1,515,101.373557
0.625812	0.204	1,542,015.073226
0.629213	0.2041	1,547,321.159371
0.632615	0.2041	1,482,888.714136
0.636015	0.204	1,585,986.122618
0.639417	0.2041	1,610,329.648331
0.642818	0.2041	1,532,745.349514
0.646218	0.204	1,483,526.729311
0.649620	0.2041	1,452,750.265662
0.653022	0.2041	1,520,449.587446
0.656422	0.204	1,471,364.423160
0.659823	0.2041	1,473,162.938529
0.663225	0.2041	1,585,037.508804
0.666625	0.204	1,538,522.216136
0.670027	0.2041	1,557,730.074494
0.673428	0.2041	1,607,169.947151
0.676828	0.204	1,533,551.362343
0.680230	0.2041	1,520,058.670974
0.683632	0.2041	1,562,969.705285
0.687032	0.204	1,509,723.703622
0.690433	0.2041	1,496,882.263965
0.693835	0.2041	1,514,677.426859
0.697235	0.204	1,525,019.684314
0.700637	0.2041	1,507,891.330391
0.704038	0.2041	1,395,873.338275
0.707438	0.204	1,396,186.662745
0.710840	0.2041	1,485,846.973476
0.714242	0.2041	1,495,860.885898
0.717642	0.204	1,448,991.647388
0.721043	0.2041	1,425,702.394504
0.724445	0.2041	1,494,810.037657
0.727845	0.204	1,512,849.840802
0.731247	0.2041	1,537,559.467304
0.734648	0.2041	1,522,354.006322
0.738048	0.204	1,426,532.470468
0.741450	0.2041	1,479,491.953099
0.744852	0.2041	1,542,896.802787
0.748252	0.204	1,539,458.831598
0.751653	0.2041	1,499,891.087920
0.755055	0.2041	1,445,149.216963
0.758455	0.204	1,405,482.732979
0.761857	0.2041	1,433,376.181049
0.765258	0.2041	1,523,176.484535
0.768658	0.204	1,478,399.990985
0.772060	0.2041	1,478,131.437038
0.775462	0.2041	1,500,047.754536
0.778862	0.204	1,474,813.469095
0.782263	0.2041	1,502,158.301637
0.785665	0.2041	1,438,013.602965
0.789065	0.204	1,437,884.140819
0.792467	0.2041	1,533,148.038803
0.795868	0.2041	1,475,337.538585
0.799268	0.204	1,399,328.550062
0.802670	0.2041	1,473,101.901444
0.806072	0.2041	1,486,588.730810
0.809472	0.204	1,511,460.051985
0.812873	0.2041	1,538,456.680103
0.816275	0.2041	1,435,334.248188
0.819675	0.204	1,382,037.422932
0.823077	0.2041	1,407,735.056115
0.826478	0.2041	1,442,383.487437
0.829878	0.204	1,452,067.931281
0.833280	0.2041	1,495,476.005689
0.836682	0.2041	1,540,220.307016
0.840082	0.204	1,491,197.443849
0.843483	0.2041	1,418,900.034058
0.846885	0.2041	1,341,240.664473
0.850285	0.204	1,390,985.946448
0.853687	0.2041	1,505,078.514178
0.857088	0.2041	1,466,043.354990
0.860488	0.204	1,482,339.789438
0.863890	0.2041	1,505,869.552989
0.867292	0.2041	1,463,186.659369
0.870692	0.204	1,431,055.988522
0.874093	0.2041	1,361,951.045276
0.877495	0.2041	1,392,001.752918
0.880895	0.204	1,444,654.065700
0.884297	0.2041	1,476,795.502828
0.887698	0.2041	1,518,765.325234
0.891100	0.2041	1,454,730.574945
0.894500	0.204	1,418,474.225498
0.897902	0.2041	1,433,864.730576
0.901303	0.2041	1,434,945.806257
0.904703	0.204	1,467,324.455857
0.908105	0.2041	1,417,480.665166
0.911507	0.2041	1,424,211.068860
0.914907	0.204	1,491,411.832447
0.918308	0.2041	1,506,295.541409
0.921710	0.2041	1,505,202.330539
0.925110	0.204	1,387,037.420539
0.928512	0.2041	1,398,117.748327
0.931913	0.2041	1,494,804.944290
0.935313	0.204	1,500,189.985950
0.938715	0.2041	1,495,627.895063
0.942117	0.2041	1,425,257.772129
0.945517	0.204	1,409,208.526721
0.948918	0.2041	1,413,266.925571
0.952320	0.2041	1,425,817.521079
0.955720	0.204	1,486,531.194364
0.959122	0.2041	1,424,149.857475
0.962523	0.2041	1,411,610.646483
0.965923	0.204	1,492,805.369672
0.969325	0.2041	1,447,116.564527
0.972727	0.2041	1,460,327.981687
0.976127	0.204	1,514,353.434063
0.979528	0.2041	1,486,985.586518
0.982930	0.2041	1,444,636.064935
0.986330	0.204	1,419,271.959295
0.989732	0.2041	1,464,652.360294
0.993133	0.2041	1,435,808.015271
0.996533	0.204	1,402,527.941890
0.999935	0.2041	1,357,631.753637
1.003337	0.2041	1,354,422.932135
1.006737	0.204	1,410,050.339369
1.010138	0.2041	1,446,678.860200
1.013540	0.2041	1,523,360.185210
1.016940	0.204	1,482,632.555575
1.020342	0.2041	1,421,905.885360
1.023743	0.2041	1,446,646.300815
1.027143	0.204	1,438,157.202361
1.030545	0.2041	1,421,971.665015
1.033947	0.2041	1,502,681.550354
1.037347	0.204	1,519,928.014679
1.040748	0.2041	1,422,012.927593
1.044150	0.2041	1,475,645.201291
1.047550	0.204	1,516,999.020210
1.050952	0.2041	1,510,334.919510
1.054353	0.2041	1,546,250.727468
1.057753	0.204	1,427,285.783469
1.061155	0.2041	1,359,405.361764
1.064557	0.2041	1,498,931.943527
1.067957	0.204	1,538,948.590138
1.071358	0.2041	1,441,002.248019
1.074760	0.2041	1,377,705.559815
1.078160	0.204	1,413,834.319349
1.081562	0.2041	1,456,260.322627
1.084963	0.2041	1,420,643.538539
1.088363	0.204	1,399,507.424909
1.091765	0.2041	1,433,924.535349
1.095167	0.2041	1,433,508.854012
1.098567	0.204	1,414,856.791545
1.101968	0.2041	1,384,012.200024
1.105370	0.2041	1,390,325.154616
1.108770	0.204	1,432,969.579062
1.112172	0.2041	1,368,513.057604
1.115573	0.2041	1,321,508.229696
1.118973	0.204	1,370,559.565730
1.122375	0.2041	1,390,937.828725
1.125777	0.2041	1,390,360.672058
1.129177	0.204	1,384,174.212370
1.132578	0.2041	1,366,512.056722
1.135980	0.2041	1,371,576.425005
1.139380	0.204	1,381,125.163525
1.142782	0.2041	1,385,477.107911
1.146183	0.2041	1,441,452.194630
1.149583	0.204	1,408,066.368138
1.152985	0.2041	1,357,221.721613
1.156387	0.2041	1,409,533.363741
1.159787	0.204	1,371,689.739920
1.163188	0.2041	1,356,731.443941
1.166590	0.2041	1,456,633.684326
1.169990	0.204	1,457,554.620065
1.173392	0.2041	1,331,731.479594
1.176793	0.2041	1,367,946.982344
1.180193	0.204	1,474,318.770741
1.183595	0.2041	1,439,072.319913
1.186997	0.2041	1,415,173.558874
1.190397	0.204	1,370,404.829204
1.193798	0.2041	1,327,600.390962
1.197200	0.2041	1,332,342.115008
1.200600	0.204	1,384,952.172490
1.204002	0.2041	1,420,758.605227
1.207403	0.2041	1,311,776.746498
1.210803	0.204	1,317,679.505541
1.214205	0.2041	1,404,533.908355
1.217607	0.2041	1,419,582.660220
1.221007	0.204	1,410,763.879068
1.224408	0.2041	1,398,818.925196
1.227810	0.2041	1,344,753.825184
1.231210	0.204	1,348,763.021281
1.234612	0.2041	1,397,501.553604
1.238013	0.2041	1,388,485.104956
