File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/891.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_site_21
Injection Number	37
Position	40
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	9/3/2021
Injection Time	1:09:06 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.037847
Time Max. (min)	34.997902
Data Points	10280
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	3,856.551758
Signal Max.	104,617,088.000000
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.037847	n.a.	13,730.146484
0.041248	0.2041	10,048.821289
0.044650	0.2041	10,413.704102
0.048050	0.204	18,472.937500
0.051452	0.2041	22,276.328125
0.054853	0.2041	18,395.490234
0.058253	0.204	9,877.183594
0.061655	0.2041	8,615.118164
0.065057	0.2041	13,358.583008
0.068457	0.204	18,452.898438
0.071858	0.2041	19,249.294922
0.075260	0.2041	12,018.826172
0.078660	0.204	10,952.942383
0.082062	0.2041	11,077.823242
0.085463	0.2041	12,998.198242
0.088863	0.204	15,594.334961
0.092265	0.2041	16,798.738281
0.095667	0.2041	18,976.539063
0.099067	0.204	18,274.488281
0.102468	0.2041	12,709.600586
0.105870	0.2041	17,395.986328
0.109270	0.204	22,054.279297
0.112672	0.2041	15,365.286133
0.116073	0.2041	21,414.316406
0.119473	0.204	20,988.201172
0.122875	0.2041	10,207.416016
0.126277	0.2041	11,039.871094
0.129677	0.204	12,342.481445
0.133078	0.2041	13,213.961914
0.136480	0.2041	16,642.960938
0.139880	0.204	11,033.185547
0.143282	0.2041	15,533.851563
0.146683	0.2041	21,651.447266
0.150083	0.204	19,645.492188
0.153485	0.2041	15,185.617188
0.156887	0.2041	10,808.794922
0.160287	0.204	14,970.175781
0.163688	0.2041	19,845.193359
0.167090	0.2041	16,284.292969
0.170490	0.204	15,509.716797
0.173892	0.2041	19,847.619141
0.177293	0.2041	20,386.857422
0.180693	0.204	15,712.524414
0.184095	0.2041	13,334.487305
0.187497	0.2041	15,906.304688
0.190897	0.204	19,659.312500
0.194298	0.2041	23,240.277344
0.197700	0.2041	17,838.730469
0.201100	0.204	7,465.167969
0.204502	0.2041	13,999.785156
0.207903	0.2041	15,492.970703
0.211303	0.204	15,386.818359
0.214705	0.2041	27,145.288086
0.218107	0.2041	26,376.703125
0.221507	0.204	21,116.250000
0.224908	0.2041	17,319.458984
0.228310	0.2041	7,964.431152
0.231710	0.204	8,747.390625
0.235112	0.2041	9,601.217773
0.238513	0.2041	12,389.456055
0.241913	0.204	20,651.617188
0.245315	0.2041	17,519.232422
0.248717	0.2041	14,179.573242
0.252118	0.2041	16,252.694336
0.255518	0.204	15,532.113281
0.258920	0.2041	16,119.804688
0.262322	0.2041	20,880.865234
0.265722	0.204	17,397.748047
0.269123	0.2041	16,258.133789
0.272525	0.2041	12,723.038086
0.275925	0.204	10,699.724609
0.279327	0.2041	16,693.693359
0.282728	0.2041	10,816.691406
0.286128	0.204	18,463.740234
0.289530	0.2041	22,125.470703
0.292932	0.2041	17,134.937500
0.296332	0.204	16,821.876770
0.299733	0.2041	14,488.280273
0.303135	0.2041	20,654.183594
0.306535	0.204	20,634.935547
0.309937	0.2041	15,413.479492
0.313338	0.2041	22,036.687500
0.316738	0.204	23,759.431641
0.320140	0.2041	21,535.701172
0.323542	0.2041	15,135.475586
0.326942	0.204	10,508.619141
0.330343	0.2041	13,862.948242
0.333745	0.2041	17,370.314453
