File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/395.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_site_1-4
Injection Number	15
Position	14
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/1/2021
Injection Time	5:54:56 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033990
Time Max. (min)	37.997230
Data Points	11163
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	16,156,909.000000
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033990	n.a.	16,249.485352
0.037392	0.2041	10,815.533203
0.040792	0.204	20,069.072266
0.044193	0.2041	19,318.646484
0.047595	0.2041	11,034.473633
0.050995	0.204	15,334.915039
0.054397	0.2041	14,840.456055
0.057798	0.2041	15,139.277344
0.061198	0.204	15,353.097656
0.064600	0.2041	12,477.812500
0.068002	0.2041	14,567.283203
0.071402	0.204	11,167.214844
0.074803	0.2041	12,537.916016
0.078205	0.2041	17,979.747803
0.081607	0.2041	17,273.533203
0.085007	0.204	12,109.796875
0.088408	0.2041	7,146.214844
0.091810	0.2041	7,085.581543
0.095210	0.204	9,098.816406
0.098612	0.2041	14,980.593750
0.102013	0.2041	21,473.498047
0.105413	0.204	16,861.314453
0.108815	0.2041	5,406.549805
0.112217	0.2041	6,681.845703
0.115617	0.204	14,047.513672
0.119018	0.2041	11,689.276367
0.122420	0.2041	11,828.298828
0.125820	0.204	19,702.841797
0.129222	0.2041	25,066.224609
0.132623	0.2041	26,155.296875
0.136023	0.204	11,683.399414
0.139425	0.2041	4,589.288086
0.142827	0.2041	10,932.884766
0.146227	0.204	3,337.717285
0.149628	0.2041	13,161.741211
0.153030	0.2041	21,300.593750
0.156430	0.204	20,723.824219
0.159832	0.2041	11,511.906738
0.163233	0.2041	10,028.004883
0.166633	0.204	13,094.952148
