File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/767.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_site_2-1
Injection Number	9
Position	8
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/1/2021
Injection Time	1:44:06 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034045
Time Max. (min)	37.993883
Data Points	11162
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,164,069.321620
Signal Max.	2,748,282,571.218140
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034045	n.a.	4,275,029.235686
0.037447	0.2041	4,450,875.410488
0.040847	0.204	4,480,173.723887
0.044248	0.2041	4,140,043.923589
0.047650	0.2041	4,161,652.281175
0.051050	0.204	4,196,846.545023
0.054452	0.2041	4,078,118.775191
0.057853	0.2041	4,064,289.851872
0.061253	0.204	4,042,904.549612
0.064655	0.2041	4,048,797.727167
0.068057	0.2041	4,049,010.551015
0.071457	0.204	3,972,881.447225
0.074858	0.2041	3,832,100.738233
0.078260	0.2041	3,647,312.523008
0.081660	0.204	3,706,234.411156
0.085062	0.2041	3,883,979.152486
0.088463	0.2041	3,746,840.382259
0.091863	0.204	3,714,928.578429
0.095265	0.2041	3,808,373.446666
0.098667	0.2041	3,725,451.912717
0.102067	0.204	3,811,942.456894
0.105468	0.2041	3,901,731.744830
0.108870	0.2041	3,833,726.902464
0.112270	0.204	3,755,320.816744
0.115672	0.2041	3,710,639.638924
0.119073	0.2041	3,724,663.330795
0.122475	0.2041	3,582,438.228297
0.125875	0.204	3,493,972.504404
0.129277	0.2041	3,701,838.867958
0.132678	0.2041	3,821,633.376972
0.136078	0.204	3,638,831.538577
0.139480	0.2041	3,465,797.617786
0.142882	0.2041	3,506,952.471303
0.146282	0.204	3,614,010.387607
0.149683	0.2041	3,634,861.080761
0.153085	0.2041	3,559,489.957780
0.156485	0.204	3,597,389.848340
0.159887	0.2041	3,641,019.654368
0.163288	0.2041	3,507,369.856380
0.166688	0.204	3,392,963.979612
0.170090	0.2041	3,407,973.523579
0.173492	0.2041	3,403,821.872622
0.176892	0.204	3,402,446.664409
0.180293	0.2041	3,437,480.401886
0.183695	0.2041	3,307,636.824012
0.187095	0.204	3,317,705.424658
0.190497	0.2041	3,343,367.118700
0.193898	0.2041	3,257,690.849094
0.197298	0.204	3,379,897.851767
0.200700	0.2041	3,481,944.065307
0.204102	0.2041	3,473,318.476030
0.207502	0.204	3,519,418.022123
0.210903	0.2041	3,437,317.831559
0.214305	0.2041	3,408,352.731888
0.217705	0.204	3,460,714.238489
0.221107	0.2041	3,372,145.385487
0.224508	0.2041	3,325,012.857707
0.227908	0.204	3,265,225.196441
0.231310	0.2041	3,348,642.036825
0.234712	0.2041	3,502,311.462366
0.238112	0.204	3,461,853.869708
0.241513	0.2041	3,361,760.762837
0.244915	0.2041	3,289,726.246093
0.248315	0.204	3,273,745.640489
0.251717	0.2041	3,244,189.493216
0.255118	0.2041	3,293,590.786109
0.258518	0.204	3,260,577.131628
0.261920	0.2041	3,025,542.682890
0.265322	0.2041	3,148,562.952853
0.268722	0.204	3,260,851.369037
0.272123	0.2041	3,157,289.548947
0.275525	0.2041	3,328,469.450200
0.278925	0.204	3,313,924.397972
0.282327	0.2041	3,190,130.440480
0.285728	0.2041	3,279,362.400153
0.289128	0.204	3,317,563.928937
0.292530	0.2041	3,307,614.368321
0.295932	0.2041	3,290,229.729666
0.299332	0.204	3,174,938.499634
0.302733	0.2041	3,179,757.950746
0.306135	0.2041	3,288,638.074197
0.309535	0.204	3,357,514.685641
0.312937	0.2041	3,292,966.402707
0.316338	0.2041	3,161,671.151220
0.319738	0.204	3,231,812.876633
0.323140	0.2041	3,218,027.397098
0.326542	0.2041	3,131,382.873636
0.329942	0.204	3,173,697.000107
0.333343	0.2041	3,109,200.626751
0.336745	0.2041	3,108,186.658908
0.340145	0.204	3,119,289.167489
0.343547	0.2041	3,081,287.772676
0.346948	0.2041	3,207,031.069297
0.350348	0.204	3,200,629.125480
0.353750	0.2041	3,146,740.038970
0.357152	0.2041	3,170,895.724781
0.360552	0.204	3,249,951.891245
0.363953	0.2041	3,330,015.810034
0.367355	0.2041	3,281,698.386683
0.370755	0.204	3,136,292.768235
0.374157	0.2041	2,888,316.105420
0.377558	0.2041	2,874,078.901584
0.380958	0.204	3,053,089.980797
0.384360	0.2041	3,010,383.927412
0.387762	0.2041	3,024,471.882330
0.391162	0.204	3,110,516.293120
0.394563	0.2041	3,107,628.813664
0.397965	0.2041	3,137,741.710648
0.401365	0.204	3,184,508.939455
0.404767	0.2041	3,146,318.015329
0.408168	0.2041	3,033,047.752635
0.411568	0.204	2,983,233.998197
0.414970	0.2041	3,036,985.088948
0.418372	0.2041	2,970,190.844315
0.421772	0.204	2,965,162.039209
0.425173	0.2041	3,104,948.540118
0.428575	0.2041	3,215,224.802787
0.431975	0.204	3,263,222.430640
0.435377	0.2041	3,073,456.382477
0.438778	0.2041	3,064,572.409629
0.442178	0.204	3,134,754.893690
0.445580	0.2041	2,994,649.113203
0.448982	0.2041	3,090,609.039055
0.452382	0.204	3,029,357.190246
0.455783	0.2041	2,823,857.736874
0.459185	0.2041	2,850,126.564002
0.462585	0.204	2,973,115.551495
0.465987	0.2041	2,965,179.234186
0.469388	0.2041	2,835,187.957912
0.472788	0.204	2,921,128.195171
0.476190	0.2041	3,084,708.539282
0.479592	0.2041	2,952,043.764907
0.482992	0.204	2,996,225.770793
0.486393	0.2041	3,117,345.363552
0.489795	0.2041	2,939,629.959583
0.493195	0.204	2,909,769.872529
0.496597	0.2041	3,031,089.361200
0.499998	0.2041	3,086,173.401658
0.503398	0.204	2,982,336.050866
0.506800	0.2041	2,996,958.471264
0.510202	0.2041	3,132,278.692121
0.513602	0.204	3,077,917.595194
0.517003	0.2041	2,981,474.636970
0.520405	0.2041	2,934,389.505174
0.523805	0.204	2,953,791.588120
0.527207	0.2041	2,948,992.005667
0.530608	0.2041	2,874,722.081468
0.534008	0.204	2,906,734.892842
0.537410	0.2041	2,926,200.101918
0.540812	0.2041	2,934,221.795198
0.544212	0.204	2,921,382.160777
