File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/544.smp/MS_[93.00%2C 500 MMU]].channel/MS_[93.00%2C 500 MMU]].chm
Channel	MS_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_site_2-2
Injection Number	10
Position	9
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/1/2021
Injection Time	2:25:22 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034158
Time Max. (min)	38.000773
Data Points	11164
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	53,386,432.000000
Channel	MS_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406673

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034158	n.a.	18,472.298828
0.037560	0.2041	26,246.417969
0.040962	0.2041	23,562.373047
0.044362	0.204	23,956.900391
0.047763	0.2041	31,609.615234
0.051165	0.2041	11,182.761719
0.054565	0.204	21,429.539063
0.057967	0.2041	37,748.164063
0.061368	0.2041	25,414.654297
0.064768	0.204	34,449.351563
0.068170	0.2041	42,360.171875
0.071572	0.2041	31,782.814453
0.074972	0.204	18,560.998047
0.078373	0.2041	13,188.138672
0.081775	0.2041	20,647.171875
0.085175	0.204	26,019.417969
0.088577	0.2041	29,682.095703
0.091978	0.2041	15,411.082031
0.095378	0.204	16,766.703125
0.098780	0.2041	41,735.535156
0.102182	0.2041	40,967.718750
0.105582	0.204	27,025.890625
0.108983	0.2041	22,531.603516
0.112385	0.2041	16,141.664063
0.115785	0.204	17,101.962891
0.119187	0.2041	13,617.977539
0.122588	0.2041	5,656.494629
0.125988	0.204	13,835.164124
0.129390	0.2041	22,891.806641
0.132792	0.2041	22,576.498047
0.136192	0.204	10,700.551758
0.139593	0.2041	18,106.914063
0.142995	0.2041	25,933.818359
0.146395	0.204	12,790.266602
0.149797	0.2041	11,975.508789
0.153198	0.2041	12,824.112305
0.156598	0.204	17,147.060547
0.160000	0.2041	18,194.246094
0.163402	0.2041	28,055.335938
0.166802	0.204	31,401.875000
0.170203	0.2041	12,337.487305
0.173605	0.2041	12,679.155518
0.177005	0.204	22,717.009766
0.180407	0.2041	25,881.916016
0.183808	0.2041	13,685.503906
0.187208	0.204	9,520.416016
0.190610	0.2041	16,688.585938
0.194012	0.2041	30,290.318359
0.197412	0.204	27,522.210938
0.200813	0.2041	11,121.341797
0.204215	0.2041	14,694.090820
0.207615	0.204	21,544.441406
0.211017	0.2041	14,365.068359
0.214418	0.2041	20,515.308594
0.217818	0.204	36,347.609375
0.221220	0.2041	26,214.261719
0.224622	0.2041	13,699.294922
0.228022	0.204	17,640.148438
0.231423	0.2041	14,547.897461
0.234825	0.2041	14,144.992188
0.238225	0.204	10,509.068359
0.241627	0.2041	16,520.972656
0.245028	0.2041	32,801.097656
0.248428	0.204	28,712.800781
0.251830	0.2041	16,818.027344
