File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/611.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_site_3-1
Injection Number	6
Position	5
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/1/2021
Injection Time	11:40:04 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.035287
Time Max. (min)	38.005327
Data Points	11165
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,484,886.093168
Signal Max.	3,990,971,970.192770
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.035287	n.a.	3,681,557.717302
0.038688	0.2041	3,736,045.786044
0.042088	0.204	3,899,335.298579
0.045490	0.2041	3,906,400.059977
0.048892	0.2041	3,929,648.114690
0.052292	0.204	3,909,091.478167
0.055693	0.2041	3,710,540.204666
0.059095	0.2041	3,706,912.641672
0.062495	0.204	3,726,016.469368
0.065897	0.2041	3,611,982.899456
0.069298	0.2041	3,672,732.941369
0.072698	0.204	3,722,235.750200
0.076100	0.2041	3,781,131.348997
0.079502	0.2041	3,622,486.463650
0.082902	0.204	3,434,211.952886
0.086303	0.2041	3,601,275.889329
0.089705	0.2041	3,571,684.404116
0.093105	0.204	3,454,436.076638
0.096507	0.2041	3,443,948.032016
0.099908	0.2041	3,628,536.395549
0.103308	0.204	3,558,882.575086
0.106710	0.2041	3,223,681.506356
0.110112	0.2041	3,416,144.477894
0.113512	0.204	3,477,694.447695
0.116913	0.2041	3,334,257.120563
0.120315	0.2041	3,418,012.867988
0.123715	0.204	3,461,206.160768
0.127117	0.2041	3,434,451.878830
0.130518	0.2041	3,502,818.732447
0.133918	0.204	3,489,759.986750
0.137320	0.2041	3,458,836.556171
0.140722	0.2041	3,350,951.802354
0.144122	0.204	3,212,510.256032
0.147523	0.2041	3,163,144.430981
0.150925	0.2041	3,176,420.294684
0.154325	0.204	3,285,365.136761
0.157727	0.2041	3,190,320.135286
0.161128	0.2041	3,032,238.421499
0.164528	0.204	3,081,072.449621
0.167930	0.2041	3,119,738.602164
0.171332	0.2041	3,119,304.544974
0.174732	0.204	3,246,410.799944
0.178133	0.2041	3,331,856.862568
0.181535	0.2041	3,304,698.141589
0.184935	0.204	3,142,974.375397
0.188337	0.2041	3,021,944.775687
0.191738	0.2041	3,082,510.056794
0.195138	0.204	3,150,786.971167
0.198540	0.2041	3,089,881.745151
0.201942	0.2041	3,093,191.306973
0.205342	0.204	3,085,537.719826
0.208743	0.2041	3,089,980.333233
0.212145	0.2041	3,048,299.751114
0.215545	0.204	2,919,898.543311
0.218947	0.2041	2,995,501.000802
0.222348	0.2041	3,019,301.061137
0.225748	0.204	3,002,237.628831
0.229150	0.2041	3,078,938.047779
0.232552	0.2041	3,012,646.133188
0.235952	0.204	3,022,933.762836
0.239353	0.2041	2,967,823.602517
0.242755	0.2041	2,774,026.881310
0.246155	0.204	2,822,963.135839
0.249557	0.2041	2,879,983.113517
0.252958	0.2041	2,833,933.353843
0.256358	0.204	2,825,838.981765
0.259760	0.2041	2,938,574.236763
0.263162	0.2041	2,888,318.877277
0.266562	0.204	2,760,747.233891
0.269963	0.2041	2,878,004.527626
0.273365	0.2041	2,929,633.868329
0.276765	0.204	2,899,507.733808
0.280167	0.2041	2,875,333.721852
0.283568	0.2041	2,903,010.618004
0.286968	0.204	2,798,253.657549
0.290370	0.2041	2,755,109.975254
0.293772	0.2041	2,827,156.203525
0.297172	0.204	2,799,004.968039
0.300573	0.2041	2,780,169.866748
0.303975	0.2041	2,840,678.096253
0.307375	0.204	2,803,332.963893
0.310777	0.2041	2,612,139.853630
0.314178	0.2041	2,578,176.960513
0.317578	0.204	2,667,842.743251
0.320980	0.2041	2,648,657.860058
0.324382	0.2041	2,678,742.974811
0.327782	0.204	2,752,375.650715
0.331183	0.2041	2,804,145.214208
0.334585	0.2041	2,769,620.871146
0.337985	0.204	2,655,796.273926
0.341387	0.2041	2,638,616.841336
0.344788	0.2041	2,678,899.996821
0.348188	0.204	2,750,206.430879
0.351590	0.2041	2,721,752.479261
0.354992	0.2041	2,568,624.766473
0.358392	0.204	2,499,868.549002
0.361793	0.2041	2,515,406.312943
0.365195	0.2041	2,577,988.451531
0.368595	0.204	2,579,012.025098
0.371997	0.2041	2,571,732.278212
0.375398	0.2041	2,612,362.545297
0.378798	0.204	2,636,083.655269
0.382200	0.2041	2,691,796.282833
0.385602	0.2041	2,600,400.889700
0.389002	0.204	2,488,480.912144
0.392403	0.2041	2,667,900.541609
0.395805	0.2041	2,677,461.617837
0.399205	0.204	2,494,948.050449
0.402607	0.2041	2,434,311.502879
0.406008	0.2041	2,404,552.836391
0.409408	0.204	2,464,715.249796
0.412810	0.2041	2,496,301.110996
0.416212	0.2041	2,472,543.912374
