File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/380.smp/MS_F1_[93.00%2C 500 MMU]].channel/MS_F1_[93.00%2C 500 MMU]].chm
Channel	MS_F1_[93.00, 500 MMU]]

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_site_4-1
Injection Number	5
Position	4
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/1/2021
Injection Time	10:59:01 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034270
Time Max. (min)	37.997482
Data Points	11163
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	40,017,856.000000
Channel	MS_F1_[93.00, 500 MMU]]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406672

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034270	n.a.	0.000000
0.037670	0.204	4,652.558594
0.041072	0.2041	5,542.713379
0.044473	0.2041	2,046.295654
0.047873	0.204	3,816.695557
0.051275	0.2041	3,800.093262
0.054677	0.2041	1,715.063232
0.058077	0.204	4,272.017090
0.061478	0.2041	4,830.506836
0.064880	0.2041	29.101700
0.068280	0.204	2,146.614258
0.071682	0.2041	5,883.987793
0.075083	0.2041	3,056.407715
0.078483	0.204	3,065.087646
0.081885	0.2041	1,555.505981
0.085287	0.2041	352.161011
0.088687	0.204	2,478.674316
0.092088	0.2041	4,363.858398
0.095490	0.2041	1,450.781860
0.098890	0.204	274.287384
0.102292	0.2041	300.896374
0.105693	0.2041	3,144.570068
0.109093	0.204	4,833.236184
0.112495	0.2041	1,209.806824
0.115897	0.2041	328.837158
0.119297	0.204	0.000000
0.122698	0.2041	3,148.786545
0.126100	0.2041	6,784.245117
0.129500	0.204	5,619.192383
0.132902	0.2041	2,858.777781
0.136303	0.2041	0.000000
0.139703	0.204	1,197.542358
0.143105	0.2041	3,053.654785
0.146507	0.2041	4,148.515625
0.149907	0.204	7,379.588867
0.153308	0.2041	7,750.240723
0.156710	0.2041	2,407.896240
0.160110	0.204	0.000000
0.163512	0.2041	1,290.318359
0.166913	0.2041	3,136.304688
0.170313	0.204	4,600.820801
0.173715	0.2041	1,707.742432
0.177117	0.2041	5.727681
0.180517	0.204	1,326.652039
0.183918	0.2041	4,237.115845
0.187320	0.2041	3,674.002197
0.190720	0.204	1,768.283325
0.194122	0.2041	379.395233
0.197523	0.2041	3,338.744873
0.200923	0.204	4,658.937012
0.204325	0.2041	4,070.484863
0.207727	0.2041	7,623.079590
0.211127	0.204	6,608.172852
0.214528	0.2041	3,220.363281
0.217930	0.2041	2,306.345459
0.221330	0.204	2,391.374268
0.224732	0.2041	6,899.067383
0.228133	0.2041	8,207.331055
0.231533	0.204	5,565.284180
0.234935	0.2041	5,747.604980
0.238337	0.2041	7,072.264648
0.241737	0.204	1,025.621582
0.245138	0.2041	1,538.117432
0.248540	0.2041	2,750.328613
0.251940	0.204	1,278.104736
0.255342	0.2041	3,408.368408
0.258743	0.2041	8,801.601563
0.262143	0.204	7,525.109375
0.265545	0.2041	1,024.471558
0.268947	0.2041	1,263.809448
0.272347	0.204	8,414.924805
0.275748	0.2041	8,838.724609
0.279150	0.2041	2,218.238770
0.282550	0.204	1,435.599243
0.285952	0.2041	2,654.666260
0.289353	0.2041	3,064.194336
0.292753	0.204	2,590.871338
0.296155	0.2041	2,527.291992
0.299557	0.2041	6,979.979492
0.302957	0.204	3,613.658203
0.306358	0.2041	3,377.785645
0.309760	0.2041	3,096.976807
0.313160	0.204	2,089.979492
0.316562	0.2041	3,412.835571
0.319963	0.2041	4,411.901855
0.323363	0.204	6,513.488770
0.326765	0.2041	7,041.531250
0.330167	0.2041	3,715.817871
0.333567	0.204	11,795.034180
0.336968	0.2041	11,722.692627
0.340370	0.2041	691.863953
0.343770	0.204	153.673752
0.347172	0.2041	533.274536
0.350573	0.2041	2,689.409912
0.353973	0.204	3,413.390381
0.357375	0.2041	0.000000
0.360777	0.2041	630.286316
0.364177	0.204	3,000.831543
0.367578	0.2041	4,550.128906
0.370980	0.2041	6,442.267090
0.374380	0.204	8,532.234497
0.377782	0.2041	2,688.281982
0.381183	0.2041	1,107.133423
0.384583	0.204	2,328.209229
0.387985	0.2041	357.567261
0.391387	0.2041	11.743851
0.394787	0.204	1,967.505737
0.398188	0.2041	3,483.134766
0.401590	0.2041	2,127.802490
0.404990	0.204	0.000000
0.408392	0.2041	380.518982
0.411793	0.2041	410.975922
0.415193	0.204	1,577.217529
0.418595	0.2041	0.000000
0.421997	0.2041	2,302.598389
0.425397	0.204	2,750.870361
0.428798	0.2041	1,582.927856
0.432200	0.2041	3,118.648193
0.435600	0.204	4,267.438965
0.439002	0.2041	2,499.912109
0.442403	0.2041	1,372.226929
0.445803	0.204	2,197.611328
0.449205	0.2041	2,617.657715
0.452607	0.2041	4,606.799805
0.456007	0.204	3,945.949219
0.459408	0.2041	378.027008
0.462810	0.2041	3,456.721191
0.466210	0.204	6,494.661133
0.469612	0.2041	4,138.214355
0.473013	0.2041	3,839.021484
0.476413	0.204	3,957.929688
0.479815	0.2041	2,709.090332
0.483217	0.2041	4,431.433105
0.486617	0.204	3,223.810547
0.490018	0.2041	5,169.061035
0.493420	0.2041	5,644.201660
0.496820	0.204	383.834564
0.500222	0.2041	1,842.558350
0.503623	0.2041	3,382.106201
0.507023	0.204	1,695.612793
0.510425	0.2041	2,801.168213
0.513827	0.2041	2,020.269897
0.517227	0.204	1,412.302002
0.520628	0.2041	2,758.381348
0.524030	0.2041	7,635.430664
0.527430	0.204	6,467.817352
0.530832	0.2041	616.601868
0.534233	0.2041	3,409.851563
0.537633	0.204	4,104.929199
0.541035	0.2041	47.183662
0.544437	0.2041	4,131.083252
0.547837	0.204	5,701.884521
0.551238	0.2041	1,302.521729
0.554640	0.2041	2,011.099731
0.558040	0.204	248.606689
0.561442	0.2041	4,122.890625
0.564843	0.2041	7,171.989746
0.568243	0.204	990.701172
0.571645	0.2041	1,057.437134
0.575047	0.2041	5,080.445801
0.578447	0.204	7,870.898926
0.581848	0.2041	4,738.759766
0.585250	0.2041	3,114.339073
0.588650	0.204	6,625.020508
0.592052	0.2041	3,108.639893
0.595453	0.2041	5,243.396973
0.598853	0.204	9,725.057129
0.602255	0.2041	6,242.459229
0.605657	0.2041	2,807.911865
0.609057	0.204	7,500.974121
0.612458	0.2041	4,806.967285
0.615860	0.2041	8.329768
0.619260	0.204	8,975.740234
0.622662	0.2041	12,278.384766
0.626063	0.2041	6,587.671387
0.629463	0.204	3,892.513672
0.632865	0.2041	3,128.709229
0.636267	0.2041	7,832.640625
0.639667	0.204	12,518.492188
0.643068	0.2041	3,856.823486
0.646470	0.2041	2,445.849609
0.649870	0.204	1,518.381958
0.653272	0.2041	5,077.107910
0.656673	0.2041	10,635.238281
0.660073	0.204	7,930.134766
0.663475	0.2041	1,976.421997
0.666877	0.2041	417.475800
0.670277	0.204	2,702.735596
0.673678	0.2041	4,024.261719
0.677080	0.2041	1,237.748779
0.680480	0.204	937.911133
0.683882	0.2041	2,445.735733
0.687283	0.2041	1,703.161865
0.690683	0.204	1,888.193191
0.694085	0.2041	459.651306
0.697487	0.2041	1,412.687286
0.700887	0.204	3,385.057129
0.704288	0.2041	6,009.614746
0.707690	0.2041	5,152.546387
0.711090	0.204	5,151.403320
0.714492	0.2041	11,042.487061
0.717893	0.2041	5,738.308105
0.721293	0.204	0.000000
0.724695	0.2041	3,458.823486
0.728097	0.2041	6,777.170410
0.731497	0.204	5,307.939941
0.734898	0.2041	3,593.778809
0.738300	0.2041	2,234.545166
0.741700	0.204	4,022.703125
0.745102	0.2041	4,980.775391
0.748503	0.2041	3,676.412354
0.751903	0.204	2,865.490479
0.755305	0.2041	3,234.052002
0.758707	0.2041	3,244.674316
0.762107	0.204	4,348.857910
0.765508	0.2041	1,304.104370
0.768910	0.2041	228.291946
0.772310	0.204	1,265.926392
0.775712	0.2041	1,089.310104
0.779113	0.2041	2,547.172852
0.782513	0.204	778.828003
0.785915	0.2041	4,192.268555
0.789317	0.2041	4,190.878906
0.792717	0.204	2,168.614258
0.796118	0.2041	2,987.647949
0.799520	0.2041	4,337.311035
0.802920	0.204	7,063.998047
0.806322	0.2041	2,998.867920
0.809723	0.2041	811.715576
0.813123	0.204	830.471130
0.816525	0.2041	565.436890
0.819927	0.2041	984.992676
0.823327	0.204	0.000000
0.826728	0.2041	249.070496
0.830130	0.2041	7,435.225586
0.833530	0.204	10,645.126953
0.836932	0.2041	11,389.113281
0.840333	0.2041	6,520.087891
0.843733	0.204	3,335.312256
0.847135	0.2041	3,557.988281
0.850537	0.2041	797.854858
0.853937	0.204	2,813.450684
0.857338	0.2041	3,688.371338
0.860740	0.2041	1,339.171875
0.864140	0.204	4,779.305176
0.867542	0.2041	4,502.030273
0.870943	0.2041	790.581055
0.874343	0.204	143.349655
0.877745	0.2041	1,770.064941
0.881147	0.2041	3,738.228027
0.884547	0.204	3,177.329834
0.887948	0.2041	74.921787
0.891350	0.2041	875.260193
0.894750	0.204	1,227.559058
0.898152	0.2041	2,763.103027
0.901553	0.2041	3,128.068359
0.904953	0.204	1,482.181641
0.908355	0.2041	1,605.593994
0.911757	0.2041	7,482.426422
0.915157	0.204	3,280.890625
0.918558	0.2041	7,345.873535
0.921960	0.2041	8,968.257813
0.925360	0.204	4,621.440918
0.928762	0.2041	714.264160
0.932163	0.2041	781.701294
0.935563	0.204	323.995930
0.938965	0.2041	3,061.390137
0.942367	0.2041	10,140.737305
0.945767	0.204	8,269.970825
0.949168	0.2041	1,960.089233
0.952570	0.2041	1,894.985352
0.955970	0.204	5,064.645020
0.959372	0.2041	6,124.089355
0.962773	0.2041	2,564.809814
0.966173	0.204	5,266.781982
0.969575	0.2041	6,617.461914
0.972977	0.2041	3,053.045898
0.976377	0.204	515.587524
0.979778	0.2041	874.877747
0.983180	0.2041	1,818.071655
0.986580	0.204	2,176.260742
0.989982	0.2041	4,476.531738
0.993383	0.2041	0.000000
0.996783	0.204	4,217.630371
1.000185	0.2041	7,646.116211
1.003587	0.2041	6,956.961426
1.006987	0.204	3,858.789551
1.010388	0.2041	1,513.473145
1.013790	0.2041	2,704.751465
1.017190	0.204	1,332.035278
1.020592	0.2041	37.986385
1.023993	0.2041	600.127808
1.027393	0.204	4,073.212402
1.030795	0.2041	4,098.033691
1.034197	0.2041	323.141937
1.037597	0.204	0.207330
1.040998	0.2041	455.569977
1.044400	0.2041	0.000000
1.047800	0.204	3,491.513916
1.051202	0.2041	4,899.226563
1.054603	0.2041	2,207.479999
1.058003	0.204	1,217.343018
1.061405	0.2041	1,683.108643
1.064807	0.2041	3,378.611328
1.068208	0.2041	0.000000
1.071608	0.204	3,299.073975
1.075010	0.2041	4,454.026367
1.078412	0.2041	0.000000
1.081812	0.204	0.000000
1.085213	0.2041	593.947632
1.088615	0.2041	1,724.358398
1.092015	0.204	5,976.053711
1.095417	0.2041	8,074.436035
1.098817	0.204	5,999.380859
1.102218	0.2041	3,985.986084
1.105620	0.2041	1,210.601440
1.109020	0.204	1,377.837259
1.112422	0.2041	3,631.651367
1.115823	0.2041	5,355.057617
1.119225	0.2041	2,433.534668
1.122625	0.204	1,332.395508
1.126027	0.2041	2,204.107666
1.129428	0.2041	3,044.415527
1.132828	0.204	3,804.097900
1.136230	0.2041	2,149.256104
1.139632	0.2041	4,445.075195
1.143032	0.204	6,228.066406
1.146433	0.2041	5,629.154297
1.149835	0.2041	4,425.995117
1.153235	0.204	3,660.539795
1.156637	0.2041	1,935.139526
1.160038	0.2041	1,152.560791
