File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/380.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_site_4-1
Injection Number	5
Position	4
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/1/2021
Injection Time	10:59:01 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034270
Time Max. (min)	37.997482
Data Points	11163
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	418,885.489735
Signal Max.	3,426,437,237.503350
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406672

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034270	n.a.	446,604.616676
0.037670	0.204	432,153.276363
0.041072	0.2041	482,404.331805
0.044473	0.2041	509,857.034961
0.047873	0.204	515,374.812788
0.051275	0.2041	557,463.928307
0.054677	0.2041	530,115.565226
0.058077	0.204	461,754.505190
0.061478	0.2041	544,457.973349
0.064880	0.2041	567,711.738960
0.068280	0.204	447,072.901765
0.071682	0.2041	454,930.944860
0.075083	0.2041	511,885.964116
0.078483	0.204	516,772.266335
0.081885	0.2041	533,911.646323
0.085287	0.2041	512,708.522607
0.088687	0.204	527,139.312588
0.092088	0.2041	532,446.159571
0.095490	0.2041	467,728.654066
0.098890	0.204	454,613.676940
0.102292	0.2041	472,533.550653
0.105693	0.2041	504,074.718952
0.109093	0.204	532,076.346598
0.112495	0.2041	496,018.118807
0.115897	0.2041	499,914.221506
0.119297	0.204	506,441.104541
0.122698	0.2041	476,758.821503
0.126100	0.2041	455,556.205587
0.129500	0.204	461,198.690446
0.132902	0.2041	496,077.249312
0.136303	0.2041	473,807.594269
0.139703	0.204	442,834.149424
0.143105	0.2041	466,108.808486
0.146507	0.2041	499,640.801791
0.149907	0.204	482,759.037656
0.153308	0.2041	505,960.772852
0.156710	0.2041	507,398.293764
0.160110	0.204	480,551.385862
0.163512	0.2041	471,177.649186
0.166913	0.2041	476,487.186201
0.170313	0.204	540,704.167559
0.173715	0.2041	519,387.179832
0.177117	0.2041	498,506.785298
0.180517	0.204	517,028.420878
0.183918	0.2041	482,358.840285
