File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/853.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_bag_1ul_nonyl_acetate
Injection Number	3
Position	2
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	5/26/2021
Injection Time	11:51:48 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033915
Time Max. (min)	37.993753
Data Points	11162
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,100,984.304556
Signal Max.	6,787,425,860.421230
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033915	n.a.	1,635,907.914028
0.037317	0.2041	1,608,713.726932
0.040718	0.2041	1,630,605.416392
0.044118	0.204	1,684,118.351438
0.047520	0.2041	1,672,356.676656
0.050922	0.2041	1,556,327.859530
0.054322	0.204	1,536,471.994428
0.057723	0.2041	1,553,931.456442
0.061125	0.2041	1,542,917.278744
0.064527	0.2041	1,588,241.030803
0.067927	0.204	1,550,999.881055
0.071328	0.2041	1,483,449.020859
0.074730	0.2041	1,502,950.610113
0.078130	0.204	1,475,815.813091
0.081532	0.2041	1,494,092.237363
0.084933	0.2041	1,528,694.568986
0.088333	0.204	1,496,184.388941
0.091735	0.2041	1,460,151.794812
0.095137	0.2041	1,452,428.715596
0.098537	0.204	1,470,349.217267
0.101938	0.2041	1,439,874.394001
0.105340	0.2041	1,410,459.313961
0.108740	0.204	1,453,387.801484
0.112142	0.2041	1,492,634.104676
0.115543	0.2041	1,471,778.304139
0.118943	0.204	1,512,096.640900
0.122345	0.2041	1,506,262.706797
0.125747	0.2041	1,409,599.781531
0.129147	0.204	1,363,985.515514
0.132548	0.2041	1,375,130.582901
0.135950	0.2041	1,424,392.421991
0.139350	0.204	1,422,989.948079
0.142752	0.2041	1,411,081.561931
0.146153	0.2041	1,408,759.455201
0.149553	0.204	1,459,876.669714
0.152955	0.2041	1,452,973.945484
0.156357	0.2041	1,424,909.786169
0.159757	0.204	1,472,566.308210
0.163158	0.2041	1,455,700.293817
0.166560	0.2041	1,378,518.254697
0.169960	0.204	1,387,352.748640
0.173362	0.2041	1,445,230.313219
0.176763	0.2041	1,431,511.789264
0.180163	0.204	1,388,951.270936
0.183565	0.2041	1,417,089.114421
0.186967	0.2041	1,417,612.015466
0.190367	0.204	1,405,310.247249
0.193768	0.2041	1,401,374.507967
0.197170	0.2041	1,357,175.405002
0.200570	0.204	1,294,199.744279
0.203972	0.2041	1,347,319.397648
