File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/399.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_bag_1ul_nonyl_acetate_field
Injection Number	29
Position	28
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	7/30/2021
Injection Time	1:33:41 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034018
Time Max. (min)	34.990693
Data Points	10279
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	282,676.458480
Signal Max.	4,902,311,914.348380
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034018	n.a.	546,200.495682
0.037420	0.2041	552,147.643005
0.040822	0.2041	570,043.295495
0.044222	0.204	532,479.382795
0.047623	0.2041	519,797.461172
0.051025	0.2041	571,614.605527
0.054425	0.204	600,103.962011
0.057827	0.2041	549,118.838813
0.061228	0.2041	516,518.401409
0.064628	0.204	534,725.373897
0.068030	0.2041	569,005.483785
0.071432	0.2041	610,563.751920
0.074832	0.204	582,848.061859
0.078233	0.2041	533,665.794500
0.081635	0.2041	542,090.728612
0.085035	0.204	540,271.782492
0.088437	0.2041	533,937.730144
0.091838	0.2041	529,983.792238
0.095238	0.204	494,151.440676
0.098640	0.2041	510,147.865761
0.102042	0.2041	532,178.936584
0.105442	0.204	501,300.601385
0.108843	0.2041	471,480.636106
0.112245	0.2041	459,220.394492
0.115645	0.204	494,942.163367
0.119047	0.2041	494,488.220242
0.122448	0.2041	478,703.092738
0.125848	0.204	503,415.504698
0.129250	0.2041	483,935.618509
0.132652	0.2041	482,716.342732
0.136052	0.204	530,322.712532
0.139453	0.2041	525,246.005720
0.142855	0.2041	472,530.420363
0.146255	0.204	467,549.387141
0.149657	0.2041	494,236.287647
0.153058	0.2041	485,183.128690
0.156460	0.2041	474,140.404059
0.159860	0.204	467,528.561862
0.163262	0.2041	500,417.762378
0.166663	0.2041	513,746.770306
0.170063	0.204	462,787.934499
0.173465	0.2041	466,953.049116
0.176867	0.2041	470,318.189897
0.180267	0.204	462,623.874041
0.183668	0.2041	457,752.238639
0.187070	0.2041	450,407.249659
0.190470	0.204	455,520.953567
0.193872	0.2041	446,995.723471
0.197273	0.2041	467,772.597678
0.200673	0.204	480,869.659078
0.204075	0.2041	472,660.233500
0.207477	0.2041	452,862.981319
0.210877	0.204	457,848.694092
0.214278	0.2041	476,398.399002
0.217680	0.2041	463,327.016733
0.221080	0.204	452,698.127836
0.224482	0.2041	485,420.985935
0.227883	0.2041	491,105.570693
0.231283	0.204	430,397.473089
0.234685	0.2041	440,018.712385
0.238087	0.2041	477,911.664342
0.241487	0.204	475,526.654350
0.244888	0.2041	458,296.390287
0.248290	0.2041	451,013.751821
0.251690	0.204	474,173.080195
0.255092	0.2041	459,470.253223
0.258493	0.2041	439,275.351504
0.261893	0.204	429,522.108778
0.265295	0.2041	426,387.580039
0.268697	0.2041	435,831.107687
0.272097	0.204	457,834.036242
0.275498	0.2041	470,483.112527
0.278900	0.2041	454,362.930089
0.282300	0.204	420,575.560937
0.285702	0.2041	421,960.769587
0.289103	0.2041	443,276.028184
0.292503	0.204	453,880.571195
0.295905	0.2041	463,700.484120
0.299307	0.2041	459,876.444098
0.302707	0.204	464,484.494338
0.306108	0.2041	436,540.355447
0.309510	0.2041	406,015.440940
0.312910	0.204	436,529.492943
0.316312	0.2041	431,937.743131
0.319713	0.2041	407,153.744159
0.323113	0.204	431,281.742630
