File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/858.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_fiber_2
Injection Number	27
Position	26
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	7/28/2021
Injection Time	2:21:33 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034070
Time Max. (min)	34.997527
Data Points	10281
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	554,669.752168
Signal Max.	223,628,388.866917
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034070	n.a.	954,381.812355
0.037470	0.204	921,323.124817
0.040872	0.2041	915,079.635665
0.044273	0.2041	944,103.668645
0.047673	0.204	912,737.522955
0.051075	0.2041	917,471.575839
0.054477	0.2041	974,792.935744
0.057877	0.204	923,308.961146
0.061278	0.2041	946,098.667059
0.064680	0.2041	1,003,407.754993
0.068080	0.204	942,452.788337
0.071482	0.2041	914,013.508107
0.074883	0.2041	942,412.075626
0.078285	0.2041	956,822.955397
0.081685	0.204	937,476.442537
0.085087	0.2041	922,972.452385
0.088488	0.2041	919,231.882800
0.091888	0.204	910,360.262419
0.095290	0.2041	905,317.567935
0.098692	0.2041	859,952.361310
0.102092	0.204	844,990.375964
0.105493	0.2041	861,529.316822
0.108895	0.2041	864,663.049582
0.112295	0.204	882,435.981783
0.115697	0.2041	911,509.458438
0.119098	0.2041	891,966.902770
0.122498	0.204	822,911.987223
0.125900	0.2041	783,223.230688
0.129302	0.2041	832,768.344792
0.132702	0.204	811,673.456695
0.136103	0.2041	776,768.109916
0.139505	0.2041	834,519.765551
0.142905	0.204	838,432.643576
0.146307	0.2041	883,144.809765
0.149708	0.2041	874,332.410246
0.153108	0.204	783,719.384137
0.156510	0.2041	809,370.712451
0.159912	0.2041	817,631.174637
0.163312	0.204	807,638.167757
0.166713	0.2041	821,511.246569
0.170115	0.2041	753,976.001550
0.173515	0.204	716,669.733979
0.176917	0.2041	770,064.219911
0.180318	0.2041	778,244.629029
0.183718	0.204	761,607.901108
0.187120	0.2041	772,305.410695
0.190522	0.2041	789,123.091943
0.193922	0.204	829,553.324497
0.197323	0.2041	827,812.470992
0.200725	0.2041	742,444.919483
0.204125	0.204	744,266.877975
0.207527	0.2041	797,971.081366
0.210928	0.2041	795,342.431504
0.214328	0.204	819,785.176887
0.217730	0.2041	805,885.133723
0.221132	0.2041	748,907.607182
0.224532	0.204	775,675.343280
0.227933	0.2041	792,657.227420
0.231335	0.2041	796,688.950165
0.234735	0.204	780,056.254819
0.238137	0.2041	719,702.663809
0.241538	0.2041	731,591.831680
0.244938	0.204	785,382.744428
0.248340	0.2041	807,745.457058
0.251742	0.2041	791,442.099811
0.255142	0.204	747,607.241022
0.258543	0.2041	752,260.059906
0.261945	0.2041	783,868.834193
0.265345	0.204	784,906.196910
0.268747	0.2041	784,628.742494
0.272148	0.2041	787,576.019447
0.275548	0.204	773,221.218545
0.278950	0.2041	720,696.046480
0.282352	0.2041	713,414.652511
0.285752	0.204	742,082.332623
0.289153	0.2041	717,491.566779
0.292555	0.2041	682,625.745109
0.295955	0.204	713,683.680108
0.299357	0.2041	722,373.539504
0.302758	0.2041	674,480.293722
0.306158	0.204	705,738.110998
0.309560	0.2041	694,391.372154
0.312962	0.2041	700,722.177917
0.316362	0.204	758,998.460476
0.319763	0.2041	706,398.964171
0.323165	0.2041	719,510.507051
0.326565	0.204	741,654.083276
0.329967	0.2041	705,255.491751
0.333368	0.2041	705,554.920309
0.336768	0.204	717,965.917079
0.340170	0.2041	709,401.198516
0.343572	0.2041	716,664.754882
0.346972	0.204	726,385.219954
0.350373	0.2041	707,171.371849
0.353775	0.2041	705,780.038367
0.357175	0.204	720,997.598094
0.360577	0.2041	721,700.311063
0.363978	0.2041	693,566.032920
0.367378	0.204	707,470.097168
0.370780	0.2041	744,484.373012
0.374182	0.2041	763,069.323026
