File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/456.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	blank_no_fiber_1
Injection Number	1
Position	0
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Blank
Status	Finished
Injection Date	5/26/2021
Injection Time	7:25:53 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033932
Time Max. (min)	37.990342
Data Points	11161
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	351,681.352606
Signal Max.	8,977,555.464582
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406672

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033932	n.a.	1,869,820.221138
0.037333	0.2041	1,910,019.251575
0.040733	0.204	1,988,662.976004
0.044135	0.2041	1,944,804.636066
0.047537	0.2041	1,885,065.711540
0.050937	0.204	1,859,379.329710
0.054338	0.2041	1,851,808.050532
0.057740	0.2041	1,857,544.023076
0.061140	0.204	1,890,175.795222
0.064542	0.2041	1,948,210.684965
0.067943	0.2041	1,995,078.137341
0.071343	0.204	1,965,714.705682
0.074745	0.2041	1,978,092.661032
0.078147	0.2041	1,958,457.558157
0.081547	0.204	2,029,949.434029
0.084948	0.2041	2,204,907.232246
0.088350	0.2041	2,233,226.823851
0.091750	0.204	2,104,928.747835
0.095152	0.2041	1,837,959.967065
0.098553	0.2041	1,686,938.011041
0.101953	0.204	1,611,366.432950
0.105355	0.2041	1,497,597.539615
0.108757	0.2041	1,417,816.043673
0.112157	0.204	1,428,113.407833
0.115558	0.2041	1,408,457.823405
0.118960	0.2041	1,300,762.929425
0.122360	0.204	1,339,793.557764
0.125762	0.2041	1,355,767.608901
0.129163	0.2041	1,233,674.147687
0.132563	0.204	1,253,740.310908
0.135965	0.2041	1,323,386.479778
0.139367	0.2041	1,349,715.904280
0.142767	0.204	1,329,702.311700
0.146168	0.2041	1,306,981.957659
0.149570	0.2041	1,358,478.052502
0.152970	0.204	1,316,727.375076
0.156372	0.2041	1,318,247.581331
0.159773	0.2041	1,322,063.155435
