File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/342.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_actigard_clean_site_3
Injection Number	31
Position	30
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	7/30/2021
Injection Time	2:50:18 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033900
Time Max. (min)	35.000737
Data Points	10282
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	522,763.074090
Signal Max.	1,371,560,980.875000
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406674

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033900	n.a.	1,087,207.909073
0.037302	0.2041	1,055,436.016087
0.040702	0.204	1,047,053.385322
0.044103	0.2041	1,026,494.923322
0.047505	0.2041	1,032,654.189610
0.050905	0.204	1,032,222.171305
0.054307	0.2041	985,539.910607
0.057708	0.2041	984,529.603424
0.061108	0.204	970,479.264764
0.064510	0.2041	971,142.465337
0.067912	0.2041	992,250.622049
0.071312	0.204	950,401.854836
0.074713	0.2041	945,192.113093
0.078115	0.2041	921,870.169897
0.081515	0.204	939,114.950338
0.084917	0.2041	955,949.216641
0.088318	0.2041	925,390.820607
0.091718	0.204	934,826.853876
0.095120	0.2041	957,131.593254
0.098522	0.2041	990,463.611519
0.101922	0.204	950,984.320447
0.105323	0.2041	872,320.283923
0.108725	0.2041	879,839.929267
0.112125	0.204	926,230.154031
0.115527	0.2041	941,141.400131
0.118928	0.2041	906,124.694776
0.122328	0.204	959,666.621133
0.125730	0.2041	1,001,898.932938
0.129132	0.2041	909,187.264324
0.132532	0.204	889,034.605337
0.135933	0.2041	899,955.869020
0.139335	0.2041	869,402.005022
0.142735	0.204	893,680.044713
0.146137	0.2041	923,377.811474
0.149538	0.2041	893,157.113207
0.152938	0.204	836,243.332608
0.156340	0.2041	876,037.986682
0.159740	0.204	894,978.860048
0.163142	0.2041	875,964.100964
0.166543	0.2041	891,146.613866
0.169945	0.2041	888,224.458671
0.173345	0.204	922,499.959543
0.176747	0.2041	914,987.130989
0.180148	0.2041	893,096.824684
0.183548	0.204	898,688.884052
0.186950	0.2041	834,488.149549
0.190352	0.2041	846,564.793537
0.193752	0.204	869,248.238037
0.197153	0.2041	806,702.527021
0.200555	0.2041	792,603.640305
0.203955	0.204	844,833.826057
0.207357	0.2041	870,630.016383
0.210758	0.2041	840,781.854241
0.214158	0.204	835,321.594608
0.217560	0.2041	836,870.193132
0.220962	0.2041	876,840.377562
0.224362	0.204	913,130.088653
0.227763	0.2041	906,595.704320
0.231165	0.2041	848,337.432515
0.234565	0.204	818,664.422895
0.237967	0.2041	870,470.257747
0.241368	0.2041	859,295.860799
0.244768	0.204	867,193.241552
0.248170	0.2041	869,996.389940
0.251572	0.2041	829,306.746867
0.254972	0.204	834,733.292815
