File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/552.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_actigard_clean_site_6
Injection Number	34
Position	37
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	9/3/2021
Injection Time	11:13:34 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033873
Time Max. (min)	35.000728
Data Points	10282
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,635,610.720754
Signal Max.	2,373,143,650.815480
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406685

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033873	n.a.	3,200,603.000229
0.037273	0.204	3,173,441.149944
0.040675	0.2041	3,155,094.693619
0.044077	0.2041	3,101,073.271478
0.047477	0.204	3,114,531.485176
0.050878	0.2041	3,193,704.638905
0.054280	0.2041	3,163,968.499890
0.057680	0.204	3,056,171.123202
0.061082	0.2041	3,058,305.739138
0.064483	0.2041	3,133,837.381296
0.067883	0.204	3,217,422.060941
0.071285	0.2041	3,183,271.922839
0.074687	0.2041	3,116,362.548769
0.078087	0.204	3,220,910.817269
0.081488	0.2041	3,142,923.541008
0.084890	0.2041	3,068,201.726028
0.088290	0.204	3,198,579.343152
0.091692	0.2041	3,250,564.493853
0.095093	0.2041	3,288,310.250048
0.098493	0.204	3,211,477.237088
0.101895	0.2041	3,137,004.338165
0.105297	0.2041	3,236,273.675676
0.108697	0.204	3,229,712.126838
0.112098	0.2041	3,233,568.403670
0.115500	0.2041	3,353,990.169760
0.118900	0.204	3,289,768.542365
0.122302	0.2041	3,189,888.479948
0.125703	0.2041	3,119,324.741359
0.129103	0.204	3,159,673.717676
0.132505	0.2041	3,278,606.105232
0.135907	0.2041	3,113,886.018935
0.139307	0.204	3,134,421.389748
0.142708	0.2041	3,292,901.312949
0.146110	0.2041	3,192,841.554478
0.149510	0.204	3,124,040.321275
0.152912	0.2041	3,133,484.907170
0.156313	0.2041	3,118,065.848181
0.159713	0.204	3,170,858.800716
0.163115	0.2041	3,244,298.684929
0.166517	0.2041	3,186,547.609004
0.169917	0.204	3,183,922.138996
0.173318	0.2041	3,238,759.483980
0.176720	0.2041	3,244,282.655777
0.180120	0.204	3,203,616.932063
0.183522	0.2041	3,232,042.811233
0.186923	0.2041	3,252,459.334380
0.190323	0.204	3,188,122.423054
0.193725	0.2041	3,209,392.795391
0.197127	0.2041	3,126,177.363640
0.200527	0.204	3,119,367.292503
0.203928	0.2041	3,106,077.326270
0.207330	0.2041	3,090,146.982521
0.210730	0.204	3,182,115.488473
0.214132	0.2041	3,180,286.912140
0.217533	0.2041	3,199,375.826566
0.220933	0.204	3,096,683.343995
0.224335	0.2041	3,016,524.660286
0.227737	0.2041	3,073,059.000995
0.231137	0.204	3,127,600.736238
0.234538	0.2041	3,198,648.783654
0.237940	0.2041	3,135,302.174525
0.241340	0.204	3,040,979.889343
0.244742	0.2041	3,093,458.300536
0.248143	0.2041	3,143,763.810542
0.251543	0.204	3,122,289.580702
0.254945	0.2041	3,150,997.937054
0.258347	0.2041	3,116,917.627774
0.261748	0.2041	3,079,334.575939
0.265148	0.204	3,097,143.912498
0.268550	0.2041	3,045,646.954117
0.271952	0.2041	3,010,821.853130
0.275352	0.204	2,978,966.023273
0.278753	0.2041	3,046,027.003590
0.282155	0.2041	3,097,322.124290
0.285555	0.204	3,143,265.885519
0.288957	0.2041	3,142,817.496383
0.292358	0.2041	3,093,141.047230
0.295758	0.204	3,121,945.338459
0.299160	0.2041	3,055,959.791638
0.302562	0.2041	3,050,955.285598
0.305962	0.204	3,120,510.093353
0.309363	0.2041	3,039,195.161265
0.312765	0.2041	2,972,637.211173
0.316165	0.204	3,079,788.288284
0.319567	0.2041	3,077,453.174399
0.322968	0.2041	3,000,645.844405
0.326368	0.204	3,131,060.380272
0.329770	0.2041	3,162,542.610022
0.333172	0.2041	3,065,544.054250
0.336572	0.204	3,102,931.017628
0.339973	0.2041	3,161,104.464240
0.343375	0.2041	3,125,588.501063
0.346775	0.204	3,034,139.016245
0.350177	0.2041	2,986,589.462556
0.353578	0.2041	3,074,711.909958
0.356978	0.204	3,112,734.975918
0.360380	0.2041	3,082,749.580841
0.363782	0.2041	3,140,423.244670
0.367182	0.204	3,134,886.698136
0.370583	0.2041	3,006,304.951630
0.373985	0.2041	3,008,238.979133
0.377385	0.204	3,126,018.562251
0.380787	0.2041	3,034,558.492591
0.384188	0.2041	2,993,020.922270
0.387588	0.204	3,111,834.532402
0.390990	0.2041	3,107,743.371122
0.394392	0.2041	3,051,675.041837
0.397792	0.204	3,027,546.371548
