File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/541.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_actigard_clean_site_8
Injection Number	36
Position	39
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	9/3/2021
Injection Time	12:30:10 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033850
Time Max. (min)	34.997307
Data Points	10281
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,797,756.702195
Signal Max.	7,584,478,106.314100
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033850	n.a.	2,836,072.076317
0.037252	0.2041	2,870,647.125084
0.040653	0.2041	2,934,106.484486
0.044053	0.204	2,934,238.993548
0.047455	0.2041	3,052,649.860416
0.050857	0.2041	3,273,495.120137
0.054257	0.204	3,325,719.682168
0.057658	0.2041	3,311,231.627771
0.061060	0.2041	3,336,808.925553
0.064460	0.204	3,337,251.739078
0.067862	0.2041	3,369,035.009237
0.071263	0.2041	3,386,213.687412
0.074663	0.204	3,337,018.295048
0.078065	0.2041	3,331,629.214846
0.081467	0.2041	3,308,895.934799
0.084867	0.204	3,213,009.886943
0.088268	0.2041	3,214,008.496203
0.091670	0.2041	3,278,045.272283
0.095070	0.204	3,324,547.691124
0.098472	0.2041	3,307,332.396478
0.101873	0.2041	3,367,762.075631
0.105273	0.204	3,462,035.327529
0.108675	0.2041	3,345,366.263251
0.112077	0.2041	3,315,229.316574
0.115477	0.204	3,384,657.272853
0.118878	0.2041	3,423,569.921622
0.122280	0.2041	3,451,034.577210
0.125680	0.204	3,470,859.766418
0.129082	0.2041	3,501,474.711729
0.132483	0.2041	3,505,847.167552
0.135883	0.204	3,568,436.936369
0.139285	0.2041	3,547,710.971197
0.142687	0.2041	3,484,395.205150
0.146087	0.204	3,442,411.508285
0.149488	0.2041	3,379,977.938057
0.152890	0.2041	3,508,874.859801
0.156290	0.204	3,532,996.787607
0.159692	0.2041	3,398,010.011731
0.163093	0.2041	3,444,976.311481
0.166493	0.204	3,497,708.372599
0.169895	0.2041	3,405,915.755009
0.173297	0.2041	3,362,832.890727
0.176697	0.204	3,450,572.245298
0.180098	0.2041	3,439,503.360728
0.183500	0.2041	3,385,532.203203
0.186900	0.204	3,514,292.053066
0.190302	0.2041	3,425,156.737103
0.193703	0.2041	3,289,129.183352
0.197103	0.204	3,495,363.838548
0.200505	0.2041	3,516,440.346138
0.203907	0.2041	3,488,770.966090
0.207307	0.204	3,451,025.682565
0.210708	0.2041	3,395,787.406422
0.214110	0.2041	3,463,296.582098
0.217510	0.204	3,398,603.519939
0.220912	0.2041	3,326,660.863324
0.224313	0.2041	3,319,793.944292
0.227713	0.204	3,317,276.499701
0.231115	0.2041	3,326,315.037365
0.234517	0.2041	3,375,645.897088
0.237917	0.204	3,370,949.643265
0.241318	0.2041	3,357,393.518033
0.244720	0.2041	3,390,532.196499
0.248120	0.204	3,395,395.093686
0.251522	0.2041	3,451,045.112286
0.254923	0.2041	3,465,209.446900
0.258323	0.204	3,383,633.059158
0.261725	0.2041	3,377,621.465899
0.265127	0.2041	3,372,544.571608
0.268527	0.204	3,296,100.638839
0.271928	0.2041	3,329,039.387904
0.275330	0.2041	3,508,478.701928
0.278730	0.204	3,522,652.342797
0.282132	0.2041	3,445,997.832664
0.285533	0.2041	3,481,078.331595
0.288933	0.204	3,473,081.636361
0.292335	0.2041	3,453,039.849343
0.295737	0.2041	3,324,237.189818
0.299137	0.204	3,268,527.536441
0.302538	0.2041	3,296,534.507864
0.305940	0.2041	3,242,334.753192
0.309340	0.204	3,342,692.131772
0.312742	0.2041	3,400,725.853390
0.316143	0.2041	3,406,884.860294
0.319545	0.2041	3,488,064.505175
0.322945	0.204	3,436,641.073517
0.326347	0.2041	3,342,969.239194
0.329748	0.2041	3,374,881.899139
0.333148	0.204	3,426,550.530796
0.336550	0.2041	3,387,272.325657
0.339952	0.2041	3,371,181.297799
0.343352	0.204	3,387,429.545629
0.346753	0.2041	3,310,398.348855
0.350155	0.2041	3,410,488.910516
0.353555	0.204	3,479,997.447385
0.356957	0.2041	3,309,847.574476
0.360358	0.2041	3,347,485.841131
0.363758	0.204	3,369,042.896417
0.367160	0.2041	3,284,515.385234
0.370562	0.2041	3,306,917.757951
0.373962	0.204	3,226,269.158312
0.377363	0.2041	3,231,341.786398
0.380765	0.2041	3,406,984.495113
0.384165	0.204	3,299,801.673860
0.387567	0.2041	3,203,645.635224
0.390968	0.2041	3,323,633.812286
0.394368	0.204	3,270,838.779765
0.397770	0.2041	3,335,652.465691
0.401172	0.2041	3,477,319.865488
0.404572	0.204	3,252,749.378644
0.407973	0.2041	3,132,794.587029
0.411375	0.2041	3,249,425.731887
0.414775	0.204	3,299,682.893055
0.418177	0.2041	3,300,046.940643
0.421578	0.2041	3,299,472.728767
0.424978	0.204	3,299,783.102614
0.428380	0.2041	3,311,936.356751
0.431782	0.2041	3,315,883.496564
0.435182	0.204	3,291,904.665752
0.438583	0.2041	3,307,230.669614
0.441985	0.2041	3,202,361.714222
0.445385	0.204	3,164,522.854516
0.448787	0.2041	3,237,034.198079
0.452188	0.2041	3,234,138.447099
0.455588	0.204	3,285,205.478253
0.458990	0.2041	3,310,588.989972
0.462392	0.2041	3,275,305.706316
0.465792	0.204	3,306,524.368366
0.469193	0.2041	3,315,524.783581
0.472595	0.2041	3,288,830.971940
0.475995	0.204	3,339,368.587205
0.479397	0.2041	3,359,597.920277
0.482798	0.2041	3,229,889.962927
0.486198	0.204	3,150,614.052384
0.489600	0.2041	3,156,263.880010
0.493002	0.2041	3,147,357.282905
0.496402	0.204	3,164,176.564645
0.499803	0.2041	3,225,987.992965
0.503205	0.2041	3,196,063.138020
0.506605	0.204	3,166,579.808127
0.510007	0.2041	3,185,710.256400
0.513408	0.2041	3,196,084.803185
0.516808	0.204	3,343,479.227533
0.520210	0.2041	3,324,614.833218
0.523612	0.2041	3,214,811.161621
0.527012	0.204	3,245,859.613616
0.530413	0.2041	3,269,256.648958
0.533815	0.2041	3,204,836.719704
0.537215	0.204	3,167,332.946660
0.540617	0.2041	3,245,314.243373
0.544018	0.2041	3,195,724.214927
0.547418	0.204	3,118,883.396280
0.550820	0.2041	3,190,473.190416
0.554222	0.2041	3,306,894.069658
0.557622	0.204	3,257,545.153502
0.561023	0.2041	3,234,957.456556
0.564425	0.2041	3,314,869.029624
0.567825	0.204	3,279,242.609750
0.571227	0.2041	3,173,867.065841
0.574628	0.2041	3,206,527.830828
0.578028	0.204	3,258,447.025376
0.581430	0.2041	3,184,704.669793
0.584832	0.2041	3,196,369.661833
0.588232	0.204	3,219,572.436827
0.591633	0.2041	3,204,226.204731
0.595035	0.2041	3,226,292.909981
0.598435	0.204	3,189,310.687945
0.601837	0.2041	3,202,291.735882
0.605238	0.2041	3,297,307.617950
0.608638	0.204	3,293,352.045361
0.612040	0.2041	3,208,795.705250
0.615442	0.2041	3,166,687.880178
0.618842	0.204	3,258,452.697383
0.622243	0.2041	3,320,169.333633
0.625645	0.2041	3,238,724.063158
0.629045	0.204	3,228,361.596160
0.632447	0.2041	3,188,062.611794
0.635848	0.2041	3,117,476.495822
0.639248	0.204	3,154,883.093432
0.642650	0.2041	3,234,319.216880
0.646052	0.2041	3,193,095.370830
0.649452	0.204	3,213,058.363498
0.652853	0.2041	3,297,836.755496
0.656255	0.2041	3,221,346.563994
0.659655	0.204	3,180,793.162889
0.663057	0.2041	3,212,485.242669
0.666458	0.2041	3,232,790.830762
0.669858	0.204	3,198,757.863409
0.673260	0.2041	3,188,823.506459
0.676662	0.2041	3,214,364.074099
0.680062	0.204	3,226,637.652306
0.683463	0.2041	3,221,612.368167
0.686865	0.2041	3,119,573.040316
0.690265	0.204	3,188,389.984002
0.693667	0.2041	3,243,547.778846
0.697068	0.2041	3,150,046.195527
0.700468	0.204	3,183,565.773026
0.703870	0.2041	3,188,823.245570
0.707272	0.2041	3,173,320.030198
0.710672	0.204	3,176,216.291965
0.714073	0.2041	3,115,697.037865
0.717475	0.2041	3,114,250.986509
0.720875	0.204	3,219,559.843707
0.724277	0.2041	3,175,827.861325
0.727678	0.2041	3,036,879.451499
0.731078	0.204	3,104,934.462496
0.734480	0.2041	3,211,254.088489
0.737882	0.2041	3,201,421.069173
0.741282	0.204	3,163,727.467253
0.744683	0.2041	3,178,151.971475
0.748085	0.2041	3,126,726.276661
0.751485	0.204	3,086,861.721469
0.754887	0.2041	3,180,016.647901
0.758288	0.2041	3,159,965.196911
0.761688	0.204	3,117,298.351707
0.765090	0.2041	3,114,830.988463
0.768492	0.2041	3,100,444.101399
0.771892	0.204	3,143,862.679276
0.775293	0.2041	3,136,699.671790
0.778695	0.2041	3,102,992.274432
0.782095	0.204	3,116,221.414939
0.785497	0.2041	3,211,585.537571
0.788898	0.2041	3,218,331.517279
0.792298	0.204	3,177,170.293323
0.795700	0.2041	3,195,013.030301
0.799102	0.2041	3,104,798.281885
0.802502	0.204	3,104,462.935773
0.805903	0.2041	3,175,931.120155
0.809305	0.2041	3,131,468.067211
0.812707	0.2041	3,061,834.053891
0.816107	0.204	3,103,405.807487
0.819508	0.2041	3,136,021.119555
0.822910	0.2041	3,085,398.668589
0.826310	0.204	3,062,450.261932
0.829712	0.2041	3,024,254.449851
0.833113	0.2041	3,011,448.796440
0.836513	0.204	3,143,743.720091
0.839915	0.2041	3,189,509.764490
0.843317	0.2041	3,053,031.989521
0.846717	0.204	3,141,426.960679
0.850118	0.2041	3,198,752.645059
0.853520	0.2041	3,161,582.074077
0.856920	0.204	3,196,928.297310
0.860322	0.2041	3,111,491.764532
0.863723	0.2041	3,088,772.231672
0.867123	0.204	3,184,833.552820
0.870525	0.2041	3,200,309.710277
0.873927	0.2041	3,187,321.920790
0.877327	0.204	3,101,160.086149
0.880728	0.2041	3,060,785.545558
0.884130	0.2041	3,180,759.721794
0.887530	0.204	3,185,140.561510
0.890932	0.2041	3,086,561.769884
0.894333	0.2041	3,092,662.411448
0.897733	0.204	3,146,494.132983
0.901135	0.2041	3,124,812.197394
0.904537	0.2041	3,091,846.079645
0.907937	0.204	3,157,540.492483
0.911338	0.2041	3,173,286.312069
0.914740	0.2041	3,086,281.117672
0.918140	0.204	3,060,263.115905
0.921542	0.2041	3,069,123.445010
0.924943	0.2041	3,160,076.841580
0.928343	0.204	3,191,191.724241
0.931745	0.2041	3,155,348.625036
0.935147	0.2041	3,209,061.107080
0.938547	0.204	3,106,934.935090
0.941948	0.2041	3,085,748.742586
0.945350	0.2041	3,173,007.736372
0.948750	0.204	3,092,704.182501
0.952152	0.2041	3,049,188.422828
0.955553	0.2041	3,077,733.568802
0.958953	0.204	3,112,539.211353
0.962355	0.2041	3,066,743.442733
0.965757	0.2041	3,039,657.698485
0.969157	0.204	3,070,387.733203
0.972558	0.2041	3,128,417.816888
0.975960	0.2041	3,083,928.565474
0.979360	0.204	2,970,734.749502
0.982762	0.2041	3,090,910.372124
0.986163	0.2041	3,124,457.975828
0.989563	0.204	3,029,880.236721
0.992965	0.2041	3,018,808.713003
0.996367	0.2041	3,011,672.573235
0.999767	0.204	3,066,780.159652
1.003168	0.2041	3,097,251.612880
1.006570	0.2041	3,031,503.114672
1.009970	0.204	2,963,541.161229
1.013372	0.2041	2,875,239.829389
1.016773	0.2041	2,877,142.090300
1.020173	0.204	3,025,962.331770
1.023575	0.2041	3,167,360.984974
1.026977	0.2041	3,193,615.227117
1.030377	0.204	3,100,885.842138
1.033778	0.2041	3,040,052.703967
1.037180	0.2041	3,116,950.167401
1.040580	0.204	3,149,607.369814
1.043982	0.2041	3,082,561.697945
1.047383	0.2041	3,039,805.188850
1.050783	0.204	2,973,725.223121
1.054185	0.2041	2,954,566.813604
1.057587	0.2041	2,984,714.874178
1.060987	0.204	3,004,890.125555
1.064388	0.2041	3,001,687.669259
1.067790	0.2041	2,931,257.588658
1.071190	0.204	2,877,025.420441
1.074592	0.2041	2,839,846.559252
1.077993	0.2041	2,954,056.286814
1.081393	0.204	3,111,410.463652
1.084795	0.2041	3,012,075.001889
1.088197	0.2041	2,980,758.056475
1.091597	0.204	3,094,819.452118
1.094998	0.2041	3,064,958.459633
1.098400	0.2041	3,072,584.537758
1.101800	0.204	3,119,668.090550
1.105202	0.2041	3,132,630.263820
1.108603	0.2041	3,016,583.028976
1.112003	0.204	2,946,656.112594
1.115405	0.2041	3,094,908.124306
1.118807	0.2041	3,165,151.512206
1.122207	0.204	3,028,797.321694
1.125608	0.2041	2,900,572.143021
1.129010	0.2041	2,934,405.743059
1.132410	0.204	3,045,206.405078
1.135812	0.2041	3,027,272.363500
1.139213	0.2041	3,009,785.922200
1.142613	0.204	3,051,097.988796
1.146015	0.2041	2,967,755.618399
1.149417	0.2041	2,936,039.304054
1.152817	0.204	3,038,713.795628
1.156218	0.2041	3,057,655.591750
1.159620	0.2041	3,024,041.994462
1.163020	0.204	3,006,063.840900
1.166422	0.2041	3,044,901.383171
1.169823	0.2041	3,077,513.090330
1.173223	0.204	3,095,920.028495
1.176625	0.2041	2,990,919.409226
1.180027	0.2041	2,880,390.621752
1.183427	0.204	2,997,816.526844
1.186828	0.2041	3,063,039.646757
1.190230	0.2041	3,008,709.461240
1.193630	0.204	3,016,726.555162
1.197032	0.2041	3,033,272.699324
1.200433	0.2041	3,034,086.969169
1.203833	0.204	3,061,423.154411
1.207235	0.2041	3,097,683.420113
1.210637	0.2041	3,075,852.132877
1.214037	0.204	2,924,543.482235
