File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/869.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_actigard_site_2
Injection Number	30
Position	29
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	7/30/2021
Injection Time	2:12:00 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033918
Time Max. (min)	34.993995
Data Points	10280
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,117,152.375803
Signal Max.	2,562,627,937.437080
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033918	n.a.	2,021,044.765183
0.037320	0.2041	2,128,877.526485
0.040722	0.2041	2,170,094.252963
0.044122	0.204	2,056,544.701110
0.047523	0.2041	2,121,086.555036
0.050925	0.2041	2,124,370.873011
0.054325	0.204	1,992,747.060414
0.057727	0.2041	1,991,058.912160
0.061128	0.2041	2,026,682.234058
0.064528	0.204	1,940,770.619989
0.067930	0.2041	1,910,016.140841
0.071332	0.2041	1,909,008.951242
0.074732	0.204	1,891,841.423429
0.078133	0.2041	1,943,619.728637
0.081535	0.2041	1,874,242.672021
0.084935	0.204	1,804,874.582526
0.088337	0.2041	1,849,336.245976
0.091738	0.2041	1,868,485.515184
0.095138	0.204	1,896,933.950395
0.098540	0.2041	1,902,842.934500
0.101942	0.2041	1,863,343.145393
0.105342	0.204	1,829,343.231722
0.108743	0.2041	1,862,487.112853
0.112145	0.2041	1,884,513.745230
0.115545	0.204	1,829,861.622705
0.118947	0.2041	1,877,556.691486
0.122348	0.2041	1,873,219.053291
0.125748	0.204	1,836,719.901024
0.129150	0.2041	1,820,746.540609
0.132552	0.2041	1,758,622.472480
0.135952	0.204	1,817,183.113214
0.139353	0.2041	1,812,426.320053
0.142755	0.2041	1,736,000.326940
0.146155	0.204	1,761,216.056751
0.149557	0.2041	1,744,751.810914
0.152958	0.2041	1,707,175.674342
0.156358	0.204	1,767,060.169009
0.159760	0.2041	1,788,783.753720
0.163162	0.2041	1,731,281.194816
0.166562	0.204	1,779,494.751565
0.169963	0.2041	1,845,875.676593
0.173365	0.2041	1,782,891.784539
0.176765	0.204	1,637,024.463049
0.180167	0.2041	1,663,986.428011
0.183568	0.2041	1,697,662.337340
0.186968	0.204	1,591,466.848360
0.190370	0.2041	1,677,759.188617
0.193772	0.2041	1,748,122.191897
0.197172	0.204	1,629,603.806440
0.200573	0.2041	1,627,113.118136
0.203975	0.2041	1,752,177.394310
0.207375	0.204	1,724,588.606106
0.210777	0.2041	1,653,456.067591
0.214178	0.2041	1,718,061.676510
0.217578	0.204	1,725,215.971220
0.220980	0.2041	1,716,023.847892
0.224382	0.2041	1,692,339.660361
0.227782	0.204	1,576,809.390853
0.231183	0.2041	1,553,351.653511
0.234585	0.2041	1,607,577.507696
0.237985	0.204	1,649,084.108039
0.241387	0.2041	1,623,674.397761
0.244788	0.2041	1,584,523.751199
0.248188	0.204	1,630,703.853726
0.251590	0.2041	1,599,241.525784
0.254992	0.2041	1,575,371.386704
0.258392	0.204	1,566,450.376378
0.261793	0.2041	1,527,276.981866
0.265195	0.2041	1,583,764.586131
0.268595	0.204	1,637,778.508398
0.271997	0.2041	1,653,390.540734
0.275398	0.2041	1,650,720.844099
0.278798	0.204	1,605,170.876945
0.282200	0.2041	1,564,849.109215
0.285602	0.2041	1,534,561.945597
0.289002	0.204	1,565,283.136701
0.292403	0.2041	1,594,231.363456
0.295805	0.2041	1,499,080.932317
0.299205	0.204	1,458,997.962956
0.302607	0.2041	1,532,117.531200
0.306008	0.2041	1,521,623.035711
0.309408	0.204	1,489,360.948133
0.312810	0.2041	1,582,833.176907
0.316212	0.2041	1,604,203.966693
0.319612	0.204	1,579,383.341378
0.323013	0.2041	1,594,472.752165
0.326415	0.2041	1,560,312.235322
0.329815	0.204	1,576,884.655444
0.333217	0.2041	1,590,884.320569
0.336618	0.2041	1,490,471.610849
0.340020	0.2041	1,459,141.913425
0.343420	0.204	1,496,885.007302
0.346822	0.2041	1,500,475.951229
0.350223	0.2041	1,534,137.865641
0.353623	0.204	1,570,458.649977
0.357025	0.2041	1,544,698.359733
0.360427	0.2041	1,546,421.834344
0.363827	0.204	1,604,211.234534
0.367228	0.2041	1,565,387.083757
0.370630	0.2041	1,587,152.899278
0.374030	0.204	1,642,236.644349
