File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/710.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_site_12
Injection Number	17
Position	16
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/26/2021
Injection Time	12:27:54 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034277
Time Max. (min)	38.004340
Data Points	11165
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	314,508.178739
Signal Max.	3,480,853,525.781610
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034277	n.a.	497,002.786133
0.037678	0.2041	499,092.330013
0.041078	0.204	519,935.002195
0.044480	0.2041	504,602.401921
0.047882	0.2041	502,195.052983
0.051282	0.204	451,288.068294
0.054683	0.2041	406,128.099039
0.058085	0.2041	460,293.161605
0.061485	0.204	489,939.374482
0.064887	0.2041	474,900.531525
0.068288	0.2041	452,771.348746
0.071688	0.204	471,512.780362
0.075090	0.2041	469,881.405051
0.078492	0.2041	447,405.974858
0.081892	0.204	451,361.347241
0.085293	0.2041	420,253.754907
0.088695	0.2041	432,247.865306
0.092095	0.204	467,354.729989
0.095497	0.2041	460,550.782495
0.098898	0.2041	453,687.671680
0.102298	0.204	451,864.951772
0.105700	0.2041	436,861.988152
0.109102	0.2041	448,029.155343
0.112502	0.204	474,015.773857
0.115903	0.2041	463,875.040325
0.119305	0.2041	445,833.776099
0.122705	0.204	427,045.827118
0.126107	0.2041	459,448.401611
0.129508	0.2041	461,222.529944
0.132908	0.204	415,479.501748
0.136310	0.2041	429,454.092806
0.139712	0.2041	446,997.430515
0.143112	0.204	421,963.072356
0.146513	0.2041	442,398.928200
0.149915	0.2041	465,438.743553
0.153315	0.204	447,949.573853
0.156717	0.2041	461,521.147498
0.160118	0.2041	475,476.770190
0.163518	0.204	471,580.877611
0.166920	0.2041	468,521.061252
0.170322	0.2041	455,769.543158
0.173722	0.204	451,824.647591
0.177123	0.2041	486,780.403400
0.180525	0.2041	499,934.958895
0.183925	0.204	462,663.347629
0.187327	0.2041	460,287.005924
0.190728	0.2041	517,595.154597
0.194128	0.204	500,862.311154
0.197530	0.2041	458,740.470683
0.200932	0.2041	476,351.045530
0.204332	0.204	448,152.400837
0.207733	0.2041	446,597.597312
0.211135	0.2041	507,351.608616
0.214537	0.2041	518,411.372716
0.217937	0.204	501,344.632103
0.221338	0.2041	514,351.742624
0.224740	0.2041	516,665.127775
0.228140	0.204	511,057.541601
0.231542	0.2041	519,744.772660
0.234943	0.2041	468,135.151552
0.238343	0.204	406,867.164669
0.241745	0.2041	431,978.175530
0.245147	0.2041	496,982.048863
0.248547	0.204	486,520.851860
0.251948	0.2041	456,772.103931
