Chromatogram and Results								
								
Injection Details								
Injection Name:		rose_clean_site_14			Run Time (min):	37.97		
Vial Number:		18			Injection Volume:	20.00		
Injection Type:		Unknown			Channel:	TIC		
Calibration Level:					Wavelength:	n.a.		
Instrument Method:		SPME OFV			Bandwidth:	n.a.		
Processing Method:		3D Qualitative			Dilution Factor:	1.0000		
Injection Date/Time:		26/Jun/21 13:56			Sample Weight:	1.0000		
								
Chromatogram								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Integration Results								
No. 	Peak Name	Retention Time	Area 	Height 	Relative Area 	Relative Height 	Amount 	
		min	counts*min	counts	%	%		
TIC	TIC	TIC	TIC	TIC	TIC	TIC	TIC	
n.a.	NA (background)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
1  	NA (SPME fiber)	2.146	1637069.015	24948512.813	0.03	0.10	n.a.	
2  	NA (SPME fiber)	2.792	5977612.775	83602454.038	0.12	0.32	n.a.	
n.a.	Toulene	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Hexanal <n->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
3  	NA (SPME fiber)	5.139	25860303.831	363754437.178	0.50	1.39	n.a.	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
4  	Xylene <m->	6.374	10145333.444	146582756.923	0.20	0.56	n.a.	
5  	Styrene	6.972	36067323.481	613343753.325	0.70	2.34	n.a.	
6  	NA (SPME fiber)	7.374	33415786.426	192979382.172	0.65	0.74	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Pinene <1R-alpha->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
7  	Benzaldehyde	8.928	6920782.755	124534690.773	0.14	0.47	n.a.	
8  		9.010	7800713.014	81584888.634	0.15	0.31	n.a.	
n.a.	Phellandrene <beta->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Pinene <beta->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Mesitylene	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
9  	NA (SPME fiber)	10.210	47298297.276	990734599.877	0.92	3.78	n.a.	
10  		10.384	4125320.400	54776004.024	0.08	0.21	n.a.	
n.a.	p-Cymene	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
11  	NA (1-Hexanol, 2-ethyl-)	11.112	9344162.050	168696704.246	0.18	0.64	n.a.	
n.a.	Pinene <alpha->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Carene <delta-3>	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Dodecane	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
12  	NA (silicate)	12.843	1055360.120	17362185.207	0.02	0.07	n.a.	
n.a.	Undecane	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Nonanal	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
13  	NA (bag)	13.407	12095105.637	231911131.574	0.24	0.88	n.a.	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (2,6-Dimethyl-1,3,5,7-octatetraene, E,E-)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
14  	NA (silicate)	14.292	9603941.052	102467173.836	0.19	0.39	n.a.	
n.a.	Limonene oxide, trans-	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
15  	NA (bag)	14.744	1304251.205	20194538.068	0.03	0.08	n.a.	
16  	NA (SPME fiber)	14.955	16993104.642	347532890.480	0.33	1.32	n.a.	
17  	Benzaldehyde <para-ethyl->	15.183	1462139.832	19756641.178	0.03	0.08	n.a.	
18  	NA (1-Nonanol)	15.479	66932108.424	961330528.815	1.31	3.66	n.a.	
19  		15.496	45687885.376	1027720273.463	0.89	3.92	n.a.	
20  		15.550	52008724.324	1164713484.295	1.02	4.44	n.a.	
21  		15.604	79373472.069	641474488.582	1.55	2.45	n.a.	
22  	NA (bag)	15.744	42049111.100	469051262.128	0.82	1.79	n.a.	
23  		15.805	56630551.621	350968759.639	1.11	1.34	n.a.	
n.a.	Terpineol <alpha->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
24  	Dodecane	16.234	2201934.644	31557620.101	0.04	0.12	n.a.	
25  	Decanal	16.407	1565761.035	32641238.911	0.03	0.12	n.a.	
26  	NA (SPME fiber)	17.074	5849622.590	39512943.266	0.11	0.15	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
27  	NA (bag)	17.730	1455796.097	25318503.257	0.03	0.10	n.a.	
28  	NA (bag)	17.907	70014259.075	560177362.798	1.37	2.14	n.a.	
n.a.	NA (Caprolactam)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (spironolactone)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
