Peak Analysis								
								
Injection Details								
Injection Name:		rose_clean_site_14			Run Time (min):	37.97		
Vial Number:		18			Injection Volume:	20.00		
Injection Type:		Unknown			Channel:	TIC		
Calibration Level:					Wavelength:	n.a.		
Instrument Method:		SPME OFV			Bandwidth:	n.a.		
Processing Method:		3D Qualitative			Dilution Factor:	1.0000		
Injection Date/Time:		26/Jun/21 13:56			Sample Weight:	1.0000		
								
Chromatogram								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Peak Results								
No. 	Peak Name 	Retention Time	Width (50%)	Type 	Resolution (EP)	Asymmetry (EP)	Plates (EP)	
		min	min					
TIC	TIC	TIC	TIC	TIC	TIC	TIC	TIC	
n.a.	NA (background)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
1	NA (SPME fiber)	2.146	0.062	BMB	6.91	0.61	6744	
2	NA (SPME fiber)	2.792	0.049	BMB	29.14	2.78	18109	
n.a.	Toulene	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Hexanal <n->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
3	NA (SPME fiber)	5.139	0.046	BMB	15.46	3.03	68566	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
4	Xylene <m->	6.374	0.048	BMB	6.92	2.90	97450	
5	Styrene	6.972	0.054	BM 	2.35	n.a.	92538	
6	NA (SPME fiber)	7.374	0.148	 MB	8.96	n.a.	13826	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Pinene <1R-alpha->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
7	Benzaldehyde	8.928	0.057	BM 	n.a.	n.a.	135520	
8		9.010	n.a.	 MB	n.a.	n.a.	n.a.	
n.a.	Phellandrene <beta->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Pinene <beta->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Mesitylene	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
9	NA (SPME fiber)	10.210	0.032	BM 	n.a.	2.18	569563	
10		10.384	n.a.	 MB	n.a.	n.a.	n.a.	
n.a.	p-Cymene	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
11	NA (1-Hexanol, 2-ethyl-)	11.112	0.042	BMB	21.74	1.96	384151	
n.a.	Pinene <alpha->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Carene <delta-3>	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Dodecane	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
12	NA (silicate)	12.843	0.052	BMB	7.09	1.66	340962	
n.a.	Undecane	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Nonanal	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
13	NA (bag)	13.407	0.042	BMB	8.02	1.49	557585	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (2,6-Dimethyl-1,3,5,7-octatetraene, E,E-)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
14	NA (silicate)	14.292	0.088	BMB	4.01	1.02	146540	
n.a.	Limonene oxide, trans-	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
15	NA (bag)	14.744	0.045	BMB	3.07	2.13	590681	
16	NA (SPME fiber)	14.955	0.036	BMB	2.73	1.90	964984	
17	Benzaldehyde <para-ethyl->	15.183	0.063	BM 	n.a.	n.a.	324753	
18	NA (1-Nonanol)	15.479	n.a.	 M 	n.a.	n.a.	n.a.	
19		15.496	n.a.	 M 	n.a.	n.a.	n.a.	
20		15.550	n.a.	 M 	n.a.	n.a.	n.a.	
21		15.604	n.a.	 M 	n.a.	n.a.	n.a.	
22	NA (bag)	15.744	n.a.	 M 	n.a.	n.a.	n.a.	
23		15.805	n.a.	 M 	n.a.	n.a.	n.a.	
n.a.	Terpineol <alpha->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
24	Dodecane	16.234	0.057	 M 	2.02	n.a.	450063	
25	Decanal	16.407	0.044	 MB	3.45	1.10	757611	
26	NA (SPME fiber)	17.074	0.184	BMB	n.a.	1.95	47890	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
27	NA (bag)	17.730	n.a.	BM 	n.a.	n.a.	n.a.	
28	NA (bag)	17.907	0.053	 M 	n.a.	n.a.	643336	
n.a.	NA (Caprolactam)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (spironolactone)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
29	NA (bag)	18.421	n.a.	 MB	n.a.	n.a.	n.a.	
n.a.	Pentadecane	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
30	Hexadecane, 1-bromo-	18.546	0.045	BMB	3.55	1.04	961835	
