File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/125.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_site_20
Injection Number	25
Position	24
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/26/2021
Injection Time	6:25:33 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034032
Time Max. (min)	38.004053
Data Points	11165
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,050,336.848855
Signal Max.	1,303,504,898.516350
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406676

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034032	n.a.	1,476,798.356359
0.037433	0.2041	1,502,058.635345
0.040833	0.204	1,608,192.220140
0.044235	0.2041	1,674,534.932466
0.047637	0.2041	1,620,017.305075
0.051037	0.204	1,563,653.473081
0.054438	0.2041	1,607,952.693473
0.057840	0.2041	1,573,410.597819
0.061240	0.204	1,551,150.104325
0.064642	0.2041	1,558,474.855371
0.068043	0.2041	1,551,346.534550
0.071443	0.204	1,606,155.295792
0.074845	0.2041	1,548,987.937015
0.078247	0.2041	1,560,080.218688
0.081647	0.204	1,560,637.722284
0.085048	0.2041	1,531,856.760169
0.088450	0.2041	1,588,826.863741
0.091850	0.204	1,555,469.048474
0.095252	0.2041	1,561,496.909752
0.098653	0.2041	1,561,017.364523
0.102053	0.204	1,488,157.165233
0.105455	0.2041	1,457,847.067504
0.108857	0.2041	1,431,926.766196
0.112257	0.204	1,479,565.360778
0.115658	0.2041	1,587,476.503065
0.119060	0.2041	1,555,239.793350
0.122460	0.204	1,503,350.174642
0.125862	0.2041	1,551,898.504399
0.129263	0.2041	1,490,344.370077
0.132663	0.204	1,465,432.745482
0.136065	0.2041	1,501,075.867496
0.139467	0.2041	1,457,368.070610
0.142867	0.204	1,507,610.516902
0.146268	0.2041	1,511,570.040875
0.149670	0.2041	1,428,919.155272
0.153070	0.204	1,477,278.363260
0.156472	0.2041	1,503,731.406552
0.159873	0.2041	1,425,734.754471
0.163273	0.204	1,478,185.753803
0.166675	0.2041	1,501,729.924096
0.170077	0.2041	1,401,392.194715
0.173477	0.204	1,454,953.667403
0.176878	0.2041	1,511,997.614719
0.180280	0.2041	1,425,996.247475
0.183680	0.204	1,389,235.088765
0.187082	0.2041	1,454,287.996079
0.190483	0.2041	1,399,420.693839
0.193883	0.204	1,339,026.715471
0.197285	0.2041	1,400,386.374623
0.200687	0.2041	1,367,886.023335
0.204087	0.204	1,351,313.514466
0.207488	0.2041	1,459,857.456829
0.210890	0.2041	1,575,077.735733
0.214290	0.204	1,510,252.119942
0.217692	0.2041	1,401,476.563854
0.221093	0.2041	1,411,927.928938
0.224493	0.204	1,496,263.160421
0.227895	0.2041	1,520,953.415450
0.231297	0.2041	1,467,487.955818
0.234697	0.204	1,464,260.378099
0.238098	0.2041	1,467,755.591010
0.241500	0.2041	1,473,083.748148
0.244900	0.204	1,413,186.385086
0.248302	0.2041	1,352,705.829604
0.251703	0.2041	1,430,291.386596
0.255103	0.204	1,540,130.666628
0.258505	0.2041	1,444,412.642600
0.261907	0.2041	1,378,086.675837
0.265307	0.204	1,423,826.063261
0.268708	0.2041	1,377,376.036602
0.272110	0.2041	1,387,192.851581
0.275510	0.204	1,366,049.636156
0.278912	0.2041	1,374,577.963646
0.282313	0.2041	1,421,252.000142
0.285713	0.204	1,321,098.637573
0.289115	0.2041	1,302,726.072343
0.292517	0.2041	1,370,658.509187
0.295917	0.204	1,418,754.312459
0.299318	0.2041	1,405,200.531910
0.302720	0.2041	1,365,888.329178
0.306120	0.204	1,383,974.375909
0.309522	0.2041	1,338,074.743571
0.312923	0.2041	1,333,158.036541
0.316323	0.204	1,343,120.059565
0.319725	0.2041	1,351,939.538604
0.323127	0.2041	1,425,492.594785
0.326528	0.2041	1,353,853.459770
0.329928	0.204	1,304,076.777444
0.333330	0.2041	1,337,858.635178
0.336732	0.2041	1,328,442.679459
0.340132	0.204	1,270,626.206134
0.343533	0.2041	1,266,305.380608
0.346935	0.2041	1,330,498.169603
0.350335	0.204	1,354,055.260608
0.353737	0.2041	1,352,052.173726
0.357138	0.2041	1,361,063.900378
0.360538	0.204	1,290,015.510825
0.363940	0.2041	1,295,332.473186
0.367342	0.2041	1,448,583.933780
0.370742	0.204	1,464,471.384885
0.374143	0.2041	1,367,690.450825
0.377545	0.2041	1,378,828.584575
0.380945	0.204	1,368,799.454598
0.384347	0.2041	1,252,743.336612
0.387748	0.2041	1,288,400.284611
0.391148	0.204	1,344,657.727949
0.394550	0.2041	1,356,626.823157
0.397952	0.2041	1,403,395.988216
0.401352	0.204	1,387,608.668077
0.404753	0.2041	1,350,113.775900
0.408155	0.2041	1,319,239.944352
0.411555	0.204	1,263,673.166002
0.414957	0.2041	1,288,797.941188
0.418358	0.2041	1,288,312.361879
0.421758	0.204	1,291,298.382668
0.425160	0.2041	1,319,363.627096
0.428562	0.2041	1,260,402.719244
0.431962	0.204	1,267,051.711674
0.435363	0.2041	1,288,582.709951
0.438765	0.2041	1,355,108.631988
0.442165	0.204	1,426,731.710287
0.445567	0.2041	1,324,410.931286
0.448968	0.2041	1,317,853.271465
0.452368	0.204	1,405,212.161465
0.455770	0.2041	1,357,757.172462
0.459172	0.2041	1,317,545.489880
0.462572	0.204	1,356,239.937132
0.465973	0.2041	1,342,371.017280
0.469375	0.2041	1,305,467.118942
0.472775	0.204	1,310,062.853912
0.476177	0.2041	1,306,302.323793
0.479578	0.2041	1,285,267.312092
0.482978	0.204	1,312,812.368578
0.486380	0.2041	1,342,515.299312
0.489782	0.2041	1,311,029.155977
0.493182	0.204	1,315,904.510270
0.496583	0.2041	1,367,457.023323
0.499985	0.2041	1,337,628.529913
0.503385	0.204	1,277,385.797472
0.506787	0.2041	1,288,639.539274
0.510188	0.2041	1,296,996.560183
0.513588	0.204	1,291,698.227738
0.516990	0.2041	1,288,256.555935
0.520392	0.2041	1,255,927.700131
0.523792	0.204	1,204,347.231880
0.527193	0.2041	1,276,388.151282
0.530595	0.2041	1,312,189.271764
0.533995	0.204	1,251,771.766288
0.537397	0.2041	1,252,054.583686
0.540798	0.2041	1,249,810.373062
0.544198	0.204	1,249,338.650436
0.547600	0.2041	1,272,741.404709
0.551002	0.2041	1,323,123.999331
0.554402	0.204	1,214,697.842148
0.557803	0.2041	1,210,255.766761
0.561205	0.2041	1,340,932.543385
0.564605	0.204	1,284,885.465290
0.568007	0.2041	1,216,622.223277
0.571408	0.2041	1,210,869.120675
0.574808	0.204	1,283,122.276252
0.578210	0.2041	1,306,549.066506
0.581612	0.2041	1,231,974.364895
0.585012	0.204	1,288,378.938075
0.588413	0.2041	1,382,381.391700
0.591815	0.2041	1,267,350.496987
0.595215	0.204	1,198,448.893854
0.598617	0.2041	1,359,502.838759
0.602018	0.2041	1,377,575.896551
0.605418	0.204	1,232,776.362938
0.608820	0.2041	1,189,732.977975
0.612222	0.2041	1,223,414.442974
0.615622	0.204	1,206,046.008026
0.619023	0.2041	1,218,995.335677
0.622425	0.2041	1,252,434.981170
0.625825	0.204	1,223,970.272651
0.629227	0.2041	1,204,256.235754
0.632628	0.2041	1,246,566.678414
0.636028	0.204	1,279,099.287054
0.639430	0.2041	1,244,480.191812
0.642832	0.2041	1,219,515.901728
0.646232	0.204	1,191,465.165465
0.649633	0.2041	1,242,356.865481
0.653035	0.2041	1,253,102.707781
0.656435	0.204	1,169,127.010170
0.659837	0.2041	1,149,929.795304
0.663238	0.2041	1,232,485.305539
0.666638	0.204	1,188,011.421993
0.670040	0.2041	1,164,451.104710
0.673442	0.2041	1,250,202.470852
0.676842	0.204	1,259,062.458378
0.680243	0.2041	1,248,439.282208
0.683645	0.2041	1,292,789.572307
0.687045	0.204	1,289,001.288030
0.690447	0.2041	1,263,171.248325
0.693848	0.2041	1,296,691.330531
0.697248	0.204	1,310,505.181017
0.700650	0.2041	1,209,310.496311
0.704052	0.2041	1,240,796.205412
0.707452	0.204	1,262,703.788079
0.710853	0.2041	1,198,771.710582
0.714255	0.2041	1,293,395.418338
0.717655	0.204	1,283,223.213567
0.721057	0.2041	1,214,903.669921
0.724458	0.2041	1,212,724.202375
0.727858	0.204	1,233,160.469109
0.731260	0.2041	1,251,791.443431
0.734662	0.2041	1,181,707.833269
0.738062	0.204	1,196,599.441107
0.741463	0.2041	1,255,816.787438
0.744865	0.2041	1,225,422.018450
0.748265	0.204	1,252,624.410303
0.751667	0.2041	1,302,476.424662
0.755068	0.2041	1,268,346.355229
0.758468	0.204	1,267,691.988269
0.761870	0.2041	1,287,288.755830
0.765272	0.2041	1,281,849.164230
0.768672	0.204	1,224,075.873194
0.772073	0.2041	1,110,186.408992
0.775475	0.2041	1,185,615.484239
0.778875	0.204	1,373,550.988952
0.782277	0.2041	1,296,151.958523
0.785678	0.2041	1,171,512.069087
0.789078	0.204	1,264,546.032260
0.792480	0.2041	1,325,109.387078
0.795882	0.2041	1,268,147.807534
0.799282	0.204	1,202,767.550025
0.802683	0.2041	1,264,688.017885
0.806085	0.2041	1,306,185.415732
0.809485	0.204	1,235,477.611622
0.812887	0.2041	1,215,464.326716
0.816288	0.2041	1,202,355.297392
0.819688	0.204	1,242,735.629779
0.823090	0.2041	1,274,516.139164
0.826492	0.2041	1,251,804.865254
0.829892	0.204	1,224,445.659011
0.833293	0.2041	1,198,644.782527
0.836695	0.2041	1,199,875.890046
0.840095	0.204	1,152,659.785486
0.843497	0.2041	1,168,853.076980
0.846898	0.2041	1,198,672.661456
0.850298	0.204	1,207,588.409904
0.853700	0.2041	1,212,725.945548
0.857102	0.2041	1,202,091.361045
0.860502	0.204	1,232,848.038228
0.863903	0.2041	1,157,153.076840
0.867305	0.2041	1,117,582.196635
0.870705	0.204	1,209,575.359516
0.874107	0.2041	1,175,993.253389
0.877508	0.2041	1,183,629.108892
0.880908	0.204	1,212,784.268136
0.884310	0.2041	1,238,026.884491
0.887712	0.2041	1,261,959.889031
0.891112	0.204	1,167,742.932934
0.894513	0.2041	1,154,430.131476
0.897915	0.2041	1,225,616.798572
0.901315	0.204	1,223,544.545836
0.904717	0.2041	1,192,217.686420
0.908118	0.2041	1,169,294.775213
