File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/479.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_site_3-3
Injection Number	8
Position	7
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/1/2021
Injection Time	1:02:50 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034082
Time Max. (min)	38.004123
Data Points	11165
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,780,051.542316
Signal Max.	2,509,511,917.207440
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406687

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034082	n.a.	3,259,935.062694
0.037483	0.2041	3,266,377.359756
0.040883	0.204	3,434,012.038149
0.044285	0.2041	3,372,357.593173
0.047687	0.2041	3,295,007.550817
0.051087	0.204	3,445,692.715757
0.054488	0.2041	3,352,672.638817
0.057890	0.2041	3,356,149.554017
0.061290	0.204	3,382,454.609542
0.064692	0.2041	3,109,438.722857
0.068093	0.2041	3,137,276.076695
0.071493	0.204	3,254,828.368689
0.074895	0.2041	3,161,437.005579
0.078297	0.2041	3,220,033.425933
0.081697	0.204	3,246,232.435011
0.085098	0.2041	3,275,447.288457
0.088500	0.2041	3,257,510.381279
0.091900	0.204	3,021,546.946925
0.095302	0.2041	3,082,032.225723
0.098703	0.2041	3,194,220.382909
0.102103	0.204	2,986,128.033524
0.105505	0.2041	2,982,331.371195
0.108907	0.2041	3,072,052.239619
0.112307	0.204	3,012,956.937454
0.115708	0.2041	2,958,160.537550
0.119110	0.2041	2,927,203.195806
0.122510	0.204	2,933,905.588351
0.125912	0.2041	3,036,549.479811
0.129313	0.2041	2,994,462.247467
0.132713	0.204	2,883,255.718132
0.136115	0.2041	2,949,203.909576
0.139517	0.2041	2,915,763.779373
