File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/636.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	bag_blank_01
Injection Number	7
Position	155
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Blank
Status	Finished
Injection Date	9/8/2018
Injection Time	4:04:39 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000605
Time Max. (min)	22.992172
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2 SR4 Build 8179 (264636)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	890,352.957550
Signal Max.	548,072,869.533062
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000605	n.a.	1,643,275.135719
3.004005	0.204	1,742,244.277622
3.007407	0.2041	1,900,429.166167
3.010808	0.2041	1,967,859.323790
3.014208	0.204	2,076,134.397845
3.017610	0.2041	2,206,471.583798
3.021012	0.2041	2,246,626.974834
3.024412	0.204	2,288,750.501201
3.027813	0.2041	2,353,906.486914
3.031215	0.2041	2,446,110.452187
3.034615	0.204	2,529,313.968472
3.038017	0.2041	2,524,638.370943
3.041418	0.2041	2,540,360.956226
3.044818	0.204	2,637,868.152803
3.048220	0.2041	2,677,935.920506
3.051620	0.204	2,703,245.905720
3.055022	0.2041	2,763,996.092709
3.058423	0.2041	2,805,306.504665
3.061823	0.204	2,909,406.897458
3.065225	0.2041	2,947,462.767332
3.068627	0.2041	2,920,831.573675
3.072027	0.204	2,961,570.427913
3.075428	0.2041	3,015,486.112241
3.078830	0.2041	3,043,219.538588
3.082230	0.204	2,989,578.079788
3.085632	0.2041	3,005,694.824628
3.089033	0.2041	3,015,899.301747
3.092433	0.204	2,882,396.299358
3.095835	0.2041	2,843,446.875080
3.099237	0.2041	2,884,973.359459
3.102637	0.204	2,869,863.782222
3.106038	0.2041	2,870,028.420792
3.109440	0.2041	2,852,093.948906
3.112840	0.204	2,851,532.539635
3.116242	0.2041	2,872,711.661967
3.119642	0.204	2,813,969.373323
3.123043	0.2041	2,767,338.530803
3.126445	0.2041	2,714,786.302304
3.129845	0.204	2,723,642.476258
3.133247	0.2041	2,766,525.506312
3.136648	0.2041	2,744,456.101352
3.140048	0.204	2,707,374.635452
3.143450	0.2041	2,671,278.983106
3.146852	0.2041	2,721,373.957871
3.150252	0.204	2,720,285.859394
3.153653	0.2041	2,660,342.572786
3.157055	0.2041	2,668,825.459836
3.160455	0.204	2,643,062.425132
3.163857	0.2041	2,613,485.280212
3.167258	0.2041	2,564,015.930176
3.170658	0.204	2,516,124.084360
3.174060	0.2041	2,541,066.902515
3.177462	0.2041	2,558,223.379817
3.180862	0.204	2,556,785.069939
3.184263	0.2041	2,535,781.512712
3.187663	0.204	2,503,602.558992
3.191065	0.2041	2,521,757.668644
3.194467	0.2041	2,507,459.417819
3.197867	0.204	2,473,709.681217
3.201268	0.2041	2,558,525.961089
3.204670	0.2041	2,579,523.100578
3.208070	0.204	2,510,439.817927
3.211472	0.2041	2,481,693.351481
3.214873	0.2041	2,445,611.341014
3.218273	0.204	2,461,888.975021
3.221675	0.2041	2,485,516.428204
3.225077	0.2041	2,456,354.400666
3.228477	0.204	2,436,062.795201
3.231878	0.2041	2,379,216.449252
3.235280	0.2041	2,361,878.470250
3.238680	0.204	2,400,716.594242
3.242082	0.2041	2,399,334.481596
3.245483	0.2041	2,397,145.929485
3.248883	0.204	2,414,598.703220
3.252285	0.2041	2,409,707.998027
3.255685	0.204	2,372,859.470699
3.259087	0.2041	2,353,150.431055
3.262488	0.2041	2,331,978.400098
3.265888	0.204	2,301,352.169439
3.269290	0.2041	2,289,616.948404
3.272692	0.2041	2,296,677.126309
3.276092	0.204	2,279,723.009356
3.279493	0.2041	2,222,775.810546
3.282895	0.2041	2,228,993.399768
3.286295	0.204	2,245,357.509468
3.289697	0.2041	2,190,975.645584
3.293098	0.2041	2,195,820.158345
3.296498	0.204	2,203,544.980692
3.299900	0.2041	2,163,619.843438
3.303302	0.2041	2,166,018.051144
3.306702	0.204	2,206,115.990125
3.310103	0.2041	2,233,034.399555
3.313505	0.2041	2,181,773.674091
3.316905	0.204	2,163,150.064155
3.320307	0.2041	2,174,222.774360
3.323707	0.204	2,177,578.963238
3.327108	0.2041	2,185,316.329922
3.330510	0.2041	2,151,467.682849
3.333910	0.204	2,106,951.814228
3.337312	0.2041	2,107,848.469613
3.340713	0.2041	2,137,366.055310
3.344113	0.204	2,111,234.038651
3.347515	0.2041	2,117,052.752676
3.350917	0.2041	2,088,708.667026
3.354317	0.204	2,027,147.894371
3.357718	0.2041	2,020,733.700328
3.361120	0.2041	1,998,768.488654
3.364520	0.204	1,991,612.353918
3.367922	0.2041	1,954,665.474181
3.371323	0.2041	1,975,746.540993
3.374723	0.204	2,014,588.117410
3.378125	0.2041	1,990,673.630033
3.381527	0.2041	1,988,257.440581
3.384927	0.204	1,967,540.235995
3.388328	0.2041	1,950,949.429421
3.391728	0.204	1,922,353.246761
3.395130	0.2041	1,903,550.981849
3.398532	0.2041	1,928,606.546890
3.401932	0.204	1,899,377.583405
3.405333	0.2041	1,866,557.994540
3.408735	0.2041	1,902,650.858824
3.412135	0.204	1,922,129.502118
3.415537	0.2041	1,915,137.598385
3.418938	0.2041	1,937,569.937459
3.422338	0.204	1,915,263.970654
3.425740	0.2041	1,841,462.769320
3.429142	0.2041	1,859,989.129517
3.432542	0.204	1,913,741.679114
3.435943	0.2041	1,860,711.555924
3.439345	0.2041	1,843,009.325856
