File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/265.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_14-1
Injection Number	25
Position	125
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	5/18/2019
Injection Time	9:17:56 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002350
Time Max. (min)	22.993917
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	6,137,790.054797
Signal Max.	1,823,710,410.486980
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.002350	n.a.	17,198,215.519325
3.005750	0.204	17,256,304.135822
3.009152	0.2041	17,416,661.594223
3.012553	0.2041	17,360,066.785993
3.015953	0.204	17,250,601.199338
3.019355	0.2041	17,000,970.014889
3.022757	0.2041	16,632,689.265860
3.026157	0.204	16,588,772.586100
3.029558	0.2041	16,579,104.163676
3.032960	0.2041	16,325,701.158618
3.036360	0.204	15,959,741.550769
3.039762	0.2041	15,967,119.649699
3.043162	0.204	15,829,627.021725
3.046563	0.2041	15,518,945.951107
3.049965	0.2041	15,603,433.146545
3.053365	0.204	15,631,880.629799
3.056767	0.2041	15,494,360.256569
3.060168	0.2041	15,372,657.546414
3.063568	0.204	15,347,880.688926
3.066970	0.2041	15,011,153.111884
3.070372	0.2041	14,750,668.929348
3.073772	0.204	14,686,519.388239
3.077173	0.2041	14,389,659.037076
3.080575	0.2041	14,446,791.360730
3.083975	0.204	14,503,275.687295
3.087377	0.2041	14,254,158.407092
3.090778	0.2041	14,046,121.024857
3.094178	0.204	13,941,995.120062
3.097580	0.2041	13,449,960.116416
3.100982	0.2041	12,762,213.229793
3.104382	0.204	12,592,518.026791
3.107783	0.2041	12,447,965.048799
3.111183	0.204	12,222,588.625899
3.114585	0.2041	12,088,560.437040
3.117987	0.2041	12,033,742.454477
3.121387	0.204	11,944,333.796407
3.124788	0.2041	11,649,465.391078
3.128190	0.2041	11,616,733.606007
3.131590	0.204	11,611,178.773190
3.134992	0.2041	11,517,000.628569
3.138393	0.2041	11,561,538.889560
3.141793	0.204	11,267,467.224092
3.145195	0.2041	10,914,916.268602
3.148597	0.2041	11,020,249.456441
3.151997	0.204	11,150,474.581942
