File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/275.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_20-1
Injection Number	31
Position	131
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	5/18/2019
Injection Time	12:11:54 PM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.001408
Time Max. (min)	22.996353
Data Points	5880
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	6,033,277.930163
Signal Max.	4,071,083,539.993940
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406476

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.001408	n.a.	20,829,278.714455
3.004808	0.204	20,663,063.897469
3.008210	0.2041	20,351,056.632514
3.011612	0.2041	20,105,208.042493
3.015012	0.204	19,742,016.079370
3.018413	0.2041	19,407,232.176246
3.021815	0.2041	19,167,454.385990
3.025215	0.204	18,976,148.704692
3.028617	0.2041	19,049,307.292426
3.032018	0.2041	18,758,986.010724
3.035418	0.204	18,534,565.612091
3.038820	0.2041	18,327,363.609666
3.042222	0.2041	17,852,559.270082
3.045622	0.204	17,742,346.680396
3.049023	0.2041	17,586,593.719516
3.052423	0.204	17,488,096.352505
3.055825	0.2041	17,432,317.018390
3.059227	0.2041	17,117,619.105582
3.062627	0.204	16,936,837.857411
3.066028	0.2041	16,610,810.655637
3.069430	0.2041	16,252,988.173566
3.072830	0.204	16,559,859.072278
3.076232	0.2041	16,620,091.716833
3.079633	0.2041	16,241,936.343874
3.083033	0.204	15,956,807.697748
3.086435	0.2041	15,571,868.654767
3.089837	0.2041	14,885,330.118987
3.093237	0.204	14,466,802.932790
3.096638	0.2041	14,406,355.385219
3.100040	0.2041	13,829,640.581196
3.103440	0.204	13,480,453.250499
3.106842	0.2041	13,207,275.689917
3.110243	0.2041	12,948,133.367703
3.113643	0.204	12,893,637.762207
3.117045	0.2041	12,772,309.630042
3.120445	0.204	12,908,169.294811
3.123847	0.2041	12,771,937.610994
3.127248	0.2041	12,536,693.248652
3.130648	0.204	12,425,882.863363
3.134050	0.2041	12,381,325.926568
3.137452	0.2041	12,266,651.718937
3.140852	0.204	11,966,403.995797
3.144253	0.2041	12,043,635.035485
3.147655	0.2041	12,095,067.406618
3.151055	0.204	11,782,310.419388
3.154457	0.2041	11,806,622.116245
3.157858	0.2041	12,003,780.954813
3.161258	0.204	12,008,832.928706
3.164660	0.2041	12,073,240.407534
3.168062	0.2041	12,082,561.080573
3.171462	0.204	11,972,042.956850
3.174863	0.2041	11,827,008.059680
3.178263	0.204	11,673,726.112666
3.181665	0.2041	11,511,391.915868
3.185067	0.2041	11,332,480.878902
3.188467	0.204	11,295,793.024561
3.191868	0.2041	11,310,654.703655
3.195270	0.2041	11,021,825.499029
3.198670	0.204	10,856,349.174692
3.202072	0.2041	10,960,718.398834
3.205473	0.2041	10,908,144.400955
3.208873	0.204	10,745,592.821208
3.212275	0.2041	10,653,562.682908
3.215677	0.2041	10,686,599.573964
3.219077	0.204	10,633,365.762014
3.222478	0.2041	10,459,937.642164
3.225880	0.2041	10,373,500.823944
3.229280	0.204	10,443,466.323416
3.232682	0.2041	10,609,855.434342
3.236082	0.204	10,747,515.160965
3.239483	0.2041	10,636,208.173256
3.242885	0.2041	10,584,003.307435
3.246285	0.204	10,531,726.153102
3.249687	0.2041	10,221,010.486594
3.253088	0.2041	10,159,631.722037
3.256488	0.204	10,173,175.017750
3.259890	0.2041	10,037,548.552425
3.263292	0.2041	9,972,723.048098
3.266692	0.204	9,830,677.352888
3.270093	0.2041	9,774,099.591765
3.273495	0.2041	9,655,105.341450
3.276895	0.204	9,365,489.441469
3.280297	0.2041	9,392,136.494329
3.283698	0.2041	9,596,198.216374
3.287098	0.204	9,540,445.618095
3.290500	0.2041	9,443,575.854962
3.293900	0.204	9,444,953.334882
3.297302	0.2041	9,445,930.656631
3.300703	0.2041	9,489,720.418009
3.304103	0.204	9,546,021.016544
3.307505	0.2041	9,522,033.759118
3.310907	0.2041	9,401,307.586247
3.314307	0.204	9,428,206.697767
3.317708	0.2041	9,415,233.987654
3.321110	0.2041	9,303,838.670052
3.324510	0.204	9,284,518.124371
3.327912	0.2041	9,195,414.691555
3.331313	0.2041	9,038,640.706442
3.334713	0.204	8,928,144.953101
3.338115	0.2041	8,917,339.714669
3.341517	0.2041	9,004,822.097430
3.344917	0.204	9,016,347.396253
3.348318	0.2041	8,701,251.583290
3.351718	0.204	8,666,240.820679
3.355120	0.2041	8,705,093.553358
3.358522	0.2041	8,495,728.192308
3.361922	0.204	8,392,691.200310
3.365323	0.2041	8,456,477.060189
3.368725	0.2041	8,429,562.399763
3.372125	0.204	8,165,212.071247
3.375527	0.2041	8,260,037.369002
3.378928	0.2041	8,315,037.836956
3.382328	0.204	8,125,727.489873
3.385730	0.2041	8,056,160.036331
3.389132	0.2041	7,978,499.379783
3.392532	0.204	7,866,769.313226
3.395933	0.2041	7,841,803.096804
3.399335	0.2041	7,875,353.128009
3.402735	0.204	7,733,306.102160
3.406137	0.2041	7,611,526.511861
3.409538	0.2041	7,736,396.569130
3.412938	0.204	7,726,768.535823
3.416340	0.2041	7,697,634.306081
3.419740	0.204	7,664,359.296354
3.423142	0.2041	7,396,839.295447
3.426543	0.2041	7,328,372.829104
3.429943	0.204	7,497,351.930334
3.433345	0.2041	7,490,834.125338
3.436747	0.2041	7,370,303.095039
3.440147	0.204	7,328,615.970824
3.443548	0.2041	7,322,532.521778
3.446950	0.2041	7,281,238.812954
3.450350	0.204	7,167,226.239629
3.453752	0.2041	7,064,341.026388
3.457153	0.2041	7,065,014.659245
3.460553	0.204	7,055,626.794900
3.463955	0.2041	6,850,932.446967
3.467355	0.204	6,694,975.397414
3.470757	0.2041	6,641,505.627452
3.474158	0.2041	6,507,849.352788
3.477558	0.204	6,506,608.736026
3.480960	0.2041	6,571,094.240000
3.484362	0.2041	6,464,720.641925
3.487762	0.204	6,349,589.128786
3.491163	0.2041	6,396,344.501157
3.494565	0.2041	6,339,655.011500
3.497965	0.204	6,243,100.331845
3.501367	0.2041	6,313,328.276432
3.504768	0.2041	6,343,710.389388
3.508168	0.204	6,481,664.389010
3.511570	0.2041	6,445,387.299717
3.514972	0.2041	6,335,989.548144
3.518372	0.204	6,456,441.078122
3.521773	0.2041	6,583,895.849844
3.525173	0.204	6,651,379.353844
3.528575	0.2041	6,657,621.169227
3.531977	0.2041	6,756,015.920883
3.535377	0.204	6,929,229.511918
3.538778	0.2041	6,926,943.194488
3.542180	0.2041	6,810,255.403312
3.545580	0.204	6,822,843.955430
3.548982	0.2041	6,656,542.949167
3.552383	0.2041	6,555,308.600510
3.555783	0.204	6,610,632.844806
3.559185	0.2041	6,405,196.632196
3.562587	0.2041	6,260,278.609596
3.565987	0.204	6,281,478.492807
3.569388	0.2041	6,330,093.249425
3.572790	0.2041	6,256,724.264131
3.576190	0.204	6,249,923.824560
3.579592	0.2041	6,252,368.253580
3.582993	0.2041	6,238,960.958322
3.586393	0.204	6,258,288.775070
3.589795	0.2041	6,288,674.977712
