File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/568.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_greenhouse_04
Injection Number	9
Position	6
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/21/2018
Injection Time	1:56:11 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000940
Time Max. (min)	22.995885
Data Points	5880
Detector	MSDevice
Generating Data System	Chromeleon 7.2 SR4 Build 8179 (264636)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,028,437.987991
Signal Max.	1,024,666,319.042480
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406476

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000940	n.a.	2,208,913.424568
3.004340	0.204	2,298,441.380476
3.007742	0.2041	2,486,305.241937
3.011143	0.2041	2,642,723.831351
3.014543	0.204	2,760,609.646672
3.017945	0.2041	2,852,497.093706
3.021347	0.2041	2,946,954.440224
3.024747	0.204	3,012,563.809499
3.028148	0.2041	3,102,421.411115
3.031550	0.2041	3,254,421.446729
3.034950	0.204	3,293,948.480101
3.038352	0.2041	3,317,657.483491
3.041753	0.2041	3,449,294.155427
3.045153	0.204	3,494,294.656865
3.048555	0.2041	3,482,472.018124
3.051957	0.2041	3,581,587.094731
3.055357	0.204	3,611,361.073396
3.058758	0.2041	3,564,124.177429
3.062158	0.204	3,607,032.580236
3.065560	0.2041	3,690,287.753564
3.068962	0.2041	3,705,138.062669
3.072362	0.204	3,726,807.721249
3.075763	0.2041	3,774,526.357969
3.079165	0.2041	3,696,576.935549
3.082565	0.204	3,593,974.445010
3.085967	0.2041	3,545,174.256617
3.089368	0.2041	3,466,682.716377
3.092768	0.204	3,442,468.029573
3.096170	0.2041	3,415,540.134013
3.099572	0.2041	3,361,089.282971
3.102972	0.204	3,411,981.078560
3.106373	0.2041	3,400,099.580891
3.109775	0.2041	3,350,596.426789
3.113175	0.204	3,341,194.087717
3.116577	0.2041	3,322,446.463733
3.119977	0.204	3,345,523.488240
3.123378	0.2041	3,311,933.825212
3.126780	0.2041	3,259,221.795470
3.130180	0.204	3,220,172.748202
3.133582	0.2041	3,203,388.624281
3.136983	0.2041	3,195,746.399129
3.140383	0.204	3,159,864.669689
3.143785	0.2041	3,178,398.812311
3.147187	0.2041	3,139,193.477469
3.150587	0.204	3,113,362.907154
3.153988	0.2041	3,114,887.921247
3.157390	0.2041	3,075,437.106800
3.160790	0.204	3,103,042.778513
3.164192	0.2041	3,123,785.414597
3.167593	0.2041	3,129,587.393295
3.170993	0.204	3,122,255.842448
3.174395	0.2041	3,120,899.237299
3.177797	0.2041	3,192,020.219082
3.181197	0.204	3,133,179.091091
3.184598	0.2041	3,039,631.774060
3.187998	0.204	3,098,263.296392
3.191400	0.2041	3,079,398.842154
3.194802	0.2041	3,080,696.468394
3.198202	0.204	3,147,954.958802
3.201603	0.2041	3,114,596.299481
3.205005	0.2041	3,077,870.878879
3.208405	0.204	3,055,447.249326
3.211807	0.2041	3,030,647.858273
3.215208	0.2041	3,004,413.335084
3.218608	0.204	2,993,641.750846
3.222010	0.2041	2,990,106.918369
3.225412	0.2041	2,978,250.020695
3.228812	0.204	2,955,271.527405
3.232213	0.2041	2,920,463.391020
3.235615	0.2041	2,916,188.045145
3.239015	0.204	2,881,413.803430
3.242417	0.2041	2,901,295.466719
3.245817	0.204	2,913,657.206567
3.249218	0.2041	2,825,216.034776
3.252620	0.2041	2,807,270.312388
3.256020	0.204	2,778,659.529166
3.259422	0.2041	2,736,282.107925
3.262823	0.2041	2,762,386.153879
3.266223	0.204	2,774,253.105988
3.269625	0.2041	2,747,878.396935
3.273027	0.2041	2,726,090.086244
3.276427	0.204	2,709,377.951663
3.279828	0.2041	2,692,919.413454
3.283230	0.2041	2,700,484.568089
3.286630	0.204	2,723,912.142219
3.290032	0.2041	2,665,881.802955
3.293432	0.204	2,592,396.040402
3.296833	0.2041	2,620,475.478000
3.300235	0.2041	2,669,763.675247
3.303635	0.204	2,643,407.099753
3.307037	0.2041	2,609,687.721317
3.310438	0.2041	2,620,651.114711
3.313838	0.204	2,606,784.238379
3.317240	0.2041	2,599,770.788838
3.320642	0.2041	2,569,309.820134
3.324042	0.204	2,597,228.638881
3.327443	0.2041	2,590,019.114771
3.330845	0.2041	2,536,112.452870
3.334245	0.204	2,543,656.908880
3.337647	0.2041	2,491,599.591433
3.341048	0.2041	2,460,408.813529
3.344448	0.204	2,469,975.530105
3.347850	0.2041	2,454,384.635643
3.351252	0.2041	2,465,114.738394
3.354652	0.204	2,499,456.177865
3.358053	0.2041	2,487,414.659728
3.361453	0.204	2,449,424.608137
3.364855	0.2041	2,391,060.707700
3.368257	0.2041	2,359,508.053997
3.371657	0.204	2,364,946.633325
3.375058	0.2041	2,323,412.121692
3.378460	0.2041	2,333,848.386168
3.381860	0.204	2,333,120.021897
3.385262	0.2041	2,302,013.480155
3.388663	0.2041	2,300,733.809323
3.392063	0.204	2,250,275.268132
3.395465	0.2041	2,250,904.868344
3.398867	0.2041	2,290,200.516998
3.402267	0.204	2,291,094.225472
3.405668	0.2041	2,295,102.133746
3.409070	0.2041	2,286,487.969101
3.412470	0.204	2,269,692.859610
3.415872	0.2041	2,269,888.037363
3.419272	0.204	2,228,700.415873
3.422673	0.2041	2,201,410.488492
3.426075	0.2041	2,180,186.103562
3.429475	0.204	2,147,549.033083
3.432877	0.2041	2,183,386.940445
3.436278	0.2041	2,187,314.080835
3.439678	0.204	2,174,524.117470
3.443080	0.2041	2,199,075.301082
3.446482	0.2041	2,152,236.620506
3.449882	0.204	2,137,321.324128
3.453283	0.2041	2,164,846.219225
3.456685	0.2041	2,127,868.838197
3.460085	0.204	2,109,486.859593
3.463487	0.2041	2,107,701.648300
3.466888	0.2041	2,104,336.405700
3.470288	0.204	2,125,369.978752
3.473690	0.2041	2,114,208.407084
3.477090	0.204	2,058,451.503999
3.480492	0.2041	2,066,899.524077
3.483893	0.2041	2,059,445.899610
3.487293	0.204	2,028,437.987991
3.490695	0.2041	2,059,144.260314
3.494097	0.2041	2,067,544.987646
3.497497	0.204	2,074,571.625615
3.500898	0.2041	2,111,973.229170
3.504300	0.2041	2,101,748.648484
3.507700	0.204	2,082,351.038166
3.511102	0.2041	2,084,742.347247
3.514503	0.2041	2,056,057.558745
3.517903	0.204	2,350,002.349346
3.521305	0.2041	2,887,510.172024
3.524707	0.2041	3,089,419.635042
3.528107	0.204	3,029,169.760314
3.531508	0.2041	2,907,193.303373
3.534910	0.2041	2,767,099.739004
3.538310	0.204	2,637,749.484146
3.541712	0.2041	2,497,519.869438
3.545112	0.204	2,397,870.283865
3.548513	0.2041	2,352,499.350415
3.551915	0.2041	2,314,530.681858
3.555315	0.204	2,246,997.267637
3.558717	0.2041	2,176,759.571939
3.562118	0.2041	2,199,876.340462
3.565518	0.204	2,310,988.384618
3.568920	0.2041	2,540,681.154343
3.572322	0.2041	2,943,665.060565
3.575722	0.204	3,350,155.010062
3.579123	0.2041	3,556,687.347516
3.582525	0.2041	3,561,443.483158
3.585925	0.204	3,611,812.975427
3.589327	0.2041	3,654,530.144670
3.592728	0.2041	3,577,120.052669
3.596128	0.204	3,566,543.953582
3.599530	0.2041	3,505,057.767047
3.602930	0.204	3,386,680.625153
3.606332	0.2041	3,327,969.282274
3.609733	0.2041	3,268,977.605610
3.613133	0.204	3,174,954.370645
3.616535	0.2041	3,110,801.524397
3.619937	0.2041	3,142,144.768230
3.623337	0.204	3,129,639.703786
3.626738	0.2041	3,071,038.807390
3.630140	0.2041	3,028,720.729118
3.633540	0.204	2,947,975.510263
3.636942	0.2041	2,877,999.804859
3.640343	0.2041	2,880,862.097701
3.643743	0.204	2,859,805.346565
3.647145	0.2041	2,888,297.561348
3.650547	0.2041	2,922,875.697319
3.653947	0.204	2,848,099.574129
3.657348	0.2041	2,807,366.009564
3.660748	0.204	2,791,556.546146
3.664150	0.2041	2,772,376.709784
3.667552	0.2041	2,749,880.433957
3.670952	0.204	2,747,515.313107
3.674353	0.2041	2,673,711.054724
3.677755	0.2041	2,588,270.203537
3.681155	0.204	2,598,703.163138
3.684557	0.2041	2,541,493.911557
3.687958	0.2041	2,478,561.466516
3.691358	0.204	2,492,475.939241
3.694760	0.2041	2,521,607.683064
3.698162	0.2041	2,552,097.658465
3.701562	0.204	2,558,518.305722
3.704963	0.2041	2,570,538.139132
3.708365	0.2041	2,582,404.870477
3.711765	0.204	2,543,054.142587
3.715167	0.2041	2,572,574.724815
3.718568	0.2041	2,629,525.195104
3.721968	0.204	2,599,622.770177
3.725370	0.2041	2,561,540.101580
3.728770	0.204	2,533,607.212601
3.732172	0.2041	2,537,035.428654
3.735573	0.2041	2,556,079.926936
3.738973	0.204	2,518,708.950449
3.742375	0.2041	2,504,964.355498
3.745777	0.2041	2,533,762.148958
3.749177	0.204	2,524,404.566794
3.752578	0.2041	2,519,665.783854
3.755980	0.2041	2,527,362.120537
3.759380	0.204	2,525,607.590365
3.762782	0.2041	2,562,526.144473
3.766183	0.2041	2,584,472.512137
3.769583	0.204	2,578,029.408763
3.772985	0.2041	2,556,483.642624
3.776387	0.2041	2,565,221.035602
3.779787	0.204	2,623,474.098084
3.783188	0.2041	2,577,890.331044
3.786588	0.204	2,501,194.953248
3.789990	0.2041	2,499,458.954634
3.793392	0.2041	2,510,875.871576
3.796792	0.204	2,541,314.425372
3.800193	0.2041	2,588,771.248385
3.803595	0.2041	2,611,344.353180
3.806995	0.204	2,605,719.695135
3.810397	0.2041	2,617,412.072626
3.813798	0.2041	2,700,977.114502
3.817198	0.204	2,750,336.079168
3.820600	0.2041	2,736,998.532006
3.824002	0.2041	2,778,676.056056
3.827402	0.204	2,792,057.106402
3.830803	0.2041	2,814,608.607177
3.834203	0.204	2,854,137.164701
3.837605	0.2041	2,815,490.287614
3.841007	0.2041	2,813,860.531972
3.844407	0.204	2,860,303.286620
3.847808	0.2041	2,882,912.806959
3.851210	0.2041	2,898,476.551450
3.854610	0.204	2,932,897.676650
3.858012	0.2041	2,917,877.189969
3.861413	0.2041	2,905,454.731592
3.864813	0.204	2,983,062.009720
3.868215	0.2041	3,038,284.401464
3.871617	0.2041	3,021,092.927154
3.875017	0.204	3,034,672.484771
3.878418	0.2041	3,113,184.451281
3.881820	0.2041	3,158,269.692869
3.885220	0.204	3,225,973.177145
3.888622	0.2041	3,340,166.496599
3.892022	0.204	3,441,518.992796
3.895423	0.2041	3,582,224.248342
3.898825	0.2041	3,730,162.768850
3.902225	0.204	3,777,284.261721
3.905627	0.2041	3,773,495.297006
3.909028	0.2041	3,695,105.800675
3.912428	0.204	3,626,930.999740
3.915830	0.2041	3,665,228.588152
3.919232	0.2041	3,658,909.122064
3.922632	0.204	3,683,949.720024
3.926033	0.2041	3,718,452.168649
3.929435	0.2041	3,688,013.288356
3.932835	0.204	3,714,490.503419
3.936237	0.2041	3,774,015.012638
3.939638	0.2041	3,777,851.088708
3.943038	0.204	3,773,752.566076
3.946440	0.2041	3,825,894.608445
3.949842	0.2041	3,896,044.526994
3.953242	0.204	3,925,245.595217
3.956643	0.2041	3,998,842.140953
3.960043	0.204	4,172,411.051568
3.963445	0.2041	4,321,044.160679
3.966847	0.2041	4,367,279.148404
3.970247	0.204	4,349,639.019123
3.973648	0.2041	4,301,062.605968
3.977050	0.2041	4,219,691.285065
3.980450	0.204	4,174,532.029258
3.983852	0.2041	4,151,258.177602
3.987253	0.2041	4,195,339.882623
3.990653	0.204	4,126,406.330703
3.994055	0.2041	3,940,696.358780
3.997457	0.2041	4,004,056.496483
4.000857	0.204	4,040,848.414289
4.004258	0.2041	3,935,326.082434
4.007660	0.2041	3,963,451.352188
4.011060	0.204	3,981,969.967622
4.014462	0.2041	3,909,678.562739
4.017862	0.204	3,883,488.721835
4.021263	0.2041	3,966,709.527570
4.024665	0.2041	4,079,416.457089
4.028065	0.204	4,100,747.314546
4.031467	0.2041	4,146,613.939213
4.034868	0.2041	4,144,187.105702
4.038268	0.204	4,137,466.041158
4.041670	0.2041	4,197,304.961427
4.045072	0.2041	4,137,432.930509
4.048472	0.204	4,130,404.657891
4.051873	0.2041	4,203,683.211935
4.055275	0.2041	4,176,003.589353
4.058675	0.204	4,184,879.111576
4.062077	0.2041	4,305,921.038002
4.065478	0.2041	4,513,875.135308
4.068878	0.204	4,753,285.957048
4.072280	0.2041	4,754,809.883286
4.075680	0.204	4,617,168.917740
4.079082	0.2041	4,486,344.638554
4.082483	0.2041	4,371,204.881218
4.085883	0.204	4,324,797.411781
4.089285	0.2041	4,314,275.659329
4.092687	0.2041	4,255,294.807723
4.096087	0.204	4,250,271.793873
4.099488	0.2041	4,358,168.041391
4.102890	0.2041	4,489,839.096635
4.106290	0.204	4,786,724.210619
4.109692	0.2041	4,983,531.547046
4.113093	0.2041	5,035,317.677507
4.116493	0.204	5,055,964.608821
4.119895	0.2041	5,007,934.315176
4.123297	0.2041	5,005,832.063931
4.126697	0.204	4,999,070.359087
4.130098	0.2041	4,953,257.112622
4.133498	0.204	4,829,142.599871
4.136900	0.2041	4,812,880.644019
4.140302	0.2041	4,855,733.643337
4.143702	0.204	4,813,543.478901
4.147103	0.2041	4,746,034.121610
4.150505	0.2041	4,641,300.642203
4.153905	0.204	4,608,385.099660
4.157307	0.2041	4,579,700.709024
4.160708	0.2041	4,539,076.912535
4.164108	0.204	4,473,866.954213
4.167510	0.2041	4,404,434.514628
4.170912	0.2041	4,368,899.194258
4.174312	0.204	4,262,660.367454
4.177713	0.2041	4,193,659.949180
4.181115	0.2041	4,211,175.933902
4.184515	0.204	4,195,227.041337
4.187917	0.2041	4,222,138.847281
4.191317	0.204	4,271,513.138793
4.194718	0.2041	4,410,015.037097
4.198120	0.2041	4,620,403.130680
4.201520	0.204	4,565,237.370674
4.204922	0.2041	4,460,802.259226
