File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/110.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_15-1
Injection Number	26
Position	126
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	5/18/2019
Injection Time	9:46:56 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000677
Time Max. (min)	22.992243
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	6,734,053.384288
Signal Max.	4,231,467,769.312510
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000677	n.a.	29,914,761.125691
3.004078	0.2041	30,032,457.463013
3.007480	0.2041	30,047,277.800164
3.010880	0.204	29,447,832.561667
3.014282	0.2041	28,723,546.314595
3.017683	0.2041	28,350,801.787424
3.021083	0.204	27,976,414.624303
3.024485	0.2041	27,602,523.436010
3.027885	0.204	27,444,121.608927
3.031287	0.2041	27,146,494.444124
3.034688	0.2041	26,687,176.412033
3.038088	0.204	26,316,135.322840
3.041490	0.2041	26,021,926.971196
3.044892	0.2041	25,654,057.647873
3.048292	0.204	25,107,246.093989
3.051693	0.2041	24,879,287.982097
3.055095	0.2041	24,656,151.139894
3.058495	0.204	24,141,672.686924
3.061897	0.2041	23,952,106.934732
3.065298	0.2041	23,738,663.036938
3.068698	0.204	23,144,191.816704
3.072100	0.2041	23,105,929.758030
3.075502	0.2041	23,265,286.404649
3.078902	0.204	22,669,379.628181
3.082303	0.2041	22,510,200.647172
3.085705	0.2041	22,670,270.351194
3.089105	0.204	22,269,456.009674
3.092507	0.2041	21,851,711.043425
3.095907	0.204	21,648,556.591390
3.099308	0.2041	21,453,352.553200
3.102710	0.2041	21,077,478.479740
3.106110	0.204	20,437,914.740816
3.109512	0.2041	19,869,468.492300
3.112913	0.2041	20,033,408.783831
3.116313	0.204	19,861,176.442593
3.119715	0.2041	19,111,199.851418
3.123117	0.2041	19,051,530.117093
3.126517	0.204	19,009,199.534128
3.129918	0.2041	18,600,468.173223
3.133320	0.2041	18,324,838.074381
3.136720	0.204	18,280,458.225480
3.140122	0.2041	18,157,756.971942
3.143523	0.2041	17,959,524.626242
3.146923	0.204	17,980,517.995770
3.150325	0.2041	17,917,083.592358
3.153727	0.2041	17,715,186.931963
3.157127	0.204	17,617,162.674521
3.160528	0.2041	17,581,334.703876
3.163928	0.204	17,568,675.141910
3.167330	0.2041	17,535,779.002024
3.170732	0.2041	17,505,971.806029
3.174132	0.204	17,547,397.630421
3.177533	0.2041	17,545,645.404635
3.180935	0.2041	17,212,006.659681
3.184335	0.204	16,954,823.608638
3.187737	0.2041	16,904,183.442381
3.191138	0.2041	16,578,879.032911
3.194538	0.204	16,424,719.221716
3.197940	0.2041	16,217,166.228614
3.201342	0.2041	16,016,011.089570
3.204742	0.204	15,828,330.803463
3.208143	0.2041	15,492,024.088061
3.211545	0.2041	15,374,956.879539
3.214945	0.204	15,270,894.657521
3.218347	0.2041	15,358,648.315004
3.221748	0.2041	15,239,585.882814
3.225148	0.204	14,860,708.732564
3.228550	0.2041	14,693,388.864517
3.231950	0.204	14,548,797.044194
3.235352	0.2041	14,407,503.084353
3.238753	0.2041	14,356,603.041838
3.242153	0.204	14,409,896.698630
3.245555	0.2041	14,499,942.020246
3.248957	0.2041	14,486,944.743646
3.252357	0.204	14,286,919.788171
3.255758	0.2041	14,191,346.612267
3.259160	0.2041	13,981,667.351618
3.262560	0.204	13,729,787.409810
3.265962	0.2041	13,704,851.046371
3.269363	0.2041	13,464,135.725282
3.272763	0.204	13,298,966.336313
3.276165	0.2041	13,229,567.648650
3.279567	0.2041	13,038,956.982932
3.282967	0.204	12,741,482.240530
3.286368	0.2041	12,812,293.302398
3.289770	0.2041	12,963,023.317721
3.293170	0.204	12,666,289.727600
3.296572	0.2041	12,649,583.446053
3.299972	0.204	12,716,751.765260
3.303373	0.2041	12,593,495.346527
3.306775	0.2041	12,541,775.811787
3.310175	0.204	12,514,622.652175
3.313577	0.2041	12,529,069.271571
3.316978	0.2041	12,442,778.791302
3.320378	0.204	12,249,678.331257
3.323780	0.2041	12,137,854.818324
3.327182	0.2041	12,022,971.217634
3.330582	0.204	12,000,265.995263
3.333983	0.2041	11,885,744.312014
3.337385	0.2041	11,678,176.694324
3.340785	0.204	11,713,038.624592
3.344187	0.2041	11,714,982.710034
3.347588	0.2041	11,567,869.813081
3.350988	0.204	11,412,556.749354
3.354390	0.2041	11,437,201.236252
3.357792	0.2041	11,389,437.613554
3.361192	0.204	11,124,090.550928
3.364593	0.2041	11,081,195.565737
3.367993	0.204	11,101,500.621166
3.371395	0.2041	10,869,239.838339
3.374797	0.2041	10,677,768.713180
3.378197	0.204	10,727,622.557384
3.381598	0.2041	10,774,423.737467
3.385000	0.2041	10,597,992.704062
3.388400	0.204	10,551,146.663605
3.391802	0.2041	10,551,386.115681
3.395203	0.2041	10,293,512.800648
3.398603	0.204	10,171,956.808008
3.402005	0.2041	10,284,066.715383
3.405407	0.2041	10,277,356.041198
3.408807	0.204	10,187,430.304518
3.412208	0.2041	10,188,997.699416
3.415610	0.2041	10,181,161.529275
3.419010	0.204	10,102,592.383066
3.422412	0.2041	9,963,288.825519
3.425813	0.2041	10,006,102.124912
3.429213	0.204	10,122,463.417826
3.432615	0.2041	9,961,976.804500
3.436015	0.204	9,883,407.499469
3.439417	0.2041	9,912,802.831825
3.442818	0.2041	9,827,996.891466
3.446218	0.204	9,774,973.484249
3.449620	0.2041	9,499,831.031679
3.453022	0.2041	9,295,559.574451
3.456422	0.204	9,210,218.754170
3.459823	0.2041	8,733,029.444868
3.463225	0.2041	8,273,104.066958
3.466625	0.204	8,063,244.222833
3.470027	0.2041	7,846,133.038339
3.473428	0.2041	7,565,558.803304
3.476828	0.204	7,474,737.271214
3.480230	0.2041	7,506,109.790208
3.483632	0.2041	7,339,073.820430
3.487032	0.204	7,224,579.988549
3.490433	0.2041	7,125,243.489146
3.493835	0.2041	6,942,694.409391
3.497235	0.204	6,989,186.293490
3.500637	0.2041	7,058,560.127058
3.504037	0.204	7,095,979.581154
3.507438	0.2041	7,161,670.705391
3.510840	0.2041	7,106,992.242527
3.514240	0.204	7,085,412.445765
3.517642	0.2041	7,144,944.625214
3.521043	0.2041	7,291,116.542520
3.524443	0.204	7,351,631.932861
3.527845	0.2041	7,358,137.023862
3.531247	0.2041	7,411,639.899103
3.534647	0.204	7,511,150.254321
3.538048	0.2041	7,696,772.815813
3.541450	0.2041	7,704,910.464644
3.544850	0.204	7,545,436.936761
3.548252	0.2041	7,496,362.100650
3.551653	0.2041	7,439,200.372094
3.555053	0.204	7,241,750.739259
3.558455	0.2041	7,038,555.824998
3.561857	0.2041	6,941,415.684459
3.565257	0.204	6,972,400.388143
3.568658	0.2041	6,958,818.004038
3.572058	0.204	7,025,934.822902
3.575460	0.2041	6,986,954.364029
3.578862	0.2041	6,971,767.245465
3.582262	0.204	7,144,791.935544
3.585663	0.2041	7,038,832.101980
3.589065	0.2041	6,940,665.880009
3.592465	0.204	6,948,416.702453
