File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/729.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_16-2
Injection Number	51
Position	20
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/21/2019
Injection Time	12:30:08 PM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.001335
Time Max. (min)	22.996278
Data Points	5880
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	3,567,572.473171
Signal Max.	2,488,202,637.715850
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406474

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.001335	n.a.	11,430,797.421654
3.004737	0.2041	11,433,602.583649
3.008138	0.2041	11,381,867.002025
3.011538	0.204	11,147,470.521738
3.014940	0.2041	11,034,020.575835
3.018342	0.2041	11,032,078.314249
3.021742	0.204	10,935,369.191773
3.025143	0.2041	10,763,383.689617
3.028545	0.2041	10,689,510.691803
3.031945	0.204	10,710,318.875428
3.035347	0.2041	10,558,126.779808
3.038747	0.204	10,419,379.722148
3.042148	0.2041	10,226,878.631172
3.045550	0.2041	10,121,916.010204
3.048950	0.204	10,161,204.036405
3.052352	0.2041	10,074,953.389155
3.055753	0.2041	9,973,532.596294
3.059153	0.204	9,941,075.632686
3.062555	0.2041	9,860,498.135792
3.065957	0.2041	9,849,862.965052
3.069357	0.204	9,870,761.325782
3.072758	0.2041	9,654,117.805131
3.076160	0.2041	9,526,841.677269
3.079560	0.204	9,471,301.501802
3.082962	0.2041	9,290,979.915932
3.086363	0.2041	9,149,475.273165
3.089763	0.204	9,017,675.984244
3.093165	0.2041	8,657,472.431098
3.096565	0.204	8,392,224.681081
3.099967	0.2041	8,338,917.001972
3.103368	0.2041	8,049,054.195788
3.106768	0.204	7,996,420.975723
3.110170	0.2041	8,103,516.199952
3.113572	0.2041	7,829,521.708408
3.116972	0.204	7,550,849.399289
3.120373	0.2041	7,469,290.272075
3.123775	0.2041	7,412,680.435987
3.127175	0.204	7,269,588.423109
3.130577	0.2041	7,176,220.769084
3.133978	0.2041	7,240,514.047058
3.137378	0.204	7,225,238.464794
3.140780	0.2041	7,023,511.528844
3.144182	0.2041	6,892,742.157650
3.147582	0.204	6,872,503.038659
3.150983	0.2041	6,777,823.706911
3.154383	0.204	6,704,888.885541
3.157785	0.2041	6,770,363.725697
3.161187	0.2041	6,708,071.600063
3.164587	0.204	6,603,826.739115
3.167988	0.2041	6,615,284.719062
3.171390	0.2041	6,588,398.602862
3.174790	0.204	6,470,848.212496
3.178192	0.2041	6,428,224.816518
3.181593	0.2041	6,484,021.392704
3.184993	0.204	6,390,534.687493
3.188395	0.2041	6,295,485.586864
3.191797	0.2041	6,303,328.568411
3.195197	0.204	6,285,428.508586
3.198598	0.2041	6,253,974.862189
3.202000	0.2041	6,154,112.781450
3.205400	0.204	6,093,008.199091
3.208802	0.2041	6,074,187.198387
3.212202	0.204	6,019,417.190948
3.215603	0.2041	6,165,332.320412
3.219005	0.2041	6,141,225.748477
3.222405	0.204	5,900,087.607532
3.225807	0.2041	5,994,594.583295
3.229208	0.2041	6,104,801.000395
3.232608	0.204	5,982,784.451492
3.236010	0.2041	5,799,012.377470
3.239412	0.2041	5,760,084.444117
3.242812	0.204	5,855,193.553237
3.246213	0.2041	5,848,257.407463
3.249615	0.2041	5,777,436.777281
3.253015	0.204	5,701,229.512968
3.256417	0.2041	5,581,958.428897
3.259817	0.204	5,636,792.879241
3.263218	0.2041	5,696,935.124613
3.266620	0.2041	5,512,747.970108
3.270020	0.204	5,553,007.375629
3.273422	0.2041	5,576,859.710469
3.276823	0.2041	5,398,857.861199
3.280223	0.204	5,423,738.257445
3.283625	0.2041	5,391,483.352704
3.287027	0.2041	5,265,740.405060
3.290427	0.204	5,362,029.945155
3.293828	0.2041	5,426,701.841515
3.297230	0.2041	5,316,914.830906
3.300630	0.204	5,247,123.270813
3.304032	0.2041	5,276,958.817135
3.307433	0.2041	5,292,990.571718
3.310833	0.204	5,243,753.429540
3.314235	0.2041	5,170,242.938327
3.317635	0.204	5,044,322.994581
3.321037	0.2041	5,060,808.423579
3.324438	0.2041	5,129,327.719563
3.327838	0.204	4,985,032.834634
3.331240	0.2041	4,858,514.818321
3.334642	0.2041	4,912,221.187220
3.338042	0.204	4,958,300.863550
3.341443	0.2041	4,904,321.796654
3.344845	0.2041	4,924,408.153762
3.348245	0.204	4,948,626.533469
3.351647	0.2041	4,887,184.104365
3.355048	0.2041	4,767,218.969477
3.358448	0.204	4,700,975.791634
3.361850	0.2041	4,776,483.825348
3.365252	0.2041	4,815,257.572054
3.368652	0.204	4,810,190.420271
3.372053	0.2041	4,748,410.558417
3.375455	0.2041	4,644,422.316822
3.378855	0.204	4,615,327.406012
3.382257	0.2041	4,577,450.207040
3.385657	0.204	4,571,758.000853
3.389058	0.2041	4,610,812.655338
3.392460	0.2041	4,549,933.362402
3.395860	0.204	4,449,859.729498
3.399262	0.2041	4,482,972.782246
3.402663	0.2041	4,532,316.795448
3.406063	0.204	4,464,265.816889
3.409465	0.2041	4,511,437.546338
3.412867	0.2041	4,436,987.420071
3.416267	0.204	4,336,621.392040
3.419668	0.2041	4,444,057.649169
3.423070	0.2041	4,459,391.158720
3.426470	0.204	4,482,511.832296
3.429872	0.2041	4,310,985.537302
3.433273	0.2041	4,132,736.011657
3.436673	0.204	4,235,243.391897
3.440075	0.2041	4,267,947.885111
3.443475	0.204	4,281,257.481097
3.446877	0.2041	4,249,989.704356
3.450278	0.2041	4,179,956.441971
3.453678	0.204	4,271,940.315741
3.457080	0.2041	4,306,832.919746
3.460482	0.2041	4,187,780.281781
3.463882	0.204	4,188,997.529148
3.467283	0.2041	4,250,795.840809
3.470685	0.2041	4,253,350.129563
3.474085	0.204	4,164,123.479109
3.477487	0.2041	4,049,562.250540
3.480888	0.2041	4,010,067.280637
3.484288	0.204	4,026,591.334759
3.487690	0.2041	4,119,741.467742
3.491092	0.2041	4,095,833.306384
3.494492	0.204	4,057,874.083320
3.497893	0.2041	4,040,983.555152
3.501293	0.204	3,999,181.455801
3.504695	0.2041	4,105,797.517357
3.508097	0.2041	4,051,762.501127
3.511497	0.204	3,921,397.373870
3.514898	0.2041	3,971,409.688524
3.518300	0.2041	3,997,986.206906
3.521700	0.204	3,981,191.942591
3.525102	0.2041	3,959,397.233165
3.528503	0.2041	4,040,219.139835
3.531903	0.204	4,180,679.754481
3.535305	0.2041	4,235,964.090941
3.538707	0.2041	4,310,346.736394
3.542107	0.204	4,287,734.253836
3.545508	0.2041	4,239,858.702482
3.548910	0.2041	4,273,607.218707
3.552310	0.204	4,238,276.679269
3.555712	0.2041	4,231,571.160090
3.559112	0.204	4,178,481.973251
3.562513	0.2041	4,014,378.241006
3.565915	0.2041	3,922,889.199086
3.569315	0.204	3,888,999.330313
3.572717	0.2041	3,843,938.429105
3.576118	0.2041	3,886,941.242821
3.579518	0.204	3,980,332.356517
3.582920	0.2041	3,883,292.702292
3.586322	0.2041	3,821,308.452310
3.589722	0.204	3,864,415.556377
3.593123	0.2041	3,878,375.900601
3.596525	0.2041	3,914,599.100268
3.599925	0.204	3,927,084.695450
3.603327	0.2041	3,907,425.168523
3.606728	0.2041	3,941,631.186277
3.610128	0.204	3,995,646.368353
