File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/824.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_rrv_no_is
Injection Number	2
Position	2
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	8/25/2018
Injection Time	4:28:23 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000518
Time Max. (min)	22.995462
Data Points	5880
Detector	MSDevice
Generating Data System	Chromeleon 7.2 SR4 Build 8179 (264636)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	462,712.984359
Signal Max.	435,057,455.362007
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406474

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000518	n.a.	1,080,964.177864
3.003918	0.204	1,085,358.228119
3.007320	0.2041	1,110,705.210748
3.010720	0.204	1,111,191.640104
3.014122	0.2041	1,094,604.851339
3.017523	0.2041	1,087,820.564250
3.020923	0.204	1,057,766.955415
3.024325	0.2041	1,071,266.903023
3.027727	0.2041	1,084,820.114553
3.031127	0.204	1,031,888.132824
3.034528	0.2041	999,346.666667
3.037930	0.2041	1,003,559.139741
3.041330	0.204	1,006,531.589959
3.044732	0.2041	996,494.094664
3.048133	0.2041	955,600.022315
3.051533	0.204	937,232.107385
3.054935	0.2041	958,653.039452
3.058337	0.2041	952,618.797400
3.061737	0.204	956,798.406421
3.065138	0.2041	967,902.409672
3.068538	0.204	961,404.208218
3.071940	0.2041	938,043.699966
3.075342	0.2041	908,366.835225
3.078742	0.204	898,233.546170
3.082143	0.2041	887,458.677223
3.085545	0.2041	898,579.804732
3.088945	0.204	905,230.171339
3.092347	0.2041	884,736.889687
3.095748	0.2041	861,458.131634
3.099148	0.204	838,570.802033
3.102550	0.2041	808,674.216693
3.105952	0.2041	792,661.445257
3.109352	0.204	806,041.206640
3.112753	0.2041	801,976.648662
3.116155	0.2041	796,086.338745
3.119555	0.204	805,775.922666
3.122957	0.2041	768,890.038617
3.126358	0.2041	740,041.927625
3.129758	0.204	745,328.373100
3.133160	0.2041	757,046.774791
3.136560	0.204	753,349.871991
3.139962	0.2041	731,061.830139
3.143363	0.2041	734,568.145412
3.146763	0.204	709,988.069493
3.150165	0.2041	695,341.680290
3.153567	0.2041	706,998.249702
3.156967	0.204	701,681.559643
3.160368	0.2041	695,409.807946
3.163770	0.2041	697,724.498689
3.167170	0.204	703,063.622671
3.170572	0.2041	680,974.937721
3.173973	0.2041	686,075.245166
3.177373	0.204	693,161.215177
3.180775	0.2041	684,452.496172
3.184177	0.2041	696,257.523249
3.187577	0.204	676,437.831728
3.190978	0.2041	668,577.435418
3.194378	0.204	669,568.470519
3.197780	0.2041	650,579.980832
3.201182	0.2041	655,245.698620
3.204582	0.204	669,949.589424
3.207983	0.2041	665,629.156580
3.211385	0.2041	653,744.203823
3.214785	0.204	661,787.384586
3.218187	0.2041	665,543.872777
3.221588	0.2041	652,043.497070
3.224988	0.204	654,963.284471
3.228390	0.2041	647,749.728090
3.231792	0.2041	625,520.793219
3.235192	0.204	630,404.513805
3.238593	0.2041	637,656.819563
3.241995	0.2041	646,068.198556
