mite_no,time_sec,left,right,choice,trial,date,experiment,control,no_response,concentration,rose_label,RRV,chs
1,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
2,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
3,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
4,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
5,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
6,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
7,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
8,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
9,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
10,NA,NA,NA,experiment,rrv,2017-04-24T00:00:00Z,1,0,0,NA,101,+,1
11,NA,NA,NA,control,rrv,2017-04-24T00:00:00Z,0,1,0,NA,101,+,-1
12,NA,NA,NA,control,rrv,2017-04-24T00:00:00Z,0,1,0,NA,101,+,-1
13,NA,NA,NA,control,rrv,2017-04-24T00:00:00Z,0,1,0,NA,101,+,-1
14,NA,NA,NA,control,rrv,2017-04-24T00:00:00Z,0,1,0,NA,101,+,-1
15,NA,NA,NA,control,rrv,2017-04-24T00:00:00Z,0,1,0,NA,101,+,-1
16,NA,NA,NA,control,rrv,2017-04-24T00:00:00Z,0,1,0,NA,101,+,-1
17,NA,NA,NA,control,rrv,2017-04-24T00:00:00Z,0,1,0,NA,101,+,-1
18,NA,NA,NA,control,rrv,2017-04-24T00:00:00Z,0,1,0,NA,101,+,-1
19,NA,NA,NA,no choice,rrv,2017-04-24T00:00:00Z,0,0,1,NA,101,+,0
20,NA,NA,NA,no choice,rrv,2017-04-24T00:00:00Z,0,0,1,NA,101,+,0
21,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
22,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
23,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
24,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
25,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
26,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
27,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
28,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
29,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
30,NA,NA,NA,experiment,rrv,2017-04-25T00:00:00Z,1,0,0,NA,101,+,1
31,NA,NA,NA,control,rrv,2017-04-25T00:00:00Z,0,1,0,NA,101,+,-1
32,NA,NA,NA,control,rrv,2017-04-25T00:00:00Z,0,1,0,NA,101,+,-1
33,NA,NA,NA,control,rrv,2017-04-25T00:00:00Z,0,1,0,NA,101,+,-1
34,NA,NA,NA,control,rrv,2017-04-25T00:00:00Z,0,1,0,NA,101,+,-1
35,NA,NA,NA,control,rrv,2017-04-25T00:00:00Z,0,1,0,NA,101,+,-1
36,NA,NA,NA,control,rrv,2017-04-25T00:00:00Z,0,1,0,NA,101,+,-1
37,NA,NA,NA,control,rrv,2017-04-25T00:00:00Z,0,1,0,NA,101,+,-1
38,NA,NA,NA,no choice,rrv,2017-04-25T00:00:00Z,0,0,1,NA,101,+,0
39,NA,NA,NA,no choice,rrv,2017-04-25T00:00:00Z,0,0,1,NA,101,+,0
40,NA,NA,NA,no choice,rrv,2017-04-25T00:00:00Z,0,0,1,NA,101,+,0
41,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
42,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
43,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
44,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
45,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
46,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
47,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
48,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
49,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
50,NA,NA,NA,experiment,rrv,2017-04-26T00:00:00Z,1,0,0,NA,202,+,1
51,NA,NA,NA,control,rrv,2017-04-26T00:00:00Z,0,1,0,NA,202,+,-1
52,NA,NA,NA,control,rrv,2017-04-26T00:00:00Z,0,1,0,NA,202,+,-1
53,NA,NA,NA,control,rrv,2017-04-26T00:00:00Z,0,1,0,NA,202,+,-1
54,NA,NA,NA,control,rrv,2017-04-26T00:00:00Z,0,1,0,NA,202,+,-1
55,NA,NA,NA,control,rrv,2017-04-26T00:00:00Z,0,1,0,NA,202,+,-1
