Treatment,Block,2018-08-31,2018-09-07,2018-09-14,2018-09-21,2018-09-28,2018-10-05,2018-10-12,2018-10-19,2018-10-26,2018-11-02,2018-12-19,AUDPC,Final disease severity (%),Sample #,Plant,RRD,P.fructiphilus,Other Mites,Field
Water,1,0,0,0,0,0,0,1.5,1.5,4.5,1.5,17.5,124.25,17.5,1,W1,S,2,0,Athens
Water,2,0,0,0,0,0,0,0,1.5,4.5,1.5,0,52.5,0,2,W2,A?,0,0,Athens
Water,3,0,0,0,0,0,0,0,1.5,4.5,1.5,1.5,57.75,1.5,3,W3,A,0,0,Athens
Water,4,0,0,0,0,0,0,1.5,1.5,0,1.5,0,31.5,0,4,W4,A,0,0,Athens
Water,5,0,0,0,0,0,0,1.5,1.5,0,0,9,52.5,9,5,W5,S,0,0,Athens
Water,6,0,0,0,0,0,0,1.5,1.5,1.5,1.5,9,73.5,9,6,W6,S,1,1,Athens
Water,7,0,0,0,0,0,0,0,0,1.5,1.5,1.5,26.25,1.5,7,W7,A,0,0,Athens
Water,8,0,0,0,0,0,0,0,0,1.5,1.5,4.5,36.75,4.5,8,W8,A?,0,0,Athens
Water,9,0,0,0,0,0,0,1.5,1.5,1.5,1.5,0,42,0,9,W9,A,0,0,Athens
Water,10,0,0,0,0,0,0,0,1.5,1.5,1.5,0,31.5,0,10,W10,A?,0,0,Athens
Water,11,0,0,0,0,0,1.5,0,0,1.5,1.5,1.5,36.75,1.5,11,W11,A?,0,0,Athens
Water,12,0,0,0,0,0,0,1.5,1.5,1.5,1.5,17.5,103.25,17.5,12,W12,S,0,1,Athens
Low,1,0,0,0,0,0,0,0,1.5,4.5,1.5,0,52.5,0,13,L1,A,0,0,Athens
Low,2,0,0,0,0,0,0,0,0,1.5,1.5,4.5,36.75,4.5,14,L2,A,0,0,Athens
Low,3,0,0,0,0,0,0,4.5,1.5,4.5,0,1.5,78.75,1.5,15,L3,S,0,0,Athens
Low,4,0,0,0,0,0,1.5,1.5,1.5,0,0,1.5,36.75,1.5,16,L4,A,0,0,Athens
Low,5,0,0,0,0,0,1.5,0,1.5,0,0,17.5,82.25,17.5,17,L5,S,0,0,Athens
Low,6,0,0,0,0,0,0,0,0,0,1.5,9,42,9,18,L6,A,0,0,Athens
Low,7,0,0,0,1.5,1.5,1.5,0,0,1.5,1.5,17.5,113.75,17.5,19,L7,S,0,0,Athens
Low,8,0,0,0,0,1.5,1.5,4.5,1.5,1.5,1.5,4.5,99.75,4.5,20,L8,A,0,0,Athens
Low,9,0,0,0,0,0,0,1.5,0,0,0,17.5,71.75,17.5,21,L9,S,0,0,Athens
Low,10,0,0,0,0,0,0,1.5,1.5,0,1.5,4.5,47.25,4.5,22,L10,A,0,0,Athens
Low,11,0,0,0,0,0,0,0,1.5,4.5,1.5,0,52.5,0,23,L11,A,0,0,Athens
Low,12,0,0,0,0,0,1.5,0,0,1.5,1.5,1.5,36.75,1.5,24,L12,A,0,0,Athens
High,1,0,0,0,0,0,0,1.5,0,4.5,4.5,1.5,78.75,1.5,25,H1,S?,0,0,Athens
High,2,0,0,0,0,0,1.5,0,0,0,0,17.5,71.75,17.5,26,H2,S,0,0,Athens
High,3,0,0,0,0,0,0,1.5,1.5,1.5,1.5,17.5,103.25,17.5,27,H3,S,0,0,Athens
High,4,0,0,0,0,0,0,0,0,1.5,1.5,1.5,26.25,1.5,28,H4,A,0,0,Athens
High,5,0,0,0,0,0,0,0,1.5,1.5,1.5,4.5,47.25,4.5,29,H5,S,0,0,Athens
High,6,0,0,0,0,0,0,0,1.5,1.5,1.5,0,31.5,0,30,H6,A,0,0,Athens
High,7,0,0,0,0,0,0,0,0,0,1.5,4.5,26.25,4.5,31,H7,S,0,0,Athens
High,8,0,0,0,1.5,1.5,1.5,1.5,1.5,4.5,4.5,62.5,334.25,62.5,32,H8,S,1,0,Athens
High,9,0,0,0,0,0,0,1.5,1.5,1.5,1.5,17.5,103.25,17.5,33,H9,S,0,0,Athens
High,10,0,0,0,0,0,1.5,1.5,0,1.5,1.5,0,42,0,34,H10,A,0,0,Athens
High,11,0,0,0,0,0,0,0,0,0,0,1.5,5.25,1.5,35,H11,A,0,0,Athens
High,12,0,0,0,0,0,1.5,0,0,0,0,0,10.5,0,36,H12,A,0,0,Athens
NoTrt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,C1,A,0,0,Athens
NoTrt,2,0,0,0,0,0,0,0,0,0,0,1.5,5.25,1.5,38,C2,A,0,0,Athens
NoTrt,3,0,0,0,0,0,0,0,0,0,0,0,0,0,39,C3,A,0,0,Athens
NoTrt,4,0,0,0,0,0,0,0,0,0,0,1.5,5.25,1.5,40,C4,A,0,0,Athens
NoTrt,5,0,0,0,0,0,0,0,0,0,0,0,0,0,41,C5,A,0,0,Athens
NoTrt,6,0,0,0,0,0,0,0,0,0,0,0,0,0,42,C6,A,0,0,Athens
NoTrt,7,0,0,0,0,0,0,0,0,0,0,0,0,0,43,C7,A,0,0,Athens
NoTrt,8,0,0,0,0,0,0,0,0,0,0,0,0,0,44,C8,A,0,0,Athens
NoTrt,9,0,0,0,0,0,0,0,0,0,0,0,0,0,45,C9,A,0,0,Athens
NoTrt,10,0,0,0,0,0,0,0,0,0,0,1.5,5.25,1.5,46,C10,A,0,0,Athens
NoTrt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,47,C11,A,0,0,Athens
NoTrt,12,0,0,0,0,0,0,0,0,0,0,0,0,0,48,C12,A,0,0,Athens
