ID,Date,Month,mites/g,erios/g,grams_dry_weight,Eriophyoids,Tetranychoids,Phytoseiids,Other Mites,Block,Treatment,Field,N,tetranychoids/plant,tet_totals,tet_sd,tet_se,phytoseiids/plant,pred_totals,erios/plant,erios/plant/g,erio_totals,erio_sd,n_samples
Pheno 1,2021-05-26T00:00:00Z,May,0.3856239395341663,2.9307419404596637,12.966,38,6,1,5,A,Kontos,Tallahassee,48,2.4166666666666665,116,0.3342186823915959,0.02931291755937782,0.125,6,1.7769230769230768,NA,231,0.11858423927825991,130
Pheno 2,2021-05-26T00:00:00Z,May,0.3465804066543438,6.180683918669131,17.312,107,5,4,6,A,Water,Tallahassee,48,5.145833333333333,247,0.7192268307304401,0.06382106099953776,0.3125,15,22.519685039370078,NA,2860,0.6260881043837058,127
Pheno 3,2021-05-26T00:00:00Z,May,0.719225449515906,0.8298755186721992,18.075,15,7,0,13,A,Mites,Tallahassee,48,4.208333333333333,202,0.7964348753277306,0.07012218078116356,0.4375,21,23.9921875,NA,3071,0.7093220297257066,129
Pheno 4,2021-05-26T00:00:00Z,May,0.05544774050457444,0.33268644302744665,18.035,6,2,0,1,A,MA,Tallahassee,48,5.404255319148936,254,0.9368348704377336,0.13522046615836342,0.625,30,59.083333333333336,8.56,2836,0.9966606864886575,48
Pheno 5,2021-05-26T00:00:00Z,May,0.06256647688168679,0.25026590752674716,15.983,4,0,0,1,A,Actigard,Tallahassee,48,5.895833333333333,283,1.1468040697817936,0.10097046826172941,0.4375,21,18.651162790697676,NA,2406,0.6152784190761346,129
Pheno 6,2021-05-26T00:00:00Z,May,0.2080876742734272,3.1906776721925505,14.417,46,0,0,3,A,Water,Tallahassee,48,5.145833333333333,247,0.7192268307304401,0.06382106099953776,0.3125,15,22.519685039370078,NA,2860,0.6260881043837058,127
Pheno 7,2021-05-26T00:00:00Z,May,0.16314100821143077,0.16314100821143077,18.389,3,0,0,3,A,Kontos,Tallahassee,48,2.4166666666666665,116,0.3342186823915959,0.02931291755937782,0.125,6,1.7769230769230768,NA,231,0.11858423927825991,130
Pheno 8,2021-05-26T00:00:00Z,May,0.3498338289312577,6.2095504635298235,11.434,71,2,0,4,A,Mites,Tallahassee,48,4.208333333333333,202,0.7964348753277306,0.07012218078116356,0.4375,21,23.9921875,NA,3071,0.7093220297257066,129
Pheno 9,2021-05-26T00:00:00Z,May,0.14778325123152708,1.3300492610837438,20.3,27,1,2,3,A,MA,Tallahassee,48,5.404255319148936,254,0.9368348704377336,0.13522046615836342,0.625,30,59.083333333333336,8.56,2836,0.9966606864886575,48
Pheno 10,2021-05-26T00:00:00Z,May,0.21504220203214883,0.6451266060964465,18.601,12,5,1,4,A,Actigard,Tallahassee,48,5.895833333333333,283,1.1468040697817936,0.10097046826172941,0.4375,21,18.651162790697676,NA,2406,0.6152784190761346,129
