sample_no,id,eriophyoids,p_fructiphilus,other_mites,total_mites,rose_spp,symptoms,grams_dry_weight,shade,rrv,city,state,county,lon,lat,lon_lat,collector,date,month,year,notes
1,uk bfd,0,No,0,0,Unknown,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-02-26T00:00:00Z,February,2017,NA
2,1F tlhs,0,No,0,0,RC,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-02-26T00:00:00Z,February,2017,NA
3,1L tlhs,0,No,0,0,RC,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-02-26T00:00:00Z,February,2017,NA
4,1LA tlhs,0,No,0,0,RC,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-02-26T00:00:00Z,February,2017,NA
5,1F mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
6,1L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
7,2F mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
8,2L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
9,3F mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
10,3L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
11,4F mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
12,4L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
13,5F mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
14,5L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
15,6L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
16,7L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
17,8L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-01T00:00:00Z,March,2017,NA
18,1 L A Tville,0,No,0,0,Rl,No,NA,NA,No,Thomasville,GA,NA,-84.14334421,30.7087194,"-84.14334421, 30.7087194",Derrick Conover,2017-03-09T00:00:00Z,March,2017,NA
19,1 LB Tville,0,No,0,0,Rl,No,NA,NA,No,Thomasville,GA,NA,-84.14334421,30.7087194,"-84.14334421, 30.7087194",Derrick Conover,2017-03-09T00:00:00Z,March,2017,NA
20,1 F Tville,0,No,0,0,Rl,No,NA,NA,No,Thomasville,GA,NA,-84.14334421,30.7087194,"-84.14334421, 30.7087194",Derrick Conover,2017-03-09T00:00:00Z,March,2017,NA
21,2 F Tville,0,No,0,0,Rl,No,NA,NA,No,Thomasville,GA,NA,-83.94611134,30.86205357,"-83.94611134, 30.86205357",Derrick Conover,2017-03-09T00:00:00Z,March,2017,NA
22,2 L Tville,0,No,0,0,Rl,No,NA,NA,No,Thomasville,GA,NA,-83.94611134,30.86205357,"-83.94611134, 30.86205357",Derrick Conover,2017-03-09T00:00:00Z,March,2017,NA
23,3 F Tville,0,No,0,0,Rl,No,NA,NA,No,Climax,GA,NA,-84.41342194,30.83692871,"-84.41342194, 30.83692871",Derrick Conover,2017-03-09T00:00:00Z,March,2017,NA
24,3 L tville,0,No,0,0,Rl,No,NA,NA,No,Climax,GA,NA,-84.41342194,30.83692871,"-84.41342194, 30.83692871",Derrick Conover,2017-03-09T00:00:00Z,March,2017,NA
25,1L wkl,0,No,0,0,Rl,No,NA,NA,No,Hilliardville,FL,NA,-84.39651401,30.28456265,"-84.39651401, 30.28456265",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
26,1 LA wkl,0,No,0,0,Rl,No,NA,NA,No,Hilliardville,FL,NA,-84.39651401,30.28456265,"-84.39651401, 30.28456265",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
27,1LB wkl,0,No,0,0,Rl,No,NA,NA,No,Hilliardville,FL,NA,-84.39651401,30.28456265,"-84.39651401, 30.28456265",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
28,2L wkl,0,No,0,0,Rl,No,NA,NA,No,Hilliardville,FL,NA,-84.39651401,30.28456265,"-84.39651401, 30.28456265",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
29,2F wkl,0,No,0,0,Rl,No,NA,NA,No,Hilliardville,FL,NA,-84.39651401,30.28456265,"-84.39651401, 30.28456265",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
30,3L wkl,0,No,0,0,Rl,No,NA,NA,No,Hilliardville,FL,NA,-84.39651401,30.28456265,"-84.39651401, 30.28456265",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
31,3F wkl,0,No,0,0,Rl,No,NA,NA,No,Hilliardville,FL,NA,-84.39651401,30.28456265,"-84.39651401, 30.28456265",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
