city,year,erios,se_erios,other,se_other,samples,erios_per,pfruct,totals,lon,lat
Baldwin,2020,27,1.3149778198382918,15,1.547847968417226,4,6.75,TRUE,42,-81.97352275,30.302678
Baldwin,2021,0,0,309,145.5,2,0,FALSE,309,-81.97612649999999,30.302601
Bradfordville,2019,0,NA,0,NA,2,0,FALSE,0,-84.218925,30.54678
Branford,2021,0,NA,12,NA,1,0,FALSE,12,-82.923163,29.956846
Crawfordville,2019,0,NA,0,NA,7,0,FALSE,0,-84.35288142857142,30.128769285714284
Defuniak Springs,2020,20,2.060204952048326,29,0.7031674369909663,6,3.3333333333333335,TRUE,49,-86.12718116666667,30.726142833333334
Ferry Pass,2020,0,NA,0,NA,2,0,FALSE,0,-87.21893,30.544150000000002
Gainesville,2020,25,3.227486121839514,55,4.595287441136481,20,1.25,TRUE,80,-82.3611793,29.64315765
Gainesville,2021,0,0,6,1,2,0,FALSE,6,-82.365659,29.636911
Grand Ridge,2021,0,0,30,10.999999999999998,2,0,FALSE,30,-85.04181650000001,30.719436
Greensboro,2019,0,NA,0,NA,5,0,FALSE,0,-84.743328,30.568238
Greenville,2021,0,NA,356,NA,1,0,FALSE,356,-83.630917,30.468417
Greenwood,2021,0,NA,200,NA,1,0,FALSE,200,-82.57149,28.00751
Gretna,2019,0,0,5,1.7677669529663689,4,0,FALSE,5,-84.6647025,30.558175
Havana,2018,0,NA,0,NA,9,0,FALSE,0,-84.414612,30.626179555555556
Havana,2019,0,0,49,6.077828559609097,5,0,FALSE,49,-84.415006,30.626008
Hilliardville,2017,0,0,0,0,7,0,FALSE,0,-84.39651401,30.28456265
Jacksonville,2020,66,1.1299494299683124,41,1.6737201933759076,8,8.25,TRUE,107,-81.6881102,30.3984829375
Jacksonville,2021,0,0,12,2.6457513110645907,3,0,FALSE,12,-81.59286333333334,30.219920000000002
Lake City,2021,49,9.799999999999999,472,77.71782292370264,5,9.8,TRUE,521,-82.67590252,30.1227294
Live Oak,2021,0,0,376,181.99999999999997,2,0,FALSE,376,-82.99862300000001,30.3025905
Macclenny,2021,0,NA,400,NA,1,0,FALSE,400,-82.117969,30.28349
Madison,2021,0,NA,14,NA,1,0,FALSE,14,-83.464048,30.488286
Marianna,2021,0,NA,11,NA,1,0,FALSE,11,-85.20554,30.76829
Mayo,2021,0,NA,32,NA,1,0,FALSE,32,-83.18075,30.0548201
Miccosukee,2018,0,NA,0,NA,1,0,FALSE,0,-84.038997,30.594064
Midway,2019,0,0,0,0,2,0,FALSE,0,-84.32201,30.4461
Milton,2020,0,NA,0,NA,1,0,FALSE,0,-87.0761,30.607
Monticello,2019,0,NA,0,NA,7,0,FALSE,0,-83.87824142857143,30.544544285714284
Monticello,2021,0,NA,20,NA,1,0,FALSE,20,-83.87114,30.545137
Orange Park,2021,0,0,363,90.27919657004782,3,0,FALSE,363,-81.70203433333333,30.186461
Orlando,2020,0,NA,0,NA,4,0,FALSE,0,-81.51605375,28.506704499999998
Perry,2021,0,NA,3,NA,1,0,FALSE,3,-83.57833,30.1115
Quincy,2019,0,0,9,1.1278780268882866,7,0,FALSE,9,-84.60175142857143,30.56986
Quincy,2020,0,NA,0,NA,1,0,FALSE,0,-84.573314,30.556377
Sanderson,2021,0,NA,78,NA,1,0,FALSE,78,-82.297222,30.240982
Sneads,2021,0,NA,1,NA,1,0,FALSE,1,-84.912788,30.710668
South Apopka,2017,0,0,0,0,5,0,FALSE,0,-81.506149,28.640823
Tallahassee,2017,0,0,0,0,21,0,FALSE,0,-84.276859,30.496187
Tallahassee,2018,0,NA,0,NA,7,0,FALSE,0,-84.29691557142857,30.44226957142857
Tallahassee,2019,4704,9.862732780998769,47,0.28728288261941975,79,59.54430379746835,TRUE,4751,-84.30902109240506,30.44617786329114
Tallahassee,2020,3364,4.824578904021908,1150,0.7868727700498962,157,21.426751592356688,TRUE,4514,-84.30878436560509,30.442971949044587
Tallahassee,2021,424,2.7778019322621312,579,8.679334213596361,24,17.666666666666668,TRUE,1003,-84.30730704166666,30.444907583333332
