Chemical,PCA1,PCA2,PCA3
Murrolene <gamma->,95.24150764249944,0.005344909085341112,0.3441858457392464
Caryophyllene <beta->,3.934212411899587,0.16939468891982606,10.416024304964518
Pinene <1R-alpha->,0.3768097862681122,0.5546385155188298,2.29863339933857
Mesitylene,0.1335729678586914,2.687891218082771e-4,0.8001631203246892
Pinene <beta->,0.11169047702815602,0.18132444293077563,2.482995289008399
Xylene <m->,0.07134002678413541,23.96184741144295,62.39680519625126
Decanal,0.05812816660094587,0.03971200924940707,0.06638179694167454
Murrolene <alpha->,0.05746956858867063,4.897726331328484e-5,0.004950447806026662
Benzaldehyde,0.007849981315282428,75.0832447281778,20.348336084763243
Carene <delta-3>,0.0024584757189940716,8.59876054194389e-4,0.026666163814055174
Bourbonene <beta->,0.002232696772229026,3.6979193484230335e-4,0.2020301731492974
Copaene <alpha->,7.165570672804849e-4,3.087470230913005e-4,0.08994904613574534
Sulindac sulfide,5.10360731617015e-4,8.274968811584484e-4,2.2467289871133984e-4
Nonanal,4.0079473059086206e-4,4.141421659246715e-4,0.10450668390241713
p-Cymene,3.9126450613152173e-4,4.773671723500411e-4,0.05657745251963447
Pinene <alpha->,1.9727377040654645e-4,3.846823760340127e-6,0.0013928981179560562
Squalene,1.842805730942087e-4,6.170567590238375e-4,0.3553188106651982
Cubebene <beta->,1.6867731413448378e-4,8.571547635825463e-5,0.0017078308057841911
Caryophyllene oxide,7.19609504410965e-5,7.322004799285114e-5,0.0017161222876480647
"Farnesene <(E,E)-, alpha->",4.488612905436309e-5,1.1440855897349492e-5,3.218851895783777e-4
Zonarene,1.712764622045344e-5,1.3336717071279276e-6,9.594229993190444e-6
Phellandrene <beta->,1.2038754482475333e-5,1.9695073820621237e-5,1.6458842519998318e-4
Pentadecane,8.895600077885105e-6,5.2175998305117e-5,7.362026353408122e-4
Dodecane,3.4241205253395435e-6,4.9699816098401015e-5,1.903172155188621e-4
"Hexadecane, 1-bromo-",1.9426527747671178e-7,2.5673481148669473e-6,5.540234663985255e-6
Undecane,3.772905860348179e-8,1.2905897354220093e-7,1.634948298534072e-6
Benzaldehyde <para-ethyl->,1.012433055915572e-8,5.801321897562832e-8,6.379773273650499e-8
"Limonene oxide, trans-",9.833013465536541e-9,2.8600539015166014e-8,2.991502644866138e-6
Terpineol <alpha->,2.9520919997675537e-9,5.148258746244303e-10,1.2519104829401453e-6
"Bergamotene <alpha-, cis->",1.8679274461483396e-9,1.1389997430056822e-6,5.904764558254108e-7
