Chemical,PCA1,PCA2,PCA3
Murrolene <gamma->,73.72002809659081,2.0505736431100665,0.05908045227773451
Caryophyllene <beta->,11.444207204669874,6.393241517553279,1.6136115845157366
3-Hexen-1-ol Acetate (Z)-,4.108872149753682,4.39387419510301,0.05431872224871185
"Farnesene <(E,E)-, alpha->",2.1748819429344266,0.6870580460791059,1.2212042869205793
Pinene <alpha->,1.9893867712628748,7.62478230809953,1.5809222910035818
"Ocimene, <beta->",1.8922159095970157,12.138595017801315,3.3711482126888894
Pinene <beta->,1.2158051457609609,3.0295146664780557,1.380856967997863
Germacrene D,0.7637065373858815,0.016959265250207183,5.139786840397603e-4
D-Limonene,0.6934082361215647,48.54423204854121,4.7360377086339085
Methyl Salicylate,0.6511927991590305,12.434818681869722,84.57447650689389
"3-Hexen-1-ol, (Z)-",0.4892346065348457,0.9571749711576674,0.1575943912010613
Cadinene <delta->,0.1804902006884293,0.10664320501147274,0.20431517287222323
"Nona-1,3,7-triene <4-8-dimethyl-, (E)->",0.1485550107187589,1.2130750877432418e-4,0.0034407898669319686
2-Hexenal,0.1396462704041795,0.037947848141474984,0.019176733651773505
Copaene <beta->,0.12507921593867183,5.327069165560114e-5,0.08956750087113184
Humulene,0.07175745377510157,0.01963160367032751,3.570192663053973e-4
Aromadendrene,0.04868860391306263,0.14195990755685045,0.25519676654766277
"2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-",0.03520017093918712,0.03485260495275022,0.04581916218642258
Calamenene,0.029247833102725936,0.10136119650630374,0.3343828621730076
Caryophyllene <9-epi-(E)->,0.023800709282850014,0.10269559281202587,0.06803142427029552
"Ocimene, <trans-beta->",0.020092450160511123,0.01352880865183448,0.022247675926493817
Nerolidol,0.012627123260704361,0.00343132798730701,0.001734002482542443
"2-Hexen-1-ol, acetate, (E)-",0.009356070989411784,0.08190468128230813,0.0016910958923906606
"Pentane, 3-ethyl-2,2-dimethyl-",0.005143834231861497,0.012193337558240123,0.0941393950965092
Myrcene <beta->,0.002962682107779904,0.13481613172470813,0.012043656707673957
Trivertal,0.002717144591347453,0.2966633560468527,7.832771354176862e-4
2-Thujene,0.0013261392592360238,0.08170915127616424,0.008155951670876247
"5-Hepten-2-one, <6-methyl->",3.6968686522182885e-4,0.559662307577785,0.08915241031633916
