Chemical,PCA1,PCA2,PCA3
Benzaldehyde,0.05662995041754128,-0.06753074860090882,-0.15980524744107458
Xylene <m->,0.03289021024146783,-0.024018567813303873,-0.08304369579419726
Sulindac sulfide,0.0021105641051300133,-4.1266011883760027e-4,-7.196575327238215e-4
Squalene,0.0016925182479659699,-4.054420504862105e-4,6.859556382309266e-5
p-Cymene,0.0016724390220841314,-2.5387398782580786e-4,-5.068029628383122e-4
Nonanal,0.0013904264668279918,6.50656597719512e-5,2.8217826238439764e-4
Pentadecane,3.9188583347303985e-4,-1.3180966076913414e-4,-1.956386804783245e-4
Dodecane,1.8056596609108814e-4,-6.57583047932392e-6,8.400273666991723e-5
"Hexadecane, 1-bromo-",4.071826459026808e-5,-1.544602415770327e-6,2.007815669587665e-5
"Bergamotene <alpha-, cis->",1.6430496616531268e-5,-1.1470818742850102e-5,-2.2213780443079532e-5
Terpineol <alpha->,3.6295821175823637e-6,1.6434464201550486e-7,3.15129397799868e-7
"Limonene oxide, trans-",2.5924653788736016e-6,-5.638890623263182e-6,-9.019674346761882e-7
Undecane,2.2371297462798362e-6,-9.097944408819588e-6,-2.2092347587040767e-7
Hexanal <n->,0,0,0
"Napthlene, 1,6-dimethyl-4-1-methylethyl)-)",0,0,0
Toulene,0,0,0
Phellandrene <beta->,-3.4651707569092396e-6,-1.6687954641589193e-4,-1.5563367776445344e-4
Caryophyllene oxide,-3.7919196632720496e-5,-3.318854109465024e-4,-6.760479691154133e-5
Zonarene,-4.348293234594164e-5,-1.5540623140327856e-4,-6.82488641323271e-5
Cubebene <beta->,-1.1528271238989352e-4,-4.836689768742375e-4,-1.3851784516259911e-4
"Acetic acid, hexyl ester",-1.926507543553602e-4,4.170980472516509e-6,7.439805317200883e-5
"Cadina-1,4-diene <trans->",-4.451353185052133e-4,9.637391389020263e-6,1.71902784423069e-4
Bourbonene <beta->,-5.446922212536343e-4,-0.0018683362644755408,-0.001236951500908788
Carene <delta-3>,-5.996824698821579e-4,-0.0017606066657891994,-5.593996791999274e-4
"Pentane, 3-ethyl-2,2-dimethyl-",-0.0014332211659006824,4.0210814032191146e-4,0.003966401625085863
Pinene <1R-alpha->,-0.0018615971226181587,-0.028642957557553958,-0.02636239923429986
Decanal,-0.002137201621628947,-0.010114685013795066,-0.008320171902896988
"2-Hexen-1-ol, acetate, (E)-",-0.0037475247213593983,0.012005988090036213,-0.0030163758477900556
Murrolene <alpha->,-0.00410482804304901,-0.008203667727257148,-0.004493506131938053
2-Thujene,-0.004840528203039752,0.011543401733109972,-0.0040790188353747175
Myrcene <beta->,-0.004980153015099754,0.01486077226688828,-0.0055279650282339735
Benzaldehyde <para-ethyl->,-0.005561477300715901,1.21335709310229e-4,0.00215399496501935
Elemene <beta->,-0.006387014041247706,1.3828189218814197e-4,0.0024665432110098006
Mesitylene,-0.006639884986648461,-0.012143410278389716,-0.0063296270038033405
Copaene <alpha->,-0.0074414419160560375,-8.955199944323711e-4,0.001953654437530157
Trivertal,-0.009394368108837627,0.0248945331519919,-0.008745610391391417
"5-Hepten-2-one, <6-methyl->",-0.010470976539662079,0.029566614180201078,-0.013407237018216639
"Farnesene <(E)-, beta->",-0.010736645438508446,2.3245348098531866e-4,0.004146288037625637
Nerolidol,-0.010954090159140391,-4.060393629755359e-4,0.0035427312221772552
Camphor,-0.012510650369812231,2.7086153161234514e-4,0.00483137496421559
"2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-",-0.018364529040452653,0.007965179862657783,-0.001545819459599414
unknown,-0.018402250754024532,3.9841748246572983e-4,0.007106598853784933
Caryophyllene <9-epi-(E)->,-0.020755515024700397,0.01174322773579757,-0.0034827688250799647
2-Hexenal,-0.020987718605275905,-0.001684596719609729,0.005818647871720066
"Ocimene, <trans-beta->",-0.021266715000797545,0.005426599911161539,0.002337913720779436
Aromadendrene,-0.023598397031224273,-0.0033125415314377137,0.007787835319524857
Humulene,-0.025576857416309363,0.009021987827098647,-0.0023660511298240227
Calamenene,-0.027733299543095728,0.034325090536725465,0.012829831792860963
Cadinene <delta->,-0.03233710862387869,-0.005403981470715893,0.0032991920542029323
Caryophyllene <beta->,-0.035781983988473175,-0.06522048683040307,-0.029287088400501197
Copaene <beta->,-0.035893012276717366,0.004849321878663772,-0.0017848692273841412
"3-Hexen-1-ol, (Z)-",-0.05793533473992962,-0.002528823037856633,0.033712126368984026
"Nona-1,3,7-triene <4-8-dimethyl-, (E)->",-0.05927848846638157,0.012367708080078478,0.015086738384079307
Germacrene D,-0.07487411324369819,0.01331289709976975,-0.0029316531220486314
D-Limonene,-0.08308488216240298,0.28292234070915256,-0.11420028951213526
Methyl Salicylate,-0.12532576429012074,0.031036944658488316,0.2428415178007522
Pinene <beta->,-0.13982436181684202,0.09002987694460177,-0.025380896826445516
"Farnesene <(E,E)-, alpha->",-0.17235418800409388,0.04855078740788512,0.01439037870590857
Pinene <alpha->,-0.1788155626478228,0.15171462168058258,-0.029903449879629302
"Ocimene, <beta->",-0.2050170696967755,0.16259656594035055,-0.034530444976188665
3-Hexen-1-ol Acetate (Z)-,-0.28244105736123853,0.08852033037345716,0.13915109903654052
Caryophyllene,-0.3547170653052615,0.17093292010270697,-0.012760927887438206
Murrolene <gamma->,-1.005620311353351,-0.19930204425062623,-0.055781740805114347
