Chemical,PCA1,PCA2,PCA3
Murrolene <gamma->,0.6348799967275687,0.0028098613566169177,0.005353611251991373
Caryophyllene <beta->,0.12903496704329945,-0.015818475463636666,-0.02945108649065984
Pinene <1R-alpha->,0.03993370449515587,0.028623302660183713,-0.013835191830894433
Mesitylene,0.023775945740507263,-6.301160974029929e-4,-0.008162808240145555
Pinene <beta->,0.02174135393063699,0.016366013546724994,-0.014379317613497658
Decanal,0.015684541431364187,0.007659063335329029,-0.0023511201905936255
Murrolene <alpha->,0.015595434593858856,2.689750442573072e-4,-6.420555018042351e-4
Benzaldehyde,0.005763852051250141,0.33303221554545154,0.04116373558615934
Carene <delta-3>,0.003225607162711652,-0.0011270226852644195,-0.00149015210349634
Bourbonene <beta->,0.003073925837734745,7.390833997247332e-4,0.004101648566726538
Copaene <alpha->,0.0017414215117991657,6.75330119915214e-4,0.002736834966950137
Pinene <alpha->,9.137201149016722e-4,7.538169095981468e-5,-3.405728350751206e-4
Cubebene <beta->,8.449029990496619e-4,-3.5583146764609587e-4,-3.771140823942824e-4
Caryophyllene oxide,5.518575118462684e-4,-3.288741472388887e-4,-3.780284143557489e-4
"Farnesene <(E,E)-, alpha->",4.3584753090335497e-4,-1.30000190325123e-4,-1.6371965700692477e-4
Zonarene,2.692324201026313e-4,-4.4385304064773275e-5,-2.8265416636709353e-5
Phellandrene <beta->,2.2571961036352568e-4,1.7056642104690725e-4,-1.170711740656768e-4
Undecane,1.2636200190632154e-5,-1.3807302307027881e-5,-1.1668159056547949e-5
"Limonene oxide, trans-",6.450922584332094e-6,-6.499827626120363e-6,-1.5783198713400197e-5
"Bergamotene <alpha-, cis->",-2.81163224167418e-6,4.101819481470099e-5,7.012156844556507e-6
Terpineol <alpha->,-3.5346259131972074e-6,-8.720570820212212e-7,-1.0210263890600578e-5
Benzaldehyde <para-ethyl->,-6.545784017093484e-6,-9.257169425162211e-6,-2.304904582101006e-6
"Hexadecane, 1-bromo-",-2.8673196073094204e-5,-6.158247091295104e-5,-2.1479017356397155e-5
Dodecane,-1.2037963844880631e-4,-2.7095185038767837e-4,-1.2588945874949966e-4
Pentadecane,-1.9402877336937592e-4,2.7761959355101097e-4,2.4759907204144793e-4
Squalene,-8.831170919496767e-4,-9.547227847765402e-4,-0.005439505606285075
p-Cymene,-0.0012868079617090078,8.397325840942154e-4,0.0021705611388044806
Nonanal,-0.0013023853868546656,-7.821489301951522e-4,-0.002950002353881265
Sulindac sulfide,-0.001469660895873983,0.0011055997025148062,-1.3678096806246293e-4
Xylene <m->,-0.017375813525852015,0.18813728805704105,-0.07208277636153164
