Chemical,PCA1,PCA2,PCA3
Pinene <1R-alpha->,2.904172400308182e-4,0.012352091061211112,0.05727563147084412
Pinene <alpha->,0.002915504067785465,2.1831643139148758e-4,0.1312552456738154
Pinene <beta->,0.08244107656998341,0.5848823120495833,0.0642269917066362
"Carene, <3->",0.18973972180562376,1.2413492358255742,0.003046754058395322
Carene <delta-3>,0.02585415901081644,0.0037543046218930475,2.1874340416649876
Phellandrene <beta->,1.47550811859586e-5,8.931205076534688e-5,9.122630921948053e-5
p-Cymene,7.076339538332248e-4,4.1772275940469867e-4,0.010598172611897938
D-Limonene,0.0595482858202981,97.83673252805325,0.27636987114861417
"Limonene oxide, trans-",7.425700203788812e-10,1.492746038477905e-8,5.608373975982214e-7
Copaene <alpha->,0.008548464283888385,0.00132118096187365,0.06514178275907043
Copaene <beta->,7.490682167507515e-94,0,0
Bourbonene <beta->,0.023339422686047433,0.0034769054903844446,0.014881919806897669
"Bergamotene <alpha-, cis->",2.013652197790455e-9,2.0534576389203002e-5,5.2854319178936535e-5
Caryophyllene,4.0666546151585,0.23750049942650653,92.93644148695137
Caryophyllene oxide,8.714691171365409e-5,2.5936659897268164e-4,0.2138572009378985
Caryophyllene <9-epi-(E)->,0,0,0
Murrolene <alpha->,0.05718930985671235,7.777665321945299e-4,3.70701846143739e-5
Murrolene <gamma->,95.48217650526063,0.07674111836901713,4.033608706531503
Muurrolene <gamma->,0,0,0
"Farnesene <(E,E)-, alpha->",4.929795367314972e-4,1.0679026412968455e-4,0.0056804830276604955
"Farnesene <(E)-, beta->",0,0,0
